State,City,Location,Type,Numbers of  monitoring days (n),Nitrogen Dioxide(NO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Uttarakhand,Dehradoon ,Clock Tower,Rsidential and other,51,31,3,0,Moderate
West Bengal,Asansol,Asansol M.C.,Industrial,102,62,19,26,Critical
West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",Industrial,43,55,15,12,NA
West Bengal,Asansol,"Burnpur Town Department, Burnpur",Industrial,43,49,13,0,NA
West Bengal,Durgapur,"Dew India Ltd., Dr. B. C. Roy Avenue, Durgapur",Industrial,102,73,19,14,Critical
West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, benachiti",Industrial,102,64,18,1,Critical
West Bengal,Durgapur,"PCBL Club, Muchipara, Bidhannagar",Rsidential and other,102,55,15,6,High
West Bengal,Durgapur,"DMC Water Works, Angadpur",Rsidential and other,43,53,12,7,NA
West Bengal,Haldia,Super Market,Industrial,9,67,2,0,NA
West Bengal,Haldia,WBIIDC,Industrial,9,67,2,0,NA
West Bengal,Howrah,Bandhaghat,Industrial,104,85,35,41,Critical
West Bengal,Howrah,Howrah MC,Industrial,104,81,37,38,Critical
West Bengal,Howrah,Bator,Rsidential and other,104,59,24,23,High
West Bengal,Howrah,Naskarpara,Rsidential and other,104,70,33,39,Critical
West Bengal,Kolkata,"Traffic Guard Building, Behala Chowrasta",Industrial,105,77,31,39,Critical
West Bengal,Kolkata,Cossipore Police Stn,Industrial,97,73,30,39,Critical
West Bengal,Kolkata," National Sample Survey Building, Dunlop Bridge",Industrial,104,67,27,34,Critical
West Bengal,Kolkata,"Upanagari Sporting Club, Baishnabghata",Rsidential and other,105,76,16,7,Critical
West Bengal,Kolkata,Kasba,Rsidential and other,95,47,23,13,High
West Bengal,Kolkata,Lal Bazar,Rsidential and other,96,63,28,26,Critical
West Bengal,Kolkata,"A.J.C Bose Road, Minto Park",Rsidential and other,104,66,24,26,Critical
West Bengal,Kolkata,"KMC Office Building, Moulali",Rsidential and other,105,79,33,40,Critical
West Bengal,Kolkata,"CK Market, Salt Lake",Rsidential and other,105,67,27,30,Critical
West Bengal,Barrackpore,Barrackpore Police Station,Rsidential and other,44,58,15,16,NA
West Bengal,Barrackpore,Dum Dum Telephone Exchange,Rsidential and other,44,77,25,34,NA
West Bengal,Barrackpore,Khardah Municipality,Rsidential and other,44,78,29,34,NA
West Bengal,Raniganj,Jamuria Municipality,Rsidential and other,17,62,11,0,NA
West Bengal,Raniganj,"SKS Public School, Mangalpur",Rsidential and other,43,114,70,58,NA
West Bengal,Raniganj,"Raniganj Municipality, Raniganj",Rsidential and other,43,73,12,16,NA
West Bengal,Sankrail,"P. Mukherjee's House, (Near SBI)",Rsidential and other,31,42,13,3,NA
West Bengal,Sankrail,Bagnan Police Station,Rsidential and other,31,81,29,42,NA
West Bengal,Sankrail,Dhulagarh Gram Panchayet Office,Rsidential and other,31,80,21,48,NA
West Bengal,Sankrail,"Bharat Co-operative Housing Society, Sankrail",Rsidential and other,31,68,17,26,NA
West Bengal,South suburban,"P. Roy Industrial Training Institute, Amtala",Rsidential and other,43,58,58,21,NA
West Bengal,South suburban,Baruipur Police Station,Rsidential and other,43,56,20,19,NA
West Bengal,South suburban,"Chanditala Water Supply Pump House, Tollygunge",Rsidential and other,42,64,29,29,NA
