State,City,Location,Type,Numbers of  monitoring days (n),Nitrogen Dioxide(NO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Delhi,Delhi,Shahzada Bagh,Industrial,77,44,14,1,High
Delhi,Delhi,Janakpuri,Rsidential and other,77,56,6,0,High
Delhi,Delhi,N.Y. School,Rsidential and other,96,51,22,18,High
Delhi,Delhi,Nizamuddin,Rsidential and other,75,54,5,0,High
Delhi,Delhi,Pritampura,Rsidential and other,74,33,7,0,Moderate
Delhi,Delhi,Siri Fort,Rsidential and other,74,54,5,0,High
Delhi,Delhi,Town Hall,Rsidential and other,96,57,24,22,High
Goa,Mormugao,Mormugao Port Trust,Industrial,102,10,6,0,Low
Goa,Panaji,Near Old GSPCB,Rsidential and other,99,13,8,0,Low
Goa,Vasco,Electricity Deptt.,Industrial,78,18,9,0,Low
Gujarat,Ahmedabad,Naroda,Industrial,104,23,4,0,Moderate
Gujarat,Ahmedabad,Shardaban Hospital,Industrial,96,20,3,0,Low
Gujarat,Ahmedabad,Behrampura,Rsidential and other,103,21,3,0,Moderate
Gujarat,Ahmedabad,Cadilla Bridge Narol,Rsidential and other,101,24,5,0,Moderate
Gujarat,Ahmedabad,L.D. Eng. College,Rsidential and other,98,18,2,0,Low
Gujarat,Ahmedabad,R.C. High School,Rsidential and other,105,20,4,0,Low
Gujarat,Anklesvar,Rallies India Ltd,Industrial,105,28,5,0,Moderate
Gujarat,Anklesvar,Durga Traders,Rsidential and other,105,25,2,0,Moderate
Gujarat,Jamnagar,Fisheries Office,Rsidential and other,105,27,4,0,Moderate
Gujarat,Rajkot,Sardhara Indl.Corp.,Industrial,104,17,3,0,Low
Gujarat,Rajkot,Regional Office,Rsidential and other,100,14,2,0,Low
Gujarat,Surat,B.R.C. High School,Industrial,103,29,3,0,Moderate
Gujarat,Surat,Near A.I. Office,Rsidential and other,103,26,2,0,Moderate
Gujarat,Surat,S.V.R. Eng. College,Rsidential and other,106,23,3,0,Moderate
Gujarat,Vadodara,CETP,Industrial,105,45,3,0,High
Gujarat,Vadodara,Dandia Bazar,Rsidential and other,110,31,4,0,Moderate
Gujarat,Vadodara,GPCB Office,Rsidential and other,110,15,3,0,Low
Gujarat,Vapi,GEB,Industrial,98,24,2,0,Moderate
Gujarat,Vapi,Vapi Nagar Palika,Rsidential and other,104,23,2,0,Moderate
Haryana,Faridabad,"M/s Shivalik Global, Mathura Road, Faridabad",Industrial,NA,24,NA,NA,NA
Haryana,Faridabad,"HSPCB office, Ballabgard, Faridabad",Rsidential and other,NA,22,NA,NA,NA
Haryana,Hisar,Urban Estate-II,Rsidential and other,11,5,1,0,NA
Haryana,Yamunanagar,Ballarpur Industries,Industrial,34,27,4,0,NA
Himachal Pradesh,Baddi,AHC,Industrial,59,13,5,0,Low
Himachal Pradesh,Baddi,Industry Department,Industrial,78,13,4,0,Low
Himachal Pradesh,Baddi,Housing Board,Rsidential and other,31,9,2,0,NA
Himachal Pradesh,Damtal,Old Road,Rsidential and other,92,13,8,0,Low
Himachal Pradesh,Damtal,Regional Office,Rsidential and other,106,11,6,0,Low
Himachal Pradesh,Nahan,Industrial Area,Industrial,150,19,2,0,Low
Himachal Pradesh,Nahan,Trilok Pur,Rsidential and other,160,15,1,0,Low
Himachal Pradesh,Nalagarh,M.C.,Rsidential and other,63,13,4,0,Low
Himachal Pradesh,Paonta Sahib,Gondpur Indl. Area,Industrial,134,18,1,0,Low
Himachal Pradesh,Paonta Sahib,Paonta Sahib,Rsidential and other,133,15,1,0,Low
Himachal Pradesh,Parwanoo,AC Office Bldg.,Industrial,125,12,3,0,Low
Himachal Pradesh,Parwanoo,Central Laboratory,Rsidential and other,117,11,3,0,Low
Himachal Pradesh,Shimla,Bus Stand,Rsidential and other,132,12,5,0,Low
Himachal Pradesh,Shimla,Tekka Bench Ridge,Sensitive,127,7,3,0,Low
Jammu & Kashmir,Jammu,B.Brahmana,Industrial,38,14,4,0,NA
Jammu & Kashmir,Jammu,M.A.Stadium,Rsidential and other,45,12,3,0,NA
Jammu & Kashmir,Jammu,Regional Office,Rsidential and other,51,12,3,0,Low
Jharkhand,Dhanbad,Regional Office,Rsidential and other,47,41,9,2,NA
Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial,103,49,3,0,High
Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial,99,49,5,1,High
Jharkhand,Jharia,M.A.D.A.,Industrial,72,41,7,1,High
Jharkhand,Ranchi,Albert Ekka Chowk,Rsidential and other,84,32,3,0,Moderate
Jharkhand,Sindri,BIT,Industrial,66,40,6,0,Moderate
Karnataka,Bangalore,Graphite India,Industrial,97,42,3,0,High
Karnataka,Bangalore,KHB Indl Area,Industrial,95,38,4,0,Moderate
Karnataka,Bangalore,Peenya Indl. Area,Industrial,63,38,4,0,Moderate
Karnataka,Bangalore,AMCO Batteries,Rsidential and other,101,38,5,0,Moderate
Karnataka,Bangalore,R.V.College,Rsidential and other,6,23,1,NA,NA
Karnataka,Bangalore,Yeshwanthpura,Rsidential and other,106,40,3,0,Moderate
Karnataka,Bangalore,Victoria Hospital,Sensitive,98,37,5,0,High
Karnataka,Belgaum,Karnataka SPCB,Industrial,78,15,5,0,Low
Karnataka,Gulbarga,Govt. Hospital,Sensitive,99,14,3,0,Low
Karnataka,Hassan,N.R. Circle,Rsidential and other,107,22,4,0,Moderate
Karnataka,Hubli-Dharwad,L. Industrial Area,Industrial,88,13,2,0,Low
Karnataka,Hubli-Dharwad,Rani C. Circle,Rsidential and other,96,12,2,0,Low
Karnataka,Mangalore,Stides Premises,Industrial,104,6,1,0,Low
Karnataka,Mysore,K.R. Circle,Rsidential and other,103,31,7,0,Moderate
Karnataka,Mysore,KSPCB Building,Industrial,107,28,6,0,Moderate
Kerala,Kochi,Eloor,Industrial,90,7,2,0,Low
Kerala,Kochi,FACT Udyogmandal,Industrial,92,7,2,0,Low
Kerala,Kochi,Irumpanam,Industrial,107,11,3,0,Low
Kerala,Kochi,CSIR Complex,Industrial,107,13,4,0,Low
Kerala,Kochi,Ernakulum South,Rsidential and other,108,19,7,0,Low
Kerala,Kochi,"FCI, OEN C. O. Bldg",Rsidential and other,108,14,5,0,Low
Kerala,Kochi,M.G. Road,Rsidential and other,108,16,5,0,Low
Kerala,Kottayam,Vadavathoor,Industrial,96,16,1,0,Low
Kerala,Kottayam,Kottayam,Rsidential and other,96,23,1,0,Moderate
Kerala,Kozhikode,Nallalam,Industrial,108,9,3,0,Low
Kerala,Kozhikode,Kozhikode City,Rsidential and other,105,9,3,0,Low
Kerala,Palakkad,Carboradum/SEPR,Industrial,118,7,3,0,Low
Kerala,Trivandrum,Hi Tech Chackai,Industrial,108,19,2,0,Low
Kerala,Trivandrum,Sasthamangalam,Rsidential and other,110,27,4,0,Moderate
Kerala,Trivandrum,SMV School,Rsidential and other,106,30,4,0,Moderate
Maharashtra,Amravati,Apurva Oil and Ind.,Industrial,104,14,2,0,Low
Maharashtra,Amravati,Govt. Coll. of Engg.,Rsidential and other,102,12,2,0,Low
Maharashtra,Amravati,Rajkamal Square,Rsidential and other,104,15,2,0,Low
Maharashtra,Aurangabad (MS),C.A.D.A. Office,Rsidential and other,96,24,4,0,Moderate
Maharashtra,Aurangabad (MS),S.B.E.S. College,Rsidential and other,96,27,5,0,Moderate
Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive,97,23,3,0,Moderate
Maharashtra,Chandrapur,M.I.D.C.,Industrial,77,35,13,0,Moderate
Maharashtra,Chandrapur,Nagar Parishad,Rsidential and other,69,33,12,0,Moderate
Maharashtra,Chandrapur,"SRO, Bapat Nagar",Rsidential and other,75,35,14,0,Moderate
Maharashtra,Kolhapur,Mahadwar Road,Rsidential and other,101,14,5,0,Low
Maharashtra,Kolhapur,S.T. Stand,Rsidential and other,103,20,5,0,Low
Maharashtra,Kolhapur,Shivaji University,Rsidential and other,103,8,3,0,Low
Maharashtra,Mahad,EHS mahad,Industrial,45,35,4,0,NA
Maharashtra,Mahad,"MNP, Phulle Hall",Rsidential and other,38,29,6,0,NA
Maharashtra,Mahad,"WTP, Bhirwadi",Rsidential and other,44,34,5,0,NA
Maharashtra,Mumbai,Parel,Industrial,93,41,22,6,High
Maharashtra,Mumbai,Kalbadevi,Rsidential and other,87,43,20,7,High
Maharashtra,Mumbai,Worli,Rsidential and other,95,39,20,3,Moderate
Maharashtra,Nagpur,MIDC Industrial Area/Hingana,Industrial,94,30,20,5,Moderate
Maharashtra,Nagpur,MIDC Office,Industrial,105,36,8,0,Moderate
Maharashtra,Nagpur,Govt. Poly. College,Rsidential and other,93,33,5,0,Moderate
Maharashtra,Nagpur,Institution of Eng.,Rsidential and other,105,36,9,1,Moderate
Maharashtra,Nagpur,Maskasath,Rsidential and other,98,26,18,2,Moderate
Maharashtra,Nagpur,NEERI Lab,Rsidential and other,97,28,21,3,Moderate
Maharashtra,Nashik,VIP Industrial Area,Industrial,102,29,5,0,Moderate
Maharashtra,Nashik,NMC Building,Rsidential and other,103,29,5,0,Moderate
Maharashtra,Nashik,RTO Colony Tank,Rsidential and other,103,29,5,0,Moderate
Maharashtra,Navi Mumbai,MIDC Taloja,Industrial,105,54,15,0,High
Maharashtra,Navi Mumbai,MPCB Central Lab,Industrial,104,42,16,3,High
Maharashtra,Navi Mumbai,Airoli,Rsidential and other,102,36,15,3,Moderate
Maharashtra,Navi Mumbai,Kharghar,Rsidential and other,100,38,15,1,Moderate
Maharashtra,Navi Mumbai,Nerul,Rsidential and other,107,41,23,7,High
Maharashtra,Navi Mumbai,Panvel Water Works,Rsidential and other,103,41,15,3,High
Maharashtra,Pune,Bhosari,Industrial,106,35,11,0,Moderate
Maharashtra,Pune,Nalstop,Rsidential and other,103,42,13,1,High
Maharashtra,Pune,Swargate,Rsidential and other,110,43,13,1,High
Maharashtra,Solapur,WIT Campus,Industrial,104,36,4,0,Moderate
Maharashtra,Solapur,Chitale Clinic,Rsidential and other,105,36,4,0,Moderate
Maharashtra,Thane,Balkum/Kolshet,Industrial,86,23,5,0,Moderate
Maharashtra,Thane,Kopri,Rsidential and other,98,13,4,0,Low
Maharashtra,Thane,Naupada,Rsidential and other,101,20,5,0,Low
Meghalaya,Byrnihat,EPIP,Industrial,44,12,6,0,NA
Meghalaya,Dawki,Terrance Building,Rsidential and other,14,5,2,0,NA
Meghalaya,Shillong,Boards Office,Rsidential and other,82,5,1,0,Low
Meghalaya,Shillong,Tuberculosis Hosp.,Rsidential and other,88,13,5,0,Low
Mizoram,Aizawl,Bawngkawn,Rsidential and other,104,7,2,0,Low
Mizoram,Aizawl,Khatla,Rsidential and other,103,6,2,0,Low
Mizoram,Aizawl,Laipuitlang,Rsidential and other,104,5,1,0,Low
Madhya Pradesh,Bhopal,Govindpura,Industrial,45,16,4,0,NA
Madhya Pradesh,Bhopal,Hamidia Road,Rsidential and other,58,23,5,0,Moderate
Madhya Pradesh,Bhopal,T.T.Nagar,Rsidential and other,60,13,4,0,Low
Madhya Pradesh,Dewas,EID Perry (I) Ltd.,Industrial,95,20,5,0,Low
Madhya Pradesh,Dewas,Vikas Nagar,Rsidential and other,94,18,4,0,Low
Madhya Pradesh,Gwalior,Dindayal Nagar,Rsidential and other,46,17,4,0,NA
Madhya Pradesh,Gwalior,Maharaj Bada,Rsidential and other,14,18,4,0,NA
Madhya Pradesh,Indore,M.P. Laghu Udyog,Industrial,43,20,5,0,NA
Madhya Pradesh,Indore,Kothari Market,Rsidential and other,43,20,7,0,NA
Madhya Pradesh,Indore,Telephone Nagar,Rsidential and other,83,11,4,0,Low
Madhya Pradesh,Jabalpur,Vijay Nagar,Rsidential and other,94,24,2,0,Moderate
Madhya Pradesh,Nagda,Chem. D. Labour Club,Industrial,62,17,4,0,Low
Madhya Pradesh,Nagda,BCI Labour Club,Rsidential and other,86,24,4,0,Moderate
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,Rsidential and other,95,30,5,0,Moderate
Madhya Pradesh,Sagar,Pt. Deendayal Nagar,Rsidential and other,86,18,2,0,Low
Madhya Pradesh,Satna,Sub-Divisional Off.,Industrial,41,6,1,0,NA
Madhya Pradesh,Satna,Regional Office,Rsidential and other,26,6,1,0,NA
Madhya Pradesh,Ujjain, District Office,Industrial,74,15,2,0,Low
Madhya Pradesh,Ujjain,Regional Office,Rsidential and other,83,9,2,0,Low
Madhya Pradesh,Ujjain,Mahakal Temple,Sensitive,80,11,2,0,Low
Nagaland,Dimapur,Bank Colony,Rsidential and other,45,17,3,0,NA
Nagaland,Dimapur,Dhobinala,Rsidential and other,45,16,3,0,NA
Orissa,Angul, Industrial Estate,Industrial,104,22,2,0,Moderate
Orissa,Angul,NALCO Township,Rsidential and other,84,17,2,0,Low
Orissa,Balasore,Sahadevkhunta,Rsidential and other,51,12,1,0,Low
Orissa,Berhampur,Regional Office,Rsidential and other,105,14,3,0,Low
Orissa,Bhubaneshwar,Capital Police Stn.,Rsidential and other,105,20,3,0,Low
Orissa,Bhubaneshwar,IRC,Rsidential and other,104,18,3,0,Low
Orissa,Bhubaneshwar,OSPCB Bldg,Rsidential and other,112,19,4,0,Low
Orissa,Cuttack,"Badambi, Cuttack",Rsidential and other,104,24,5,0,Moderate
Orissa,Cuttack,R.O. Cuttack,Rsidential and other,105,16,2,0,Low
Orissa,Rayagada,LPS H. School,Industrial,105,22,4,0,Moderate
Orissa,Rayagada,Regional Office,Rsidential and other,111,21,4,0,Moderate
Orissa,Rourkela,IDL Police Out-post,Rsidential and other,105,11,1,0,Low
Orissa,Rourkela,Regional Office,Rsidential and other,106,11,2,0,Low
Orissa,Sambalpur,"PHD Ofice, Sambalpur",Rsidential and other,125,16,2,0,Low
Orissa,Talcher,Coal Field Area,Industrial,95,27,2,0,Moderate
Orissa,Talcher,T.T.P.S Colony,Industrial,104,19,2,0,Low
Pondicherry,Pondicherry,PIPDIC,Industrial,63,13,3,0,Low
Pondicherry,Pondicherry,Chamber of Commerce,Rsidential and other,100,7,2,0,Low
Pondicherry,Pondicherry,DSTC Office,Rsidential and other,59,12,2,0,Low
Punjab,Amritsar,Nagina Soap Factory,Industrial,65,35,4,0,Moderate
Punjab,Amritsar,A-1 Platters,Rsidential and other,81,35,3,0,Moderate
Punjab,Bathinda,Bathinda Milk Plant,Industrial,113,21,4,0,Moderate
Punjab,Dera Bassi,Bhanakarpur Road,Industrial,132,21,4,0,Moderate
Punjab,Dera Bassi,Winsome Yarns Ltd,Industrial,124,21,4,0,Moderate
Punjab,Gobindgarh,Raj Steel,Industrial,120,29,6,0,Moderate
Punjab,Gobindgarh,Modi oil & GM,Rsidential and other,44,29,8,0,NA
Punjab,Gobindgarh,United Rolling Mills,Rsidential and other,137,30,6,0,Moderate
Punjab,Jalandhar,Focal Point,Industrial,23,32,5,0,NA
Punjab,Jalandhar,Punjab Maltex,Industrial,62,32,2,0,Moderate
Punjab,Jalandhar,MC Tube Well No.27,Rsidential and other,107,31,2,0,Moderate
Punjab,Jalandhar,Regional Office,Rsidential and other,116,26,2,0,Moderate
Punjab,Khanna,Markfed Vanaspati,Industrial,136,36,7,0,Moderate
Punjab,Khanna,A S School,Rsidential and other,135,36,7,0,Moderate
Punjab,Ludhiana,Milk Plant,Industrial,105,36,7,0,Moderate
Punjab,Ludhiana,Rita Sewing Machines,Industrial,91,38,7,0,Moderate
