State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Particulate Matter Having Aerodynamic Diameter Less Than or Equal to 10 µm(PM10) -Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Bihar,Patna,Gandhi Maidan Test Centre,284,RIRuO,52,45,489,243,106,251,369,107,92,Critical
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",106,RIRuO,148,19,600,122,54,106,202,79,52,Critical
Chandigarh,Chandigarh,Sector-17 C,263,RIRuO,150,20,337,85,37,74,132,48,25,High
Chandigarh,Chandigarh,"Punjab Engineering College, Sector 12",264,RIRuO,153,16,286,78,33,65,145,48,36,High
Chandigarh,Chandigarh,"Sector-39, IMTECH",463,RIRuO,150,20,369,94,45,79,158,53,33,Critical
Chandigarh,Chandigarh,Kaimbwala Village,464,RIRuO,146,18,323,82,37,70,144,51,24,High
Chattisgarh,Bhillai,"Visak Hostel, Sector-4",65,RIRuO,93,78,113,96,82,92,112,12,38,Critical
Chattisgarh,Bhillai,"R.O., 5/32 Banglow Office Building",67,RIRuO,94,59,96,82,73,80,92,8,0,High
Chattisgarh,Bhillai,M.P. Laghu Udyog Nigam,245,RIRuO,88,82,170,151,314,154,168,22,92,Critical
Chattisgarh,Bilaspur,"RO, CECB Vyapar Vihar",NA,RIRuO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Chattisgarh,Korba,"HIG 21,22.Near Ghantaghar,",364,RIRuO,8,108,120,116,63,118,120,5,100,Null
Chattisgarh,Korba,Pragati Nagar NTPC Colony,249,RIRuO,97,45,116,89,69,89,107,15,29,High
Chattisgarh,Korba,"I.T.I., Rampur",407,RIRuO,95,56,155,107,81,112,131,21,62,Critical
Chattisgarh,Raipur,"New HIG-9, Hirapur",368,RIRuO,49,190,347,267,213,262,317,39,100,Null
Chattisgarh,Raipur,"M/S Wool Worth India, Sarora Raipur",223,RIRuO,51,246,431,349,269,360,410,45,100,Critical
Chattisgarh,Raipur,"Yatayat Thana, Jai Stambh Chowk",447,RIRuO,49,185,332,251,215,247,301,33,100,Null
Dadra and Nagar Haveli,Silvassa,"Khadoli Industrial Area, Village- Khadoli",558,RIRuO,94,18,90,39,19,26,85,27,0,Moderate
Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya",560,RIRuO,96,16,106,35,19,24,67,21,1,Moderate
Delhi,Delhi,"N.Y. School, Sarojini Nagar",144,RIRuO,95,30,634,228,52,226,420,141,77,Critical
Delhi,Delhi,"Town Hall, Chandni Chowk",146,RIRuO,96,76,1699,354,147,333,542,201,97,Critical
Delhi,Delhi,Mayapuri Industrial Area,345,RIRuO,96,38,702,275,75,295,449,146,82,Critical
Delhi,Delhi,Pritampura,531,RIRuO,78,35,510,219,85,220,346,107,85,Critical
Delhi,Delhi,Shahadra,58,RIRuO,79,53,506,254,89,256,379,112,89,Critical
Delhi,Delhi,Shahzada Bagh,57,RIRuO,83,35,885,241,108,227,381,125,90,Critical
Delhi,Delhi,Nizamuddin,55,RIRuO,60,60,568,245,134,243,357,102,93,Critical
Delhi,Delhi,Janakpuri,59,RIRuO,78,56,681,306,149,308,476,128,100,Critical
Delhi,Delhi,Siri Fort,60,RIRuO,80,34,549,230,92,228,361,105,89,Critical
Goa,Panaji,"Old GSPCB premises, Patto",327,RIRuO,105,21,221,85,36,79,147,46,30,High
Goa,Marmagao,"Fire Brigade Station, Port Trust",435,RIRuO,118,19,164,59,27,49,106,31,12,Moderate
Goa,Vasco,"Fuse Call Office of Elec. Dept., Mormu-gao taluka",37,RIRuO,103,19,178,61,28,51,105,32,14,High
Goa,Curchorem,"Curchorem, Sanvordem, Quepem",628,RIRuO,19,8,94,38,15,35,63,23,0,Null
Goa,Codli,"Codli Tisk, Ponda",630,RIRuO,6,70,112,90,77,89,103,14,17,Null
Goa,Honda,"Honda Junction, Sattari",631,ES (Sahyadri),8,91,130,100,92,95,112,13,38,Null
Goa,Bicholim,Bicholim,632,RIRuO,11,76,118,89,76,89,95,11,9,Null
Goa,Amona,"Amona, Bicholim",633,RIRuO,16,37,80,55,43,58,72,13,0,Null
Goa,Assanora,"Assanora Junction, Bardez",634,RIRuO,8,50,85,71,55,74,83,12,0,Null
Goa,Usgao,"Usgao Plae, Junction, Ponda",629,RIRuO,10,136,314,245,143,273,311,71,80,Null
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",101,RIRuO,104,84,249,151,95,147,214,50,78,Critical
Gujarat,Ahmedabad,Cadilla Bridge Narol,102,RIRuO,103,44,133,86,68,86,108,16,17,High
Gujarat,Ahmedabad,L.D. Engg. College,103,RIRuO,104,47,97,70,56,68,88,11,0,High
Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",154,RIRuO,103,47,136,80,59,79,105,18,14,High
Gujarat,Ahmedabad,"R.C. High School, Mirzapur",155,RIRuO,104,56,140,94,70,92,119,19,38,Critical
