State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Particulate Matter Having Aerodynamic Diameter Less Than or Equal to 10 µm(PM10) -Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Maharashtra,Nagpur,MIDC Office Hingana Road,288,RIRuO,83,27,295,129,68,114,214,58,63,Critical
Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office,Hingna",165,RIRuO,80,44,725,147,60,120,231,104,65,Critical
Maharashtra,Nagpur,"Maskasath, Itwari",166,RIRuO,98,17,347,106,36,100,171,60,50,Critical
Maharashtra,Nagpur,"NEERI Lab, Nehru Marg",167,RIRuO,96,13,221,81,30,78,131,41,29,High
Maharashtra,Nashik,R.T.O. Colony Tank,259,RIRuO,112,22,204,73,37,67,113,31,21,High
Maharashtra,Nashik,"VIP Industrial  Area, MIDC Satpura",269,RIRuO,113,19,208,80,35,78,128,38,28,High
Maharashtra,Nashik,Nashik Municipal Council Building,280,RIRuO,111,23,189,77,44,71,125,31,23,High
Maharashtra,Navi Mumbai,"T.B.I.A, Rabale , Airoli, TTC",491,RIRuO,102,27,271,102,55,92,161,44,37,Critical
Maharashtra,Navi Mumbai,"Dr. D.Y. Patil College, Nerul, TTC",492,RIRuO,104,22,246,86,36,80,143,46,34,High
Maharashtra,Navi Mumbai,"MPCB Central Lab, Mhape",493,RIRuO,96,43,224,99,57,94,149,37,45,Critical
Maharashtra,Navi Mumbai,CIDCO Nodal Office Kharghar,494,RIRuO,105,19,393,95,49,87,150,50,32,Critical
Maharashtra,Navi Mumbai,"Panvel Residential Area, Taloja",495,RIRuO,96,31,312,99,49,91,153,51,39,Critical
Maharashtra,Navi Mumbai,MIDC Collom Faciolity Building,496,RIRuO,99,63,389,198,101,193,315,80,90,Critical
Maharashtra,Pune,"Maratha Chamber of commerce, Bhosari",312,RIRuO,104,15,219,83,27,73,161,51,33,High
Maharashtra,Pune,State Electricity Board BLDG Nalstop,379,RIRuO,105,22,370,84,33,78,133,50,34,High
Maharashtra,Pune,Swargate Police Chawki,381,RIRuO,105,11,236,80,24,75,152,47,30,High
Maharashtra,Roha,Roha Industrial Association office,572,RIRuO,64,29,197,85,45,79,136,37,28,High
Maharashtra,Roha,Filter House of MIDC Water works,573,RIRuO,61,30,209,93,51,91,143,37,34,Critical
Maharashtra,Sangli,"Udyog bhavan / SRO, MPCB Sangli",574,RIRuO,105,9,114,50,19,41,88,28,7,Moderate
Maharashtra,Sangli,Sangli- Miraj Primary school Building,575,RIRuO,104,14,163,62,22,50,116,38,19,High
Maharashtra,Sangli,Krishna Valley School,576,RIRuO,104,17,155,73,26,71,132,40,29,High
Maharashtra,Solapur,WIT Campus,299,RIRuO,106,34,118,68,47,64,94,18,6,High
Maharashtra,Solapur,Voronoko School / Chitale Clinic,300,RIRuO,107,34,128,64,44,63,88,18,3,High
Maharashtra,Thane,"Maternity Hospital,Dhobighat,Kopri",303,RIRuO,114,45,61,49,46,48,56,4,0,Moderate
Maharashtra,Thane,"Terrace of Shahu Market,Naupada",304,RIRuO,117,47,67,52,48,50,58,4,0,Moderate
Maharashtra,Thane,"Kolshet and Balkum, Thane West",305,RIRuO,37,46,61,50,47,49,54,3,0,Null
Maharashtra,Ulhasnagar,Smt. C. H. M. College Campus,647,RIRuO,99,28,161,96,52,100,129,31,49,Critical
Maharashtra,Ulhasnagar,Octroi Naka,648,RIRuO,94,49,250,117,64,114,163,41,68,Critical
Meghalaya,Byrnihat,"EPIP, Ri-Bhoi district",568,RIRuO,87,143,257,175,157,174,195,19,100,Critical
Meghalaya,Dawki,"Terrace building, Jaintia Hills District",588,RIRuO,68,27,123,71,41,67,100,24,12,High
Meghalaya,Tura,"Office building of Add Chief Engineer,Garo Hills District",608,RIRuO,34,44,77,63,52,63,73,8,0,Null
Meghalaya,Shillong,State Tuberculosis Hospital,340,ES (Hillstation),79,65,124,103,89,104,115,10,68,Critical
Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad",120,ES (Hillstation),54,40,75,56,45,55,66,8,0,Moderate
Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Miz-oram SPCB",450,ES (Hillstation),104,26,78,43,31,43,57,11,0,Moderate
Mizoram,Aizawl,"Laipuitlang, Residence of Chairman,MPCB",451,ES (Hillstation),104,17,64,33,23,30,47,9,0,Moderate
Mizoram,Aizawl,"Bawngkawn , Roof Top of Mr.K.L. Ber-ema’s residence",452,ES (Hillstation),104,30,81,49,38,47,64,10,0,Moderate
Nagaland,Dimapur,Bank Colony,317,RIRuO,93,12,201,77,24,65,153,48,30,High
Nagaland,Dimapur,Dhobinala,448,RIRuO,93,12,202,75,23,71,129,44,28,High
Nagaland,Kohima,Opposite NST Office,609,ES (Hillstation),51,9,112,53,16,43,100,33,14,Moderate
Nagaland,Kohima,Opposite War Cemetery,610,ES (Hillstation),42,21,141,79,29,70,132,41,36,Null
Orissa,Angul,Industrial Estate,70,RIRuO,114,45,215,146,77,157,194,44,69,Critical
Orissa,Angul,NALCO Township,231,RIRuO,100,27,179,75,49,75,103,23,13,High
Orissa,Balasore,Sahadevkhunta,428,RIRuO,100,39,104,73,53,73,97,17,5,High
Orissa,Berhampur,Regional Office Orissa SPCB,429,RIRuO,95,19,177,58,37,55,81,23,12,Moderate
Orissa,Bhubneshwar,Capital Police Station,424,RIRuO,105,37,381,97,43,88,146,54,39,Critical
Orissa,Bhubneshwar,IRC Village,423,RIRuO,98,22,144,70,44,64,111,26,15,High
Orissa,Bhubneshwar,SPCB Building,322,RIRuO,113,32,173,84,47,85,118,27,28,High
Orissa,Cuttack,"Roof of Traffic Tower, Badambadi",426,RIRuO,105,33,186,77,41,65,139,37,22,High
Orissa,Cuttack,"R.O. Cuttack Office, Surya Vihar",425,RIRuO,45,26,260,71,34,51,143,48,24,Null
Orissa,Rayagada,Regional Office Orissa SPCB,428,RIRuO,103,12,77,54,26,58,70,17,0,Moderate
Orissa,Rayagada,"LPS High School, Jaykaypur",229,RIRuO,103,15,80,61,32,65,75,16,0,High
Orissa,Rourkela,"Regional Office, ORPB",370,RIRuO,94,77,141,111,97,111,128,12,82,Critical
Orissa,Rourkela,"IDL Police Out-post, Sonaparbat",227,RIRuO,104,73,117,99,86,98,110,9,42,Critical
Orissa,Sambalpur,"Filter Plant, PHD Office, Modipara",427,RIRuO,84,33,82,50,37,51,63,10,0,Moderate
Orissa,Talcher,Coal Field Area / MCL AREA,471,RIRuO,66,66,253,137,95,134,186,38,82,Critical
Orissa,Talcher,T.T.P.S.Colony,68,RIRuO,103,39,202,96,66,96,112,28,38,Critical
Punjab,Amritsar,"R.O. Focal Point, Amritsar",487,RIRuO,53,168,257,215,188,221,236,21,100,Critical
Punjab,Amritsar,"A-1,Platers, Amritsar / VMC",486,RIRuO,57,193,260,224,198,221,253,19,100,Critical
Punjab,Bhatinda,"Ms Milk Plant, Ropar",506,RIRuO,96,120,338,216,130,230,300,67,100,Critical
Punjab,Dera Bassi,M/s Punjab Chemicals and Crop Protec-tion Ltd.,504,RIRuO,128,78,316,184,110,163,278,67,92,Critical
Punjab,Dera Bassi,"M/s Winsome Yarns Ltd., Barwala Road,Derabassi",505,RIRuO,87,50,223,140,100,141,181,32,90,Critical
Punjab,Pathankot/,C-PYTE Building at Dera Baba Nanak,590,RIRuO,56,55,97,76,63,75,87,9,0,High
Punjab,Gobindgarh,M/s Modi Oil and General Mills,302,RIRuO,107,95,519,214,158,207,251,66,99,Critical
Punjab,Gobindgarh,M/s Raj Steel Rolling Mills,301,RIRuO,123,147,543,232,181,220,276,64,100,Critical
Punjab,Gobindgarh,"United Rolling Mills, Mandi Gobindgarh",483,RIRuO,97,131,540,225,163,214,264,67,100,Critical
Punjab,Jalandar,Municipal Council Tubewell,353,RIRuO,25,119,151,144,139,146,150,6,100,Null
Punjab,Khanna,"Markfed Vanaspati, Khanna",485,RIRuO,123,136,284,233,208,233,262,22,100,Critical
Punjab,Khanna,"AS School, Khanna",484,RIRuO,134,167,282,229,197,232,258,24,100,Critical
Punjab,Ludhiana,Bharat Nagar Chowk,422,RIRuO,24,118,214,154,123,147,204,31,100,Null
Punjab,Ludhiana,"Nahar Spining Mlls, Dholewal Chawk",76,RIRuO,115,163,341,245,201,247,270,31,100,Critical
Punjab,Ludhiana,"Milk plant, Ferozpur Road",61,RIRuO,131,143,276,224,173,231,255,30,100,Critical
Punjab,Ludhiana,Vishavkarma Chowk,335,RIRuO,126,139,301,232,183,237,260,30,100,Critical
Punjab,Naya Nangal,M/s Punjab Alkalis & Chemicals Ltd.,420,RIRuO,111,35,161,87,47,89,123,29,35,High
Punjab,Naya Nangal,M/s NFL Guest House,421,RIRuO,59,42,168,101,62,101,131,27,53,Critical
Punjab,Patiala,Ceylon Industries,600,RIRuO,76,95,260,142,105,138,187,35,95,Critical
Punjab,Patiala,"Fire Brigade Station, Bahera Road,",599,RIRuO,70,105,209,143,120,142,165,19,100,Critical
Puducherry,Puducherry,"DSTC Office Upstairs, AnnaNagar",64,RIRuO,90,13,72,38,24,38,54,12,0,Moderate
Puducherry,Puducherry,PIPDIC Ind. Estate Mettupalayam,93,RIRuO,82,18,97,47,31,45,69,16,0,Moderate
Puducherry,Puducherry,Chamber Of Commerce,337,RIRuO,83,12,53,28,17,26,39,9,0,Low
Rajasthan,Alwar,"Regional Office, Rajasthan SPCB",372,ES (Aravalirange),82,18,728,201,63,184,341,135,0,Critical
Rajasthan,Alwar,Gaurav Solvex Ltd. MIA,373,ES (Aravalirange),75,21,733,300,78,294,533,163,88,Critical
Rajasthan,Alwar,"RIICO Pump House,  MIA",219,ES (Aravalirange),72,55,643,174,77,148,284,105,0,Critical
Rajasthan,Jaipur,Ajmeri Gate,296,RIRuO,1,21,388,131,50,96,249,83,5200,Null
Rajasthan,Jaipur,"RJPB Office,Jhalana  Doongari",298,RIRuO,109,17,593,107,30,82,197,91,39,Critical
Rajasthan,Jaipur,"Office of District Education Officer,Chandpole",408,RIRuO,93,55,513,197,97,194,314,85,89,Critical
Rajasthan,Jaipur,"RIICO Office, M.I.A.",410,RIRuO,102,26,436,103,37,87,175,69,41,Critical
Rajasthan,Jaipur,"Regional Office (North), RSPCB, Vidyad-har Nagar",409,RIRuO,109,18,828,199,62,199,331,117,79,Critical
Rajasthan,Jaipur,VKIA,297,RIRuO,114,62,637,246,93,252,395,122,63,Critical
Rajasthan,Jodhpur,"DIC Office, Industrial Estate",413,RIRuO,96,27,671,156,54,144,239,110,65,Critical
Rajasthan,Jodhpur,Sojati Gate,273,RIRuO,103,55,536,208,106,192,321,91,92,Critical
Rajasthan,Jodhpur,"Basni Industrial Area, RIICO Office",274,RIRuO,97,38,1100,198,93,172,311,137,86,Critical
Rajasthan,Jodhpur,Maha Mandir Police Thane,376,RIRuO,99,37,604,203,87,177,349,116,87,Critical
Rajasthan,Jodhpur,"Office of Housing Board, Chopasani Road",411,RIRuO,98,29,617,143,50,126,235,104,67,Critical
Rajasthan,Jodhpur,Shastri Nagar Police Thana,412,RIRuO,102,22,778,174,65,147,300,116,75,Critical
Rajasthan,Kota,"Regional Office, RJPB, Anantpura",17,RIRuO,102,24,436,155,41,142,272,91,69,Critical
Rajasthan,Kota,Municipal Corporation Building,326,RIRuO,101,22,303,119,39,107,203,69,55,Critical
Rajasthan,Kota,Samcore Glass Ltd.,325,RIRuO,103,20,428,120,32,110,207,77,55,Critical
Rajasthan,Udaipur,Ambamata,320,RIRuO,92,30,188,83,44,74,126,35,33,High
Rajasthan,Udaipur,Town Hall,294,RIRuO,95,29,321,103,43,90,175,56,0,Critical
Rajasthan,Udaipur,"Regional Office,MIA",321,RIRuO,86,45,423,163,75,144,283,84,80,Critical
Tamilnadu,Chennai,"Kathivakkam, Municipal Kalyana Manda-pam",38,RIRuO,100,29,213,78,46,74,113,31,15,High
Tamilnadu,Chennai,"Govt. High School, Manali",71,RIRuO,102,29,239,80,55,73,127,34,25,High
Tamilnadu,Chennai,Thiruvottiyur,72,RIRuO,93,31,242,84,51,76,130,35,26,High
Tamilnadu,Chennai,Madras Medical College,159,RIRuO,93,13,80,39,21,37,37,14,0,Moderate
Tamilnadu,Chennai,"NEERI, CSIR Campus",160,RIRuO,95,9,95,33,17,29,52,16,0,Moderate
Tamilnadu,Chennai,Thiruvottiyur Municipal Office,161,RIRuO,95,14,107,38,19,35,59,17,0,Moderate
Tamilnadu,Coimbatore,"Poniarajapuram, On the top of DEL",371,RIRuO,81,10,147,50,18,41,99,33,10,Moderate
Tamilnadu,Coimbatore,G.D.Matric Hr.Sec.School,238,RIRuO,100,12,250,55,26,50,66,30,3,Moderate
Tamilnadu,Coimbatore,SIDCO Office Kurichi,237,RIRuO,93,23,1184,127,78,111,167,118,61,Critical
Tamilnadu,Madurai,Highway (Project -I) Building,306,RIRuO,103,20,125,51,33,49,72,18,3,Moderate
Tamilnadu,Madurai,Fenner (I) Ltd. Susee Cars & Trucks,307,RIRuO,93,19,83,39,25,37,54,13,0,Moderate
Tamilnadu,Madurai,Kunnathur Chatram  Girls HS School,308,RIRuO,97,26,136,50,33,47,66,18,2,Moderate
Tamilnadu,Salem,Sowdeswari College Building,309,RIRuO,118,30,835,85,47,71,123,76,27,High
Tamilnadu,Tuticorin,Fisheries College,239,RIRuO,100,17,347,75,39,65,122,42,19,High
Tamilnadu,Tuticorin,Raja Agencies,240,RIRuO,90,49,601,163,78,140,264,88,79,Critical
Uttar Pradesh,Agra,"Regional Office, Bodla",323,ES (Taj-trapezium),89,96,311,179,46,123,179,233,99,Critical
Uttar Pradesh,Agra,Nunhai,324,ES (Taj-trapezium),96,94,283,196,46,135,195,258,97,Critical
Uttar Pradesh,Agra,Taj Mahal,1,ES (Taj-trapezium),286,13,592,167,27,168,296,105,71,Critical
Uttar Pradesh,Agra,DIC Nunhai,415,ES (Taj-trapezium),128,33,706,248,61,249,452,148,77,Critical
Uttar Pradesh,Agra,Etmad-uddaulah,416,ES (Taj-trapezium),123,17,698,179,34,156,352,132,67,Critical
Uttar Pradesh,Agra,Rambagh,417,ES (Taj-trapezium),118,21,431,143,36,125,280,97,61,Critical
Uttar Pradesh,Allahabad,Square crossing circle of Laxmi Talkies,554,RIRuO,105,99,649,254,92,160,245,348,99,Critical
Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,555,RIRuO,105,58,466,181,63,107,179,261,92,Critical
Uttar Pradesh,Anpara,"Anpara Colony, Sonabhadra",6,RIRuO,104,86,312,128,21,113,126,139,98,Critical
Uttar Pradesh,Anpara,"Renusagar Colony, Sonabhadra",7,RIRuO,96,93,166,129,16,114,127,151,100,Critical
Uttar Pradesh,Ferozabad,Center for Development of Glass Indus-try ( CDGI),399,ES (Taj-trapezium),104,39,332,226,87,74,262,304,83,Critical
Uttar Pradesh,Ferozabad,Tilak Nagar,400,ES (Taj-trapezium),103,37,320,212,87,60,243,295,83,Critical
Uttar Pradesh,Ferozabad,Raza ka Tal,401,ES (Taj-trapezium),101,25,312,203,89,59,240,290,76,Critical
Uttar Pradesh,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",140,RIRuO,88,70,132,94,79,92,108,13,26,Critical
Uttar Pradesh,Gajraula,"Indira Chowk, J.P. Nagar",139,RIRuO,71,54,170,81,65,81,94,16,7,High
Uttar Pradesh,Ghaziabad,"M/s Atlas Cycles Industries Ltd, SahibabadIndustrial Area",258,RIRuO,97,163,503,301,200,306,398,88,100,Critical
Uttar Pradesh,Ghaziabad,Bulandshaar Road Industrial Area,369,RIRuO,88,160,517,280,177,283,376,90,100,Critical
Uttar Pradesh,Jhansi,Jail Chauraha,517,RIRuO,120,92,292,131,106,132,146,25,94,Critical
Uttar Pradesh,Jhansi,Veeranga Nagar,518,RIRuO,120,72,184,106,81,107,123,17,66,Critical
Uttar Pradesh,Kanpur,"Forest & Training  Centre, Kidwai Nagar",212,RIRuO,98,137,248,200,163,207,226,26,100,Critical
Uttar Pradesh,Kanpur,"Chamber Of Commerce, Darshanpurwa",98,RIRuO,91,159,252,207,180,209,233,22,100,Critical
Uttar Pradesh,Kanpur,Fazalganj,86,RIRuO,81,145,273,221,189,222,253,29,100,Critical
Uttar Pradesh,Kanpur,Dabauli,391,RIRuO,80,131,308,196,151,201,222,30,100,Critical
Uttar Pradesh,Kanpur,"Awas Vikas, Jajmau",395,RIRuO,93,126,254,194,167,196,220,23,100,Critical
Uttar Pradesh,Khurja,Central Glass & Ceramic ResearchInstitute,534,RIRuO,58,157,292,191,161,174,265,38,100,Critical
Uttar Pradesh,Khurja,Ahirpara,535,RIRuO,58,136,200,155,139,150,178,17,100,Critical
Uttar Pradesh,Lucknow,Mahanagar,377,RIRuO,74,135,228,185,146,189,217,27,100,Critical
Uttar Pradesh,Lucknow,"Chandganj Garden, Aliganj",398,RIRuO,109,103,6307,243,151,194,220,587,100,Critical
Uttar Pradesh,Lucknow,"Kapoor Hotel, Hazratganj",109,RIRuO,82,129,236,192,153,194,223,26,100,Critical
Uttar Pradesh,Lucknow,Talkatora,113,RIRuO,81,150,243,205,163,212,232,26,100,Critical
Uttar Pradesh,Lucknow,"S.M.K Chowk, Aminabad",397,RIRuO,102,147,304,194,155,197,226,31,100,Critical
Uttar Pradesh,Meerut,Begum Bridge,550,RIRuO,69,109,286,178,119,197,240,54,100,Critical
Uttar Pradesh,Meerut,"Thana Railway Road, Kesarganj",551,RIRuO,42,104,280,155,110,124,222,53,100,Null
Uttar Pradesh,Muradabad,Budh Bazar,NA,RIRuO,28,57,569,221,88,219,294,102,86,Null
Uttar Pradesh,Muradabad,PTC,NA,RIRuO,30,46,480,169,90,167,237,83,83,Null
Uttar Pradesh,Noida,"Regional Office, UP PCB",403,RIRuO,95,65,168,130,103,132,147,21,91,Critical
Uttar Pradesh,Noida,Gee-Pee Electroplating and EngineeringWork,378,RIRuO,96,71,194,134,108,136,156,22,8800,Critical
Uttar Pradesh,Varanasi,"Regional Office, Jawahar Nagar",362,RIRuO,24,122,136,128,124,127,133,4,100,Null
Uttar Pradesh,Varanasi,Sigra,553,RIRuO,8,126,128,127,126,127,128,1,100,Null
Uttarakhand,Dehradun,"Raipur Road, Near parag Diary",90,ES (Doonvalley),30,80,169,121,93,120,153,22,83,Null
Uttarakhand,Dehradun,"Clock Tower, PWD Guest House",89,ES (Doonvalley),50,92,263,169,129,164,220,36,98,Critical
Uttarakhand,Dehradun,Himalaya Drug Co. Near ISBT,637,ES (Doonvalley),3,158,236,195,191,214,232,39,100,Null
Uttarakhand,Haldwani,Govt. Women Hospital,625,RIRuO,1,Null,Null,196,Null,Null,Null,Null,Null,Null
Uttarakhand,Haridwar,"SIDCUL, Haridwar",635,RIRuO,3,100,179,139,107,119,139,40,200,Null
Uttarakhand,Kashipur,"BSNL Office, Kashipur",627,RIRuO,1,Null,Null,46,Null,Null,Null,Null,Null,Null
Uttarakhand,Rishikesh,Nagar Palika Parishad,636,ES (Hillstation),3,186,238,212,191,199,212,26,100,Null
West Bengal,Asansol,Asansol Municipal Corporation,386,RIRuO,105,28,396,132,58,104,250,84,50,Critical
West Bengal,Asansol,"Kangsabati  Spinning Mill, Barjora",593,RIRuO,105,25,367,137,57,107,293,95,61,Critical
West Bengal,Asansol,"Burnpur Town Department, Burnpur",592,RIRuO,105,22,434,152,55,137,279,99,57,Critical
West Bengal,Barrackpore,Barrackpore Municiaplity,655,RIRuO,102,27,234,110,45,104,185,55,53,Critical
West Bengal,Barrackpore,Dum Dum Telephone Exchange,653,RIRuO,101,34,290,120,52,112,210,60,54,Critical
West Bengal,Barrackpore,Khardah Municipality,654,RIRuO,102,31,316,132,52,122,233,67,63,Critical
West Bengal,Durgapur,"DMC Water Works, Angadpur",591,RIRuO,105,27,340,132,37,113,235,80,56,Critical
West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, Benachiti",384,RIRuO,105,32,371,136,56,105,253,80,69,Critical
West Bengal,Durgapur,"Bidhannagar, PCBL Club, Muchipara",385,RIRuO,105,24,227,90,36,84,149,45,38,High
West Bengal,Durgapur,"Dew India Limited, PCBL More, Durgapur",383,RIRuO,105,47,578,207,74,167,391,133,70,Critical
West Bengal,Haldia,"Bhabanipur, Debhog Milan Viyapith",663,RIRuO,108,21,149,65,33,58,110,30,16,High
West Bengal,Haldia,"Driver's Hut of M/s. MCC PTA, Bhunia Raichak",664,RIRuO,108,28,117,56,37,51,85,19,15,Moderate
West Bengal,Haldia,"Supermarket Building, Durgachak",15,RIRuO,108,20,126,47,25,37,90,26,7,Moderate
West Bengal,Haldia,WBIIDC Durgachak,14,RIRuO,108,23,125,60,31,55,99,27,25,Moderate
West Bengal,Howrah,Howrah Municipal Corporation Building,8,RIRuO,103,28,273,127,52,104,229,69,65,Critical
West Bengal,Howrah,"Naskarpara Pump House, Ghuseri",10,RIRuO,103,23,310,117,46,94,224,70,48,Critical
West Bengal,Howrah,"CDS & Health Centre, Bator",11,RIRuO,103,23,229,102,41,75,199,63,38,Critical
West Bengal,Howrah,"Howrah Municipality School, Bandhaghat",9,RIRuO,103,25,281,127,57,99,229,68,50,Critical
West Bengal,Kolkata,"Salt Lake, Rooftop of CK Market",474,RIRuO,103,18,257,83,26,51,192,64,32,High
West Bengal,Kolkata,"Moulali, Rooftop of KMC office Building",473,RIRuO,104,22,391,103,31,71,216,82,38,Critical
West Bengal,Kolkata,"Minto Park, Inside Park AJC Bose Road",475,RIRuO,102,17,211,68,22,43,143,52,27,High
West Bengal,Kolkata,"Dunlop Bridge, National Sample Survey Building",472,RIRuO,102,16,336,100,31,57,226,81,38,Critical
West Bengal,Kolkata,"Behala Chowrasta, Traffic Guard Building",476,RIRuO,103,16,364,98,33,63,220,76,37,Critical
West Bengal,Kolkata,"Baishnabghata, Upanagari Sporting Club",477,RIRuO,101,14,306,77,21,41,183,69,30,High
West Bengal,Kolkata,"Cossipore Police Station, B.T. Road",162,RIRuO,96,12,573,142,31,108,275,111,52,Critical
West Bengal,Kolkata,"Lal-Bazar, Dalhousie Square",163,RIRuO,96,23,401,112,36,77,223,81,42,Critical
West Bengal,Kolkata,Kasba,348,RIRuO,96,10,376,111,28,73,234,90,44,Critical
West Bengal,Raniganj,Raniganj Municipality,662,RIRuO,105,50,487,197,74,182,359,115,69,Critical
West Bengal,Raniganj,"Mangalpur, SKS School  Mangalpur",660,RIRuO,105,41,376,150,62,146,256,78,63,Critical
West Bengal,Raniganj,Jamuria Municipality,661,RIRuO,105,29,345,130,48,123,224,73,56,Critical
West Bengal,Sankrail,Bharat Co-operative Housing Society,657,RIRuO,104,19,212,95,40,77,177,53,40,Critical
West Bengal,Sankrail,"Bagan Police Station, Bagan",659,RIRuO,104,24,263,115,47,94,209,64,48,Critical
West Bengal,Sankrail,Dhulagar Gram Pachayat,656,RIRuO,104,22,273,108,44,90,202,63,43,Critical
West Bengal,Sankrail,"P Mukherjee's House, Near SBI Amta",658,RIRuO,104,15,223,81,30,59,161,54,30,High
West Bengal,South Suburban,"Chanditala Water Supply Pump House, Tollygunge",652,RIRuO,102,14,272,80,24,44,188,67,34,High
West Bengal,South Suburban,"Bauipur Police Station, Baruipur",650,RIRuO,105,15,290,86,24,53,197,72,35,High
West Bengal,South Suburban,"P Roy Industrial Training Institute, Amtala",651,RIRuO,103,15,262,81,20,51,181,67,32,High
