State ,City,Location,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Punjab,Patiala,"Fire Brigade Station, Bahera Road, Patiala",RIRuO,NA,114,59,335,96,75,116,29,25,Critical
Punjab,Batala,NA,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Puducherry,Puducherry,"DSTC Office Upstairs, AnnaNagar",RIRuO,NA,84,21,70,43,31,59,10,0,Moderate
Puducherry,Puducherry,PIPDIC Ind. Estate Mettupalayam,RIRuO,NA,72,25,73,50,35,65,12,0,Moderate
Puducherry,Puducherry,Chamber Of Commerce,RIRuO,NA,76,17,48,32,23,43,7,0,Moderate
Rajasthan,Alwar,Rajasthan State Pollution Control Board,ES,Aravali range,69,39,405,175,86,279,79,80,Critical
Rajasthan,Alwar,Gaurav Solvex Ltd. MIA,ES,Aravali range,69,35,1288,294,108,652,240,90,Critical
Rajasthan,Alwar,"RIICO Pump House,  MIA",ES,Aravali range,69,34,614,173,75,290,107,70,Critical
Rajasthan,Jaipur,Ajmeri Gate,RIRuO,NA,107,22,422,141,58,245,75,68,Critical
Rajasthan,Jaipur,"RJPB Office,Jhalana Doongari",RIRuO,NA,100,15,277,90,43,133,45,33,High
Rajasthan,Jaipur,"District Education Officer, Chandpole",RIRuO,NA,103,53,380,167,89,278,77,81,Critical
Rajasthan,Jaipur,"RIICO Office, M.I.A.",RIRuO,NA,98,20,387,97,40,162,55,35,Critical
Rajasthan,Jaipur,"RSPCB, Vidyadhar Nagar",RIRuO,NA,102,33,485,189,72,324,90,83,Critical
Rajasthan,Jaipur,VKIA,RIRuO,NA,93,59,461,200,88,323,90,85,Critical
Rajasthan,Jodhpur,"DIC Office, Industrial Estate",RIRuO,NA,99,38,274,124,63,186,186,68,Critical
Rajasthan,Jodhpur,Sojati Gate,RIRuO,NA,102,63,415,217,124,293,293,94,Critical
Rajasthan,Jodhpur,"Basni Industrial Area, RIICO Office",RIRuO,NA,96,66,409,195,104,271,271,91,Critical
Rajasthan,Jodhpur,Maha Mandir Police Thane,RIRuO,NA,99,44,403,203,114,278,278,95,Critical
Rajasthan,Jodhpur,"Office of Housing Board, Chopasani Road",RIRuO,NA,102,21,275,126,61,183,183,73,Critical
Rajasthan,Jodhpur,Shastri Nagar Police Thana,RIRuO,NA,100,32,297,141,55,213,213,73,Critical
Rajasthan,Kota,"Regional Office, RJPB, Anantpura",RIRuO,NA,90,15,370,164,44,280,280,68,Critical
Rajasthan,Kota,Municipal Corporation Building,RIRuO,NA,90,20,301,125,32,217,217,62,Critical
Rajasthan,Kota,Samcore Glass Ltd.,RIRuO,NA,89,15,307,129,38,215,215,60,Critical
Rajasthan,Udaipur,Ambamata,RIRuO,NA,103,21,275,112,46,180,180,54,Critical
Rajasthan,Udaipur,Town Hall,RIRuO,NA,100,33,392,153,49,280,280,69,Critical
Rajasthan,Udaipur,"Regional Office,MIA",RIRuO,NA,103,54,869,249,93,427,427,88,Critical
Sikkim,Gangtok,White Hall Complex,ES,Hill station,Null,Null,Null,Null,Null,Null,Null,Null,Null
Sikkim,Gangtok,"Metro Point, Hospital Complex",ES,Hill station,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam",RIRuO,NA,100,24,363,130,71,217,65,62,Critical
Tamilnadu,Chennai,"Govt. High School, Manali",RIRuO,NA,95,26,225,85,41,134,40,38,High
Tamilnadu,Chennai,Thiruvottiyur,RIRuO,NA,96,22,197,83,48,124,33,31,High
Tamilnadu,Chennai,Madras Medical College,RIRuO,NA,91,5,80,28,14,43,14,0,Low
Tamilnadu,Chennai,"NEERI, CSIR CampusTaramani",RIRuO,NA,94,3,65,29,15,46,13,0,Low
Tamilnadu,Chennai,Thiruvottiyur Municipal Office,RIRuO,NA,93,7,78,36,22,55,15,0,Moderate
Tamilnadu,Chennai,Adiyar,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Chennai,Kilpauk,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Chennai,Thiyagaraya Nagar,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Chennai,Vallar Nagar,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Chennai,Anna Nagar,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Coimbatore,"Poniarajapuram, On the top of DEL",RIRuO,NA,96,11,273,69,28,109,40,17,High
Tamilnadu,Coimbatore,G.D.Matric Hr.Sec.School,RIRuO,NA,92,16,218,70,36,107,38,14,High
Tamilnadu,Coimbatore,"SIDCO Office, Coimbatore/ Kurichi",RIRuO,NA,101,20,443,119,51,192,71,53,Critical
Tamilnadu,Madurai,Highway (Project -I) Building,RIRuO,NA,96,23,77,47,36,58,10,0,Moderate
Tamilnadu,Madurai,Fenner (I) Ltd.  Kochadai,RIRuO,NA,95,18,63,43,34,54,8,0,Moderate
Tamilnadu,Madurai,Kunnathur Chatram Avvai Girls HS School,RIRuO,NA,102,25,75,45,34,55,9,0,Moderate
Tamilnadu,Salem,Sowdeswari College Building,RIRuO,NA,144,28,150,65,42,99,24,10,High
Tamilnadu,Tuticorin,"Fisheries College, Tuticorin Sipcot",RIRuO,NA,95,26,437,111,52,175,65,48,Critical
Tamilnadu,Tuticorin,Raja Agencies,RIRuO,NA,95,51,601,204,96,309,106,89,Critical
Tamilnadu,Tuticorin,AVM Jewellery Building,RIRuO,NA,101,17,196,76,37,127,36,20,High
Tamilnadu,Trichy,Gandhi Market,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Trichy,Main Guard Gate,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Trichy,Bishop Heber College,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Trichy,Golden Rock,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tamilnadu,Trichy,Central Bus Stand,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uttar Pradesh,Agra,"Regional Office, Bodla",ES,Taj-trapezium,95,112,215,162,132,192,24,100,Critical
Uttar Pradesh,Agra,Nunhai,ES,Taj-trapezium,96,123,268,190,158,228,29,100,Critical
Uttar Pradesh,Agra,Taj Mahal,ES,Taj-trapezium,260,9,622,141,28,274,101,62,Critical
Uttar Pradesh,Agra,DIC Nunhai,ES,Taj-trapezium,117,26,601,183,47,364,129,64,Critical
Uttar Pradesh,Agra,Etmad-uddaulah,ES,Taj-trapezium,117,12,485,167,34,328,113,68,Critical
Uttar Pradesh,Agra,Rambagh,ES,Taj-trapezium,122,20,420,144,43,268,91,61,Critical
Uttar Pradesh,Allahabad,Square crossing circle of Laxmi Talkies,RIRuO,NA,42,118,415,264,156,355,74,100,Null
Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,RIRuO,NA,104,100,649,256,141,384,104,99,Critical
Uttar Pradesh,Anpara,"Anpara Colony, Sonabhadra",RIRuO,NA,103,75,582,140,120,154,47,94,Critical
Uttar Pradesh,Anpara,"Renusagar Colony, Sonabhadra",RIRuO,NA,103,92,168,140,116,162,18,97,Critical
Uttar Pradesh,Bareily,IVRI Izatnaga,RIRuO,NA,82,130,348,189,155,225,37,100,Critical
Uttar Pradesh,Bareily,"Indian oetrol pump, Civil Line",RIRuO,NA,84,148,530,247,189,286,65,100,Critical
Uttar Pradesh,Firozabad,Center for Development of Glass Industry,ES,Taj-trapezium,50,85,460,283,213,362,75,98,Critical
Uttar Pradesh,Firozabad,Tilak Nagar,ES,Taj-trapezium,52,74,426,262,206,324,72,94,Critical
Uttar Pradesh,Firozabad,Raza ka Tal,ES,Taj-trapezium,53,36,543,268,157,388,99,91,Critical
Uttar Pradesh,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",RIRuO,NA,50,71,114,95,86,104,8,22,Critical
Uttar Pradesh,Gajraula,"Indira Chowk, J.P. Nagar",RIRuO,NA,22,68,102,84,72,96,9,5,Null
Uttar Pradesh,Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",RIRuO,NA,95,214,308,250,231,270,17,100,Critical
Uttar Pradesh,Ghaziabad,Bulandshaar Road Industrial Area,RIRuO,NA,91,118,254,212,191,230,20,100,Critical
Uttar Pradesh,Jhansi,Jail Chauraha,RIRuO,NA,120,87,189,130,109,148,17,94,Critical
Uttar Pradesh,Jhansi,Veeranga Nagar,RIRuO,NA,120,65,172,106,80,122,17,73,Critical
Uttar Pradesh,Kanpur,"Forest & Training Centre, Kidwai Nagar",RIRuO,NA,59,178,246,209,186,227,15,100,Critical
Uttar Pradesh,Kanpur,Chamber Of Commerce Darshanpurwa,RIRuO,NA,55,180,247,211,194,231,16,100,Critical
Uttar Pradesh,Kanpur,"Associated Chem Pvt Ltd, Fazalganj, Panki, Site-5",RIRuO,NA,38,190,269,227,201,261,21,76,Null
Uttar Pradesh,Kanpur,Dabauli / Shastri NGR,RIRuO,NA,28,177,222,204,188,220,13,100,Null
Uttar Pradesh,Kanpur,Jajmau / Awas Vikas,RIRuO,NA,55,162,225,199,181,212,14,100,Critical
Uttar Pradesh,Kanpur,"Vikas Nagar, Kanpur",RIRuO,NA,226,19,504,139,32,265,98,60,Critical
Uttar Pradesh,Kanpur,"I.I.T. Campus, Kanpur",RIRuO,NA,71,34,228,108,64,159,40,52,Critical
Uttar Pradesh,Kanpur,"Dada Nagar, Kanpur",RIRuO,NA,83,66,521,213,91,343,97,86,Critical
Uttar Pradesh,Kanpur,"Ramadevi, Kanpur",RIRuO,NA,62,47,388,146,70,238,77,66,Critical
Uttar Pradesh,Khurja,Central Glass & Ceramic Research Institute,RIRuO,NA,96,140,197,173,161,182,10,100,Critical
Uttar Pradesh,Khurja,Ahirpara,RIRuO,NA,73,134,167,154,142,163,8,100,Critical
Uttar Pradesh,Lucknow,Mahanagar,RIRuO,NA,104,130,352,188,153,210,28,100,Critical
Uttar Pradesh,Lucknow,"Chandganj Garden, Aliganj",RIRuO,NA,107,115,234,183,150,206,22,100,Critical
Uttar Pradesh,Lucknow,"Kapoor Hotel, Hazratganj",RIRuO,NA,103,135,433,187,155,211,32,100,Critical
Uttar Pradesh,Lucknow,Talkatora,RIRuO,NA,106,139,253,196,162,222,25,100,Critical
Uttar Pradesh,Lucknow,Aminabad / S.M.K Chowk,RIRuO,NA,107,109,227,190,158,215,23,100,Critical
Uttar Pradesh,Meerut,Begum Bridge,RIRuO,NA,71,103,143,126,115,138,9,100,Critical
Uttar Pradesh,Meerut,Thana Railway Road / Kesarganj,RIRuO,NA,66,107,191,119,109,128,11,100,Critical
Uttar Pradesh,Muradabad,"Hindu College, Station Road",RIRuO,NA,102,38,335,168,101,240,55,90,Critical
Uttar Pradesh,Muradabad,"Central Police Hospital, Civil Lines",RIRuO,NA,99,19,258,123,50,197,53,63,Critical
Uttar Pradesh,Noida,"UP PPCB, E-12/1, Sector - 1",RIRuO,NA,96,78,193,139,115,159,21,94,Critical
Uttar Pradesh,Noida,Gee-Pee Electroplating and Eng. Work,RIRuO,NA,96,84,166,137,120,153,15,97,Critical
Uttar Pradesh,Varanasi,"Regional Office, Jawahar Nagar",RIRuO,NA,87,111,151,128,112,144,12,100,Critical
Uttar Pradesh,Varanasi,Sigra,RIRuO,NA,85,108,149,127,113,145,12,100,Critical
Uttar Pradesh,Unnao,"H. No. 5, Krishna Nagar, Unnao",RIRuO,NA,12,99,167,128,105,156,26,92,Null
Uttar Pradesh,Unnao,"IIA Building, Industrial Area, Site 10, Unnao",RIRuO,NA,14,107,160,135,112,154,16,100,Null
Uttar Pradesh,Saharanpur,"SRE-A, IIT Roorkee, Saharanpur Campus",RIRuO,NA,28,33,39,36,35,38,2,0,Null
Uttar Pradesh,Saharanpur,"UPCL S.E. Office, Near Clock Tower",RIRuO,NA,28,33,56,48,42,56,6,0,Null
Uttar Pradesh,Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",RIRuO,NA,71,54,217,130,61,186,49,65,Critical
Uttar Pradesh,Raebareli,Khoya mandi Tiraha Lucknow Road Raebareli,RIRuO,NA,57,66,206,123,71,191,49,44,Critical
Uttar Pradesh,Raebareli,Amawan Road Ind. Area Raebareli,RIRuO,NA,49,69,268,146,83,212,56,67,Null
Uttar Pradesh,Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",RIRuO,NA,22,139,277,198,146,243,40,100,Null
Uttar Pradesh,Mathura,"CETP, Industrial Area, Mathura",RIRuO,NA,22,148,299,214,158,283,50,100,Null
Uttar Pradesh,Gorakpur,"M. M.M. Engineering College, Gorakhpur",RIRuO,NA,36,31,62,46,34,59,10,0,Null
Uttar Pradesh,Gorakpur,"India Glycol Ltd. Gida, Gorakhpur",RIRuO,NA,36,55,89,69,57,85,11,0,Null
Uttar Pradesh,Gorakpur,"Jalkal, Muncipal Corporation, Golghar",RIRuO,NA,19,84,91,87,84,90,3,0,Null
Uttarakhand,Dehradun,"Raipur Road, Near parag Diary",ES,Doon valley,44,79,234,142,96,193,38,89,Null
Uttarakhand,Dehradun,"Clock Tower, PWD Guest House",ES,Doon valley,44,95,336,188,115,253,58,93,Null
Uttarakhand,Dehradun,Himalaya Drug Co. Near ISBT,ES,Doon valley,46,37,279,139,73,192,51,76,Null
Uttarakhand,Haldwani,Govt. Women Hospital,RIRuO,NA,45,42,245,125,60,179,49,64,Null
Uttarakhand,Haridwar,"SIDCUL, Haridwar",RIRuO,NA,57,57,247,137,81,211,49,75,Critical
Uttarakhand,Kashipur,"BSNL Office, Kashipur",RIRuO,NA,59,89,575,291,172,471,112,98,Critical
Uttarakhand,Rishikesh,Nagar Palika Parishad,ES,Hill station,62,22,234,94,52,137,34,37,Critical
Uttarakhand,Rudrapur,SIDCUL Office,RIRuO,NA,30,73,309,150,96,259,62,83,Null
West Bengal,Asansol,Asansol Municipal Corporation,RIRuO,NA,96,25,326,124,45,229,74,50,Critical
West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",RIRuO,NA,96,20,348,122,33,259,91,43,Critical
West Bengal,Asansol,"Burnpur Town Department, Burnpur",RIRuO,NA,104,17,440,178,46,357,119,63,Critical
West Bengal,Barrackpore,Barrackpore Municiaplity,RIRuO,NA,104,16,155,50,23,91,28,8,Moderate
West Bengal,Barrackpore,Dum Dum Telephone Exchange,RIRuO,NA,104,22,410,127,44,239,84,54,Critical
West Bengal,Barrackpore,Khardah Municipality,RIRuO,NA,104,31,404,116,42,241,81,42,Critical
West Bengal,Durgapur,"DMC Water Works, Angadpur",RIRuO,NA,43,49,384,166,64,272,89,65,Null
West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, Benachiti",RIRuO,NA,43,54,277,135,70,198,57,63,Null
West Bengal,Durgapur,"Bidhannagar, PCBL Club, Muchipara",RIRuO,NA,43,30,188,91,40,161,49,47,Null
West Bengal,Durgapur,"Dew India Limited, PCBL More, Durgapur",RIRuO,NA,43,77,650,272,98,497,168,88,Null
West Bengal,Haldia,"Bhabanipur, Milan Viyapith, Bhabanipur",RIRuO,NA,104,72,361,157,104,248,61,92,Critical
West Bengal,Haldia,"Bhunia Raichak, Driver's Hut , Bhunia",RIRuO,NA,104,66,217,122,90,172,33,76,Critical
West Bengal,Haldia,"Supermarket Building, Durgachak",RIRuO,NA,104,45,181,113,84,145,26,70,Critical
West Bengal,Haldia,WBIIDC Ruchi Soya Ind. Durgachak,RIRuO,NA,104,79,347,152,105,215,49,93,Critical
West Bengal,Haldia,"Priyangbada, Housing Estate",RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
West Bengal,Howrah,Howrah Municipal Corporation Building,RIRuO,NA,104,30,343,138,50,265,88,49,Critical
West Bengal,Howrah,"Naskarpara Pump House, Ghuseri",RIRuO,NA,104,27,375,127,42,248,91,44,Critical
West Bengal,Howrah,"CDS & Health Centre, Bator",RIRuO,NA,104,25,350,129,43,261,92,48,Critical
West Bengal,Howrah,"Howrah Municipality School, Bandhaghat",RIRuO,NA,104,23,361,129,46,249,87,45,Critical
West Bengal,Kolkata,"Salt Lake, Rooftop of CK Market",RIRuO,NA,104,18,359,98,30,212,76,43,Critical
West Bengal,Kolkata,"Moulali, Rooftop of KMC office Building",RIRuO,NA,104,28,341,116,40,234,82,45,Critical
West Bengal,Kolkata,"Minto Park, Inside Park AJC Bose Road",RIRuO,NA,104,19,291,86,27,176,64,42,High
West Bengal,Kolkata,"Dunlop Bridge, National Sample Survey",RIRuO,NA,104,26,335,123,34,246,87,56,Critical
West Bengal,Kolkata,"Behala Chowrasta, Traffic Guard Building",RIRuO,NA,104,22,311,111,38,246,80,45,Critical
West Bengal,Kolkata,"Baishnabghata, Upanagari Sporting Club",RIRuO,NA,104,18,322,89,25,187,71,41,High
West Bengal,Kolkata,"Cossipore Police Station, B.T. Road",RIRuO,NA,88,13,533,151,39,283,108,56,Critical
West Bengal,Kolkata,"Dalhousie Square, Lal Bazzar Police Headqtr.",RIRuO,NA,88,18,475,140,37,290,102,57,Critical
West Bengal,Kolkata,Kasba,RIRuO,NA,88,19,349,118,30,239,90,45,Critical
West Bengal,Kolkata,JD Park,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
West Bengal,Raniganj,Raniganj Municipality,RIRuO,NA,104,50,498,206,72,365,115,80,Critical
West Bengal,Raniganj,"Mangalpur, SKS School Mangalpur",RIRuO,NA,104,21,292,122,36,247,77,50,Critical
West Bengal,Raniganj,Jamuria Municipality,RIRuO,NA,104,26,291,132,54,226,65,61,Critical
West Bengal,Sankrail,Bharat Co-op Housing Society,RIRuO,NA,104,24,273,112,39,212,68,45,Critical
West Bengal,Sankrail,"Bagan Police Station, Bagan",RIRuO,NA,77,23,283,137,37,238,77,58,Critical
West Bengal,Sankrail,Dhulagar  Gram Pachayat,RIRuO,NA,104,25,353,114,39,229,75,43,Critical
West Bengal,Sankrail,"P Mukherjee's House, Near SBI Amta",RIRuO,NA,104,18,242,92,26,185,63,39,Critical
West Bengal,South Suburban,"Chanditala Water Supply , Tollygunge",RIRuO,NA,104,18,295,89,25,186,66,38,High
West Bengal,South Suburban,"Bauipur Police Station, Baruipur",RIRuO,NA,104,15,263,105,32,221,75,43,Critical
West Bengal,South Suburban,"P Roy Industrial Training Institute, Amtala",RIRuO,NA,104,12,287,95,26,192,72,39,Critical
