State,City,Location,Station code,Type,Category of ES,No. of mon. days (n),Min,Max,NO2 Annual average (µg/m3),10 percentile,90 percentile,Std. Dev.,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,582,RIRuO,NA,72,9,9,9,9,9,0,0,Low
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",583,RIRuO,NA,69,9,13,10,9,11,1,0,Low
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab. IICT Campus",150,RIRuO,NA,94,5,55,33,24,40,8,0,Moderate
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",151,RIRuO,NA,93,13,54,32,21,38,7,0,Moderate
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office,152,RIRuO,NA,95,10,62,35,27,41,7,0,Moderate
Andhra Pradesh,Hydrabad,Balanagar,95,RIRuO,NA,110,14,108,32,22,41,12,2,Moderate
Andhra Pradesh,Hydrabad,"Uppal, Modern Foods & Industries IDA",203,RIRuO,NA,107,18,48,30,21,39,6,0,Moderate
Andhra Pradesh,Hydrabad,Jublee Hills,365,RIRuO,NA,108,11,49,19,13,26,7,0,Low
Andhra Pradesh,Hydrabad,Paradise,393,RIRuO,NA,114,15,51,30,22,38,7,0,Moderate
Andhra Pradesh,Hydrabad,Charminar,394,RIRuO,NA,117,16,46,29,21,36,6,0,Moderate
Andhra Pradesh,Hydrabad,Zoo Park,470,RIRuO,NA,116,11,335,18,12,19,30,1,Low
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,578,RIRuO,NA,36,9,9,9,9,9,0,0,Null
Andhra Pradesh,Kothagudem,"CER Club, Khamam",581,RIRuO,NA,71,9,9,9,9,9,0,0,Low
Andhra Pradesh,Kurnool,Mourya Inn,466,RIRuO,NA,90,9,9,9,9,9,0,0,Low
Andhra Pradesh,Nalgonda,AP PCB Nalgonda,577,RIRuO,NA,108,11,23,18,14,21,3,0,Low
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",580,RIRuO,NA,60,9,13,10,9,11,1,0,Low
Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",468,RIRuO,NA,108,16,50,22,19,25,4,0,Moderate
Andhra Pradesh,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",465,RIRuO,NA,91,4,38,11,9,15,5,0,Low
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",389,RIRuO,NA,90,9,24,9,9,9,2,0,Low
Andhra Pradesh,Vijaywada,Benz Circle,462,RIRuO,NA,73,10,26,11,10,14,2,0,Low
Andhra Pradesh,Vijaywada,Autonagar,469,RIRuO,NA,70,10,17,11,10,14,2,0,Low
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",579,RIRuO,NA,91,5,36,11,9,14,3,0,Low
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",234,RIRuO,NA,87,9,38,20,12,27,6,0,Low
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",233,RIRuO,NA,82,9,43,21,13,31,7,0,Moderate
Andhra Pradesh,Vishakhapatnam,Police Barracks,371,RIRuO,NA,78,11,85,27,18,33,10,1,Moderate
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area",387,RIRuO,NA,77,11,30,19,13,25,4,0,Low
Andhra Pradesh,Vishakhapatnam,Seethammadhara,388,RIRuO,NA,80,10,32,18,12,23,5,0,Low
Andhra Pradesh,Vishakhapatnam,Ganapuram Area,467,RIRuO,NA,80,10,73,29,20,36,9,0,Moderate
Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",584,RIRuO,NA,69,9,25,16,11,22,4,0,Low
Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",585,RIRuO,NA,71,9,19,13,10,17,3,0,Low
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",542,RIRuO,NA,103,8,16,12,10,14,2,0,Low
Assam,Bongaigaon,Barpara Office Building,520,RIRuO,NA,104,8,28,15,12,18,3,0,Low
Assam,Bongaigaon,B.R.P.L. Expert Hostel,218,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Assam,Daranga,"BATAD, Baska",566,RIRuO,NA,77,10,20,14,11,16,2,0,Low
Assam,Dibrugarh,Dibrugarh Office Building,538,RIRuO,NA,98,9,17,13,11,15,2,0,Low
Assam,Golaghat,Golaghat Office Building,539,ES,Numaligarh,89,9,25,15,12,17,2,0,Low
Assam,Guwahati,"Head Office, Bamunimaidam",193,RIRuO,NA,251,9,20,14,13,16,2,0,Low
Assam,Guwahati,"Boragaon, IASST, Kamrup",603,RIRuO,NA,99,8,20,14,11,16,2,0,Low
Assam,Guwahati,"Guwahati University, Kamrup",602,RIRuO,NA,208,7,46,13,11,15,3,0,Low
Assam,Guwahati,"ITI Building, Gopinath Nagar",519,RIRuO,NA,246,8,22,15,13,18,2,0,Low
Assam,Guwahati,"Khanapara, Central Dairy, Kamrup",596,RIRuO,NA,250,6,20,13,11,15,2,0,Low
Assam,Guwahati,"Near Pragjyotish College, Santipur",541,RIRuO,NA,250,7,19,14,11,17,2,0,Low
Assam,Margherita,Coal India Office,586,RIRuO,NA,100,13,26,20,17,24,3,0,Low
Assam,Lakhimpur,"Bazar Patti, North Lakhimpur Town",587,RIRuO,NA,103,10,18,13,12,15,1,0,Low
Assam,Nagaon,"Water Resources Div., Christian Patty",595,RIRuO,NA,98,7,19,13,10,15,2,0,Low
Assam,Nalbari,PWD Rural Div Office Complex,597,RIRuO,NA,92,10,23,15,13,17,2,0,Low
Assam,Sibsagar,Sibasagar Office Building,537,RIRuO,NA,101,9,18,14,12,17,2,0,Low
Assam,Sibsagar,"Usha Lodge, near ONGCL Colony",604,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Assam,Silchar,Janiganj Govt. Boys HS School campus,607,RIRuO,NA,97,10,17,14,12,16,2,0,Low
Assam,Silchar,"RLO, Ithkola Market, Ghaniwala Road",567,RIRuO,NA,95,8,19,15,12,17,2,0,Low
Assam,Tezpur,Tezpur Office Building,536,RIRuO,NA,105,9,17,12,11,14,1,0,Low
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",594,RIRuO,NA,101,9,18,12,11,14,1,0,Low
Assam,Tinsukia,"Shreepuria, Borguri",605,RIRuO,NA,100,6,15,12,11,14,1,0,Low
Bihar,Patna,"Beltron Bhawan, Shastri Nagar",210,RIRuO,NA,83,2,51,25,11,42,13,0,Moderate
Bihar,Patna,Gandhi Maidan Test Centre,284,RIRuO,NA,84,11,183,70,22,124,44,42,Critical
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",106,RIRuO,NA,142,5,54,20,8,35,11,0,Low
Chandigarh,Chandigarh,Sector-17 C,263,RIRuO,NA,143,5,53,18,7,28,9,0,Low
Chandigarh,Chandigarh,"Punjab Engineering College, Sector- 12",264,RIRuO,NA,144,5,42,14,5,24,8,0,Low
Chandigarh,Chandigarh,"Sector-39, IMTECH",463,RIRuO,NA,143,5,42,14,5,25,8,0,Low
Chandigarh,Chandigarh,Kaimbwala Village,464,RIRuO,NA,134,5,40,13,5,24,8,0,Low
Chattisgarh,Bhillai,"Visak Hostel, Sector-4",65,RIRuO,NA,94,18,25,21,19,23,1,0,Moderate
Chattisgarh,Bhillai,"R.O., 5/32 Banglow Office Building",67,RIRuO,NA,96,12,19,15,13,17,1,0,Low
Chattisgarh,Bhillai,M.P. Laghu Udyog Nigam,245,RIRuO,NA,94,28,34,31,30,32,1,0,Moderate
Chattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",669,RIRuO,NA,69,8,30,21,17,28,5,0,Moderate
Chattisgarh,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",364,RIRuO,NA,89,18,22,20,19,21,1,0,Low
Chattisgarh,Korba,"Pragati Nagar NTPC Colony, Jamnipali",249,RIRuO,NA,94,18,22,20,19,21,1,0,Low
Chattisgarh,Korba,"I.T.I., Rampur",407,RIRuO,NA,94,19,22,21,20,22,1,0,Moderate
Chattisgarh,Raipur,"New HIG-9, Hirapur",368,RIRuO,NA,32,37,45,42,39,44,2,0,Null
Chattisgarh,Raipur,"M/S Wool Worth India, Sarora",223,RIRuO,NA,41,38,50,44,41,48,3,0,Null
Chattisgarh,Raipur,"Yatayat Thana, Jai Stambh Chowk",447,RIRuO,NA,29,35,44,40,37,42,2,0,Null
Dadra & Nagar Haveli,Silvassa,"Khadoli Industrial Area, Khadoli",558,RIRuO,NA,97,17,25,19,18,20,1,0,Low
Dadra & Nagar Haveli,Silvassa,"Chetan Guest House, Near Post Office",559,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Daman & Diu,Daman,"Kadaiya Industrial Area, Kadaiya",560,RIRuO,NA,111,17,49,20,18,20,3,0,Low
Daman & Diu,Daman,"110/2, First Floor, Air Port Road, Kadaiya",561,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Delhi,Delhi,"N.Y. School, Sarojini Nagar, Delhi",144,RIRuO,NA,96,26,151,74,41,125,31,38,Critical
Delhi,Delhi,"Town Hall, Chandni Chowk",146,RIRuO,NA,96,17,141,75,37,115,30,39,Critical
Delhi,Delhi,"Mayapuri Industrial Area, Delhi",345,RIRuO,NA,96,19,139,70,32,113,30,34,Critical
Delhi,Delhi,Pritampura,531,RIRuO,NA,76,31,58,41,34,51,7,0,High
Delhi,Delhi,Shahadra,58,RIRuO,NA,75,35,70,54,43,62,8,0,High
Delhi,Delhi,Shahzada Bagh,57,RIRuO,NA,72,34,76,56,46,69,9,0,High
Delhi,Delhi,Nizamuddin,55,RIRuO,NA,73,22,67,47,35,58,9,0,High
Delhi,Delhi,Janakpuri,59,RIRuO,NA,74,26,67,49,38,60,9,0,High
Delhi,Delhi,Siri Fort,60,RIRuO,NA,74,22,78,47,34,60,11,0,High
Delhi,Delhi,"ITO, BSZ Marg",438,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Goa,Panaji,"Old GSPCB premises, Patto",327,RIRuO,NA,93,5,48,17,10,26,7,0,Low
Goa,Marmagao,"Fire Brigade Station, Port Trust",435,RIRuO,NA,92,5,63,19,10,31,9,0,Low
Goa,Vasco,"Fuse Call Office, Mormugao",37,RIRuO,NA,78,6,66,18,10,29,10,0,Low
Goa,Curchorem,"Curchorem, Sanvordem, Quepem",628,RIRuO,NA,102,10,34,16,12,20,4,0,Low
Goa,Codli,"Codli Tisk, Ponda",630,RIRuO,NA,121,10,32,15,11,24,5,0,Low
Goa,Honda,"Honda Junction, Sattari",631,ES,Sahyadri,70,10,34,19,12,26,6,0,High
Goa,Bicholim,Bicholim Taluk,632,RIRuO,NA,94,11,32,16,12,22,5,0,Low
Goa,Amona,"Amona, Bicholim",633,RIRuO,NA,93,10,31,16,11,24,5,0,Low
Goa,Assanora,"Assanora Junction, Bardez Taluka",634,RIRuO,NA,96,10,24,14,10,20,4,0,Low
Goa,Usgao,"Usgao Plae, Junction, Ponda",629,RIRuO,NA,100,6,30,15,10,23,5,0,Low
Goa,Margao,Margao Town,NA,RIRuO,NA,5,20,24,23,21,24,2,0,Null
Goa,Tilamol,Tilamol,NA,RIRuO,NA,20,24,27,25,24,27,1,0,Null
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",101,RIRuO,NA,102,16,49,35,28,42,6,0,Moderate
Gujarat,Ahmedabad,Cadilla Bridge Narol,102,RIRuO,NA,104,18,54,27,21,33,5,0,Moderate
Gujarat,Ahmedabad,L.D. Engg. College,103,RIRuO,NA,102,12,28,18,15,22,3,0,Low
Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",154,RIRuO,NA,104,15,42,23,18,27,4,0,Moderate
Gujarat,Ahmedabad,"R.C. Technical High School, Mirzapur",155,RIRuO,NA,104,15,57,23,18,27,5,0,Moderate
Gujarat,Ahmedabad,"Naroda, G.I.D.C.",347,RIRuO,NA,103,16,58,24,19,29,6,0,Moderate
Gujarat,Anklesvar,Rallis India Ltd.,252,RIRuO,NA,104,20,94,28,22,31,9,1,Moderate
Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",253,RIRuO,NA,104,12,31,23,19,27,3,0,Moderate
Gujarat,Jamnagar,Fisheries Office,319,RIRuO,NA,104,18,35,25,21,29,3,0,Moderate
Gujarat,Rajkot,Nr. Sardhara Industrial Corporation,257,RIRuO,NA,104,12,47,20,17,22,3,0,Low
Gujarat,Rajkot,GPCB Regional Offce,374,RIRuO,NA,104,12,24,16,14,18,2,0,Low
Gujarat,Surat,S.V.R. Engg. College,21,RIRuO,NA,104,16,67,24,18,27,6,0,Moderate
Gujarat,Surat,"B.R.C. High School, Udhna",22,RIRuO,NA,104,21,38,29,25,34,4,0,Moderate
Gujarat,Surat,Near Air India Office,23,RIRuO,NA,104,19,65,26,20,29,6,0,Moderate
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",50,RIRuO,NA,93,11,27,15,12,19,3,0,Low
Gujarat,Vadodara,Dandia Bazaar,333,RIRuO,NA,93,22,45,29,24,39,6,0,Moderate
Gujarat,Vadodara,CETP Nandesari,334,RIRuO,NA,90,21,95,43,37,49,8,1,High
Gujarat,Vadodara,Subhanpura,442,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Gujarat,Vapi,"GEB, IIIrd Phase, GIDC",367,RIRuO,NA,104,21,35,26,22,31,3,0,Moderate
Gujarat,Vapi,"Vapi Nagar Palika, Vapi",221,RIRuO,NA,104,16,31,24,19,27,3,0,Moderate
Haryana,Faridabad,Escorts Research Centre Mathura Road,331,RIRuO,NA,98,11,99,50,18,78,25,8,High
Haryana,Faridabad,Haryana SPCB Sector-16A,330,RIRuO,NA,133,4,61,38,13,56,17,0,Moderate
Haryana,Hissar,Urban Estate - II,390,RIRuO,NA,60,5,9,7,5,9,1,0,Low
Haryana,Hissar,Guru Jambehswar University,414,RIRuO,NA,102,5,11,7,5,10,2,0,Low
Haryana,Yamunanagar,Ballarpur Industries,196,RIRuO,NA,47,23,32,26,24,29,2,0,Null
Himachal Pradesh,Baddi,Industry Department Office Building,449,RIRuO,NA,138,5,59,15,9,Null,9,0,Low
Himachal Pradesh,Baddi,AHC barotiwala,564,RIRuO,NA,134,4,148,15,9,27,14,1,Low
Himachal Pradesh,Baddi,Housing Board,563,RIRuO,NA,129,1,41,16,9,27,7,0,Low
Himachal Pradesh,Damtal,Regional Office,268,RIRuO,NA,144,5,18,9,6,13,3,0,Low
Himachal Pradesh,Damtal,Old Road,271,RIRuO,NA,129,5,17,11,7,14,3,0,Low
Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,461,RIRuO,NA,166,12,27,17,15,20,2,0,Low
Himachal Pradesh,Kala Amb,Kala Amb Town/Trilokpur,530,RIRuO,NA,170,12,18,15,13,16,1,0,Low
Himachal Pradesh,Nalagarh,Municipal Council,565,RIRuO,NA,126,5,27,13,8,22,5,0,Low
Himachal Pradesh,Parwanoo,"Regional Office, Sector- 4",132,RIRuO,NA,147,1,15,7,5,11,3,0,Low
Himachal Pradesh,Parwanoo,Asst. Commissioner Building Sector I,339,RIRuO,NA,133,4,29,10,5,14,4,0,Low
Himachal Pradesh,Paonta Sahib,Paonta Sahib,117,RIRuO,NA,150,12,28,15,13,17,2,0,Low
Himachal Pradesh,Paonta Sahib,Gondhpur Industrial Area,118,RIRuO,NA,123,14,23,2,16,14,18,0,Low
Himachal Pradesh,Shimla,Tekka Bench Ridge,34,ES,Hill station,118,5,18,8,5,13,3,0,Low
Himachal Pradesh,Shimla,"Bus Stand, Winterfield",35,ES,Hill station,111,5,30,17,11,22,4,0,Moderate
Himachal Pradesh,Una,"Regional Office, Una",667,RIRuO,NA,13,5,60,20,6,37,15,0,Null
Himachal Pradesh,Una,"DIC Building, Mehatpur, Una",668,RIRuO,NA,10,6,34,13,7,26,9,0,Null
Himachal Pradesh,Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",665,RIRuO,NA,244,5,17,6,5,11,3,0,Low
Himachal Pradesh,Sunder Nagar,"Muncipal Council, NH-21, Mandi",666,RIRuO,NA,17,13,20,16,14,18,2,0,Null
Himachal Pradesh,Manali,"Nehru Park, Manali, District Kullu",670,ES,Hill station,31,5,19,9,5,18,5,0,Null
Himachal Pradesh,Manali,"HPSPCB, Hadimba Road, Manali, Kullu",671,ES,Hill station,10,5,17,9,5,16,5,0,Null
Jammu & Kashmir,Jammu,"Regional Office, Jammu",184,RIRuO,NA,21,8,17,11,9,13,2,0,Null
Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk",482,RIRuO,NA,23,6,17,12,9,15,3,0,Null
Jammu & Kashmir,Jammu,Bari Brahamana Industrial Area,507,RIRuO,NA,18,5,20,12,7,17,4,0,Null
Jharkhand,Dhanbad,R.O. Dhanbad,44,RIRuO,NA,97,27,47,36,31,41,4,0,Moderate
Jharkhand,Dhanbad,"EMTI, Bastacola",612,RIRuO,NA,99,27,43,34,31,38,3,0,Moderate
Jharkhand,Dhanbad,"CGM Office, Kusunda",611,RIRuO,NA,58,21,43,34,30,38,4,0,Moderate
Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,351,RIRuO,NA,95,37,60,47,43,52,3,0,High
Jharkhand,Jamshedpur,Golmuri Vehicle Testing Centre,382,RIRuO,NA,83,39,64,48,44,52,3,0,High
Jharkhand,Jharia,M.A.D.A.,332,RIRuO,NA,104,20,530,39,31,38,49,1,Moderate
Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",402,RIRuO,NA,105,28,41,35,31,39,3,0,Moderate
Jharkhand,Saraikela Kharsawan,"RO Building, Adityapur",614,RIRuO,NA,39,27,57,45,31,52,8,0,Null
Jharkhand,Sindri,BIT / PDIL,46,RIRuO,NA,61,15,47,33,29,37,4,0,Moderate
Jharkhand,West Singhbhum,Barajamda U.M. Office,615,RIRuO,NA,37,20,52,34,27,47,8,0,Null
Karnataka,Bangalore,"Graphite India, White Field Road",77,RIRuO,NA,48,25,52,33,30,41,6,0,Null
Karnataka,Bangalore,Yeshwanthpura police station,457,RIRuO,NA,82,21,186,34,27,39,19,1,Moderate
Karnataka,Bangalore,Peenya Industrial Area,405,RIRuO,NA,52,13,43,29,24,33,5,0,Moderate
Karnataka,Bangalore,"KHB Industrial Area, Yelahanka",404,RIRuO,NA,84,26,112,34,29,42,11,1,Moderate
Karnataka,Bangalore,"AMCO Batteries, Mysore Road",78,RIRuO,NA,75,14,113,31,26,35,10,1,Moderate
Karnataka,Bangalore,"Jnanabharathi, Bangalore University",598,RIRuO,NA,104,17,20,18,18,19,1,0,Low
Karnataka,Bangalore,"RV College of Engineering, Mysore Road",589,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karnataka,Bangalore,"TERI office, Vital Medi healthcare Pvt Ltd",NA,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karnataka,Bangalore,Victoria hospital,406,RIRuO,NA,60,9,75,26,19,31,10,0,Moderate
Karnataka,Belgaum,Karnataka SPCB Office Building,460,ES,Sahyadri,95,5,27,14,8,21,5,0,Low
Karnataka,Gulburga,Government Hospital,459,RIRuO,NA,67,10,25,12,11,14,3,0,Low
Karnataka,Hassan,KSRTC bus stand building,458,RIRuO,NA,107,15,30,24,16,28,4,0,Moderate
Karnataka,Hubli-Dharwad,"Lakkamanahalli Industrial Area, Dharwad",432,RIRuO,NA,97,10,32,13,12,17,3,0,Low
Karnataka,Hubli-Dharwad,"Rani Chennamma Circle, Hubli",431,RIRuO,NA,100,11,17,13,12,14,1,0,Low
Karnataka,Mandya,"KSPCB Building, Bandigowda Badarahe",NA,RIRuO,NA,101,19,40,22,21,24,2,0,Moderate
Karnataka,Mangalore,Baikampady Industrial Area,488,RIRuO,NA,101,5,20,8,5,16,4,0,Low
Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg",40,RIRuO,NA,106,20,27,22,21,25,2,0,Moderate
Karnataka,Mysore,KSPCB Bldg. Hebbal Ind. Area,328,RIRuO,NA,108,17,27,22,20,24,2,0,Moderate
Karnataka,Devanagere,"Mothi Theatre, Gandhi Circle, P.B. Road",674,RIRuO,NA,62,9,45,16,11,26,8,0,Low
Karnataka,Devanagere,"HPF Intakewell, Kumarapattnam",675,RIRuO,NA,57,9,26,14,11,19,3,0,Low
Karnataka,Devanagere,"Regional Office building, KSPCB",673,RIRuO,NA,39,6,49,16,8,29,11,0,Null
Karnataka,Raichur,"KSPCB Office Premises, Raichur",677,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karnataka,Bijapur,"KSPCB Office Premises, Bijapur",678,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karnataka,Chitradurga,"KSPCB Office Premises, Chitradurga",679,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karnataka,Shimaga,"The VISL, Oxygen Plant, Shimoga",680,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karnataka,Karwar,Karwar Port Directors Office,681,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karnataka,Bagalkote,Bagalkote KSPCB Office Premises,682,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karnataka,Kolar,"KSPCB Office Premises, Kolar",683,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karnataka,Bidar,"KSPCB Office Premises, Bidar",684,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Kerala,Alappuzha,"District Office, Alissery Road",618,RIRuO,NA,99,5,6,5,5,5,0,0,Low
Kerala,Alappuzha,"DC Mills, Pathirappally",617,RIRuO,NA,98,5,5,5,5,5,0,0,Low
Kerala,Kochi,"Eloor I, FACT, Ambalamughal",149,RIRuO,NA,108,5,6,5,5,6,0,0,Low
Kerala,Kochi,Eloor II,29,RIRuO,NA,108,5,7,5,5,6,1,0,Low
Kerala,Kochi,Irumpanam,30,RIRuO,NA,101,5,22,12,6,17,4,0,Low
Kerala,Kochi,Ernakulum South,338,RIRuO,NA,108,5,39,17,11,23,5,0,Low
Kerala,Kochi,VYTTILA,562,RIRuO,NA,106,5,30,15,10,23,5,0,Low
Kerala,Kochi,MG Road Bank Ernakulum,147,RIRuO,NA,108,5,35,19,12,26,6,0,Low
