State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Sulfur Dioxide(SO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Maharashtra,Navi Mumbai,"T.B.I.A, Rabale , Airoli, TTC",491,RIRuO,102,8,63,23,11,23,33,9,0,Low
Maharashtra,Navi Mumbai,"Dr. D.Y. Patil College, Nerul, TTC",492,RIRuO,104,7,22,14,8,13,19,4,0,Low
Maharashtra,Navi Mumbai,"MPCB Central Lab, Mhape",493,RIRuO,96,8,49,22,10,22,33,9,0,Low
Maharashtra,Navi Mumbai,CIDCO Nodal Office Kharghar,494,RIRuO,105,6,43,15,9,13,21,6,0,Low
Maharashtra,Navi Mumbai,"Panvel Residential Area, Taloja",495,RIRuO,96,5,30,15,9,15,22,5,0,Low
Maharashtra,Navi Mumbai,MIDC Collom Faciolity Building,496,RIRuO,99,8,74,30,16,29,44,11,0,Moderate
Maharashtra,Pune,"Maratha Chamber of commerce, Bhosari",312,RIRuO,104,11,195,40,15,31,74,28,10,Moderate
Maharashtra,Pune,State Electricity Board BLDG Nalstop,379,RIRuO,104,10,45,23,13,21,38,9,0,Low
Maharashtra,Pune,Swargate Police Chawki,381,RIRuO,104,10,49,23,13,21,37,9,0,Low
Maharashtra,Roha,Roha Industrial Association office,572,RIRuO,64,9,29,16,12,15,23,4,0,Low
Maharashtra,Roha,Filter House of MIDC Water works,573,RIRuO,61,9,27,17,11,17,23,4,0,Low
Maharashtra,Sangli,"Udyog bhavan / SRO, MPCB Sangli",574,RIRuO,105,8,20,13,9,13,16,3,0,Low
Maharashtra,Sangli,Sangli- Miraj Primary school Building,575,RIRuO,104,7,24,14,9,15,18,4,0,Low
Maharashtra,Sangli,Krishna Valley School,576,RIRuO,104,8,24,14,10,14,20,4,0,Low
Maharashtra,Solapur,WIT Campus,299,RIRuO,106,13,19,17,15,16,18,1,0,Low
Maharashtra,Solapur,Voronoko School / Chitale Clinic,300,RIRuO,107,13,20,17,15,17,19,1,0,Low
Maharashtra,Thane,"Maternity Hospital,Dhobighat,Kopri",303,RIRuO,122,7,16,12,10,13,15,2,0,Low
Maharashtra,Thane,"Terrace of Shahu Market,Naupada",304,RIRuO,108,10,20,16,14,16,19,2,0,Low
Maharashtra,Thane,"Kolshet and Balkum, Thane West",305,RIRuO,36,10,16,13,11,13,15,2,0,Null
Maharashtra,Ulhasnagar,Smt. C. H. M. College Campus,647,RIRuO,99,4,85,30,15,26,47,13,1,Moderate
Maharashtra,Ulhasnagar,Octroi Naka,648,RIRuO,94,5,132,32,14,27,47,21,4,Moderate
Meghalaya,Byrnihat,"EPIP, Ri-Bhoi district",568,RIRuO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Meghalaya,Dawki,"Terrace building, Jaintia Hills District",588,RIRuO,68,2,8,2,2,2,2,1,0,Low
Meghalaya,Tura,"Office building of Add Chief Engineer, Garo HillsDistrict",608,RIRuO,34,2,2,2,2,2,2,Null,0,Null
Meghalaya,Shillong,State Tuberculosis Hospital,340,ES (Hill station),79,2,18,3,2,2,2,3,0,Low
Meghalaya,Shillong,"Boards Office Permises, Lumpyngngad",120,ES (Hill station),54,2,2,2,2,2,2,Null,0,Low
Mizoram,Aizawl,"Khatla, M.G-Road, Mizoram SPCB",450,ES (Hill station),104,2,2,2,2,2,2,Null,0,Low
Mizoram,Aizawl,"Laipuitlang, Residence of Chairman, MPCB",451,ES (Hill station),104,2,2,2,2,2,2,Null,0,Low
Mizoram,Aizawl,"Bawngkawn , Roof Top of Mr.K.L. Berema’s residence",452,ES (Hill station),104,2,2,2,2,2,2,Null,0,Low
Nagaland,Dimapur,Bank Colony,317,RIRuO,93,2,2,2,2,2,2,Null,0,Low
Nagaland,Dimapur,Dhobinala,448,RIRuO,93,2,2,2,2,2,2,Null,0,Low
Nagaland,Kohima,Opposite NST Office,609,ES (Hill station),51,2,2,2,2,2,2,Null,0,Low
Nagaland,Kohima,Opposite War Cemetery,610,ES (Hill station),42,2,2,2,2,2,2,Null,0,Null
Orissa,Angul,Industrial Estate,70,RIRuO,103,4,8,6,5,6,7,1,0,Low
Orissa,Angul,NALCO Township,231,RIRuO,100,6,21,8,6,7,9,2,0,Low
Orissa,Balasore,Sahadevkhunta,428,RIRuO,100,2,2,2,2,2,2,Null,0,Low
Orissa,Berhampur,Regional Office Orissa SPCB,429,RIRuO,95,2,2,2,2,2,2,Null,0,Low
Orissa,Bhubneshwar,Capital Police Station,424,RIRuO,105,2,2,2,2,2,2,Null,0,Low
Orissa,Bhubneshwar,IRC Village,423,RIRuO,98,2,2,2,2,2,2,Null,0,Low
Orissa,Bhubneshwar,SPCB Building,322,RIRuO,113,2,2,2,2,2,2,Null,0,Low
Orissa,Cuttack,"Roof of Traffic Tower, Badambadi",426,RIRuO,105,2,6,2,2,2,3,1,0,Low
Orissa,Cuttack,"R.O. Cuttack Office, Surya Vihar",425,RIRuO,45,2,4,2,2,2,2,Null,0,Null
Orissa,Rayagada,Regional Office Orissa SPCB,428,RIRuO,103,2,3,2,2,2,2,Null,0,Low
Orissa,Rayagada,"LPS High School, Jaykaypur",229,RIRuO,103,2,4,2,2,2,3,Null,0,Low
Orissa,Rourkela,"Regional Office, ORPB",370,RIRuO,94,4,6,5,5,5,6,Null,0,Low
Orissa,Rourkela,"IDL Police Out-post, Sonaparbat",227,RIRuO,104,4,7,5,4,5,6,1,0,Low
Orissa,Sambalpur,"Filter Plant, PHD Office, Modipara",427,RIRuO,84,2,5,3,2,4,4,1,0,Low
Orissa,Talcher,Coal Field Area / MCL AREA,471,RIRuO,66,8,44,14,12,14,15,4,0,Low
Orissa,Talcher,T.T.P.S.Colony,68,RIRuO,103,4,18,10,8,10,12,2,0,Low
Punjab,Amritsar,"R.O. Focal Point, Amritsar",487,RIRuO,53,12,18,14,13,14,16,1,0,Low
Punjab,Amritsar,"A-1,Platers, Amritsar / VMC",486,RIRuO,57,11,16,14,12,14,15,1,0,Low
Punjab,Bhatinda,"Ms Milk Plant, Ropar",506,RIRuO,96,5,18,9,7,9,12,2,0,Low
Punjab,Dera Bassi,M/s Punjab Chemicals & Crop Protection Ltd,504,RIRuO,128,6,18,10,8,10,14,3,0,Low
Punjab,Dera Bassi,"M/s Winsome Yarns Ltd., Barwala Road, Dera- bassi",505,RIRuO,138,5,15,10,7,10,13,2,0,Low
Punjab,Pathankot/,C-PYTE Building at Dera Baba Nanak,590,RIRuO,56,4,11,7,5,7,8,1,0,Low
Punjab,Gobindgarh,M/s Modi Oil and General Mills,302,RIRuO,107,10,28,17,12,17,21,3,0,Low
Punjab,Gobindgarh,M/s Raj Steel Rolling Mills,301,RIRuO,121,11,31,18,14,17,25,4,0,Low
Punjab,Gobindgarh,"United Rolling Mills, Mandi Gobindgarh",483,RIRuO,96,10,32,18,14,17,23,4,0,Low
Punjab,Jalandar,Municipal Council Tubewell,353,RIRuO,25,10,12,11,10,11,12,1,0,Null
Punjab,Khanna,"Markfed Vanaspati, Khanna",485,RIRuO,123,5,17,9,7,9,12,2,0,Low
Punjab,Khanna,"AS School, Khanna",484,RIRuO,134,5,13,9,6,9,11,2,0,Low
Punjab,Ludhiana,Bharat Nagar Chowk,422,RIRuO,24,7,10,9,7,9,9,1,0,Null
Punjab,Ludhiana,"Nahar Spining Mlls, Dholewal Chawk",76,RIRuO,115,5,19,10,6,10,14,3,0,Low
Punjab,Ludhiana,"Milk plant, Ferozpur Road",61,RIRuO,131,5,14,9,6,9,11,2,0,Low
Punjab,Ludhiana,Vishavkarma Chowk,335,RIRuO,126,5,17,9,6,10,13,2,0,Low
Punjab,Naya Nangal,M/s Punjab Alkalis & Chemicals Ltd.,420,RIRuO,111,5,13,7,6,7,8,1,0,Low
Punjab,Naya Nangal,M/s NFL Guest House,421,RIRuO,104,5,9,7,6,6,8,1,0,Low
Punjab,Patiala,Ceylon Industries,600,RIRuO,126,3,14,7,4,7,10,2,0,Low
Punjab,Patiala,"Fire Brigade Station, Bahera Road,",599,RIRuO,119,4,12,6,5,6,8,1,0,Low
Puducherry,Puducherry,"DSTC Office Upstairs, AnnaNagar",64,RIRuO,90,3,9,6,4,6,8,1,0,Low
Puducherry,Puducherry,PIPDIC Ind. Estate Mettupalayam,93,RIRuO,82,4,10,6,4,7,8,2,0,Low
Puducherry,Puducherry,Chamber Of Commerce,337,RIRuO,83,2,9,5,3,5,8,2,0,Low
Rajasthan,Alwar,"Regional Office, Rajasthan SPCB",372,ES (Aravali range),79,4,14,7,4,7,9,2,0,Low
Rajasthan,Alwar,Gaurav Solvex Ltd. MIA,373,ES (Aravali range),75,4,24,9,4,8,14,4,0,Low
Rajasthan,Alwar,"RIICO Pump House, MIA",219,ES (Aravali range),72,4,24,8,4,7,13,4,0,Low
Rajasthan,Jaipur,Ajmeri Gate,296,RIRuO,1,5,37,6,5,6,6,3,0,Null
Rajasthan,Jaipur,"RJPB Office,Jhalana Doongari",298,RIRuO,110,2,6,5,5,5,6,1,0,Low
Rajasthan,Jaipur,"Office of District Education Officer, Chandpole",408,RIRuO,94,4,10,6,5,6,7,1,0,Low
Rajasthan,Jaipur,"RIICO Office, M.I.A.",410,RIRuO,102,4,7,6,5,5,6,Null,0,Low
Rajasthan,Jaipur,"Regional Office (North), RSPCB, Vidyadhar Nagar",409,RIRuO,109,5,11,6,5,6,7,1,0,Low
Rajasthan,Jaipur,VKIA,297,RIRuO,114,5,11,6,5,6,7,1,0,Low
Rajasthan,Jodhpur,"DIC Office, Industrial Estate",413,RIRuO,96,4,12,6,5,6,7,1,0,Low
Rajasthan,Jodhpur,Sojati Gate,273,RIRuO,103,4,15,6,5,6,7,1,0,Low
Rajasthan,Jodhpur,"Basni Industrial Area, RIICO Office",274,RIRuO,97,3,25,7,5,6,8,3,0,Low
Rajasthan,Jodhpur,Maha Mandir Police Thane,376,RIRuO,99,4,11,5,5,5,5,1,0,Low
Rajasthan,Jodhpur,"Office of Housing Board, Chopasani Road",411,RIRuO,98,4,15,5,5,5,5,1,0,Low
Rajasthan,Jodhpur,Shastri Nagar Police Thana,412,RIRuO,102,4,12,6,5,6,6,1,0,Low
Rajasthan,Kota,"Regional Office, RJPB, Anantpura",17,RIRuO,102,9,20,13,10,13,15,2,0,Low
Rajasthan,Kota,Municipal Corporation Building,326,RIRuO,101,7,16,12,9,12,14,2,0,Low
Rajasthan,Kota,Samcore Glass Ltd.,325,RIRuO,103,5,20,6,5,6,8,2,0,Low
Rajasthan,Udaipur,Ambamata,320,RIRuO,92,4,7,5,5,5,6,1,0,Low
Rajasthan,Udaipur,Town Hall,294,RIRuO,96,4,7,6,5,6,7,1,0,Low
Rajasthan,Udaipur,"Regional Office,MIA",321,RIRuO,86,5,128,7,5,6,7,13,1,Low
Tamilnadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam",38,RIRuO,100,9,17,11,9,11,14,2,0,Low
Tamilnadu,Chennai,"Govt. High School, Manali",71,RIRuO,102,9,16,11,9,11,14,2,0,Low
Tamilnadu,Chennai,Thiruvottiyur,72,RIRuO,93,9,26,13,10,12,15,2,0,Low
Tamilnadu,Chennai,Madras Medical College,159,RIRuO,93,2,25,6,2,6,11,4,0,Low
Tamilnadu,Chennai,"NEERI, CSIR Campus",160,RIRuO,95,2,20,5,2,4,8,3,0,Low
Tamilnadu,Chennai,Thiruvottiyur Municipal Office,161,RIRuO,94,2,22,6,3,5,11,4,0,Low
Tamilnadu,Coimbatore,"Poniarajapuram, On the top of DEL",371,RIRuO,50,4,8,5,4,4,6,1,0,Low
Tamilnadu,Coimbatore,G.D.Matric Hr.Sec.School,238,RIRuO,93,4,49,5,4,4,7,5,0,Low
Tamilnadu,Coimbatore,SIDCO Office Kurichi,237,RIRuO,85,4,43,6,4,4,6,7,0,Low
Tamilnadu,Madurai,Highway (Project -I) Building,306,RIRuO,102,6,16,10,8,10,13,2,0,Low
Tamilnadu,Madurai,Fenner (I) Ltd. Susee Cars & Trucks,307,RIRuO,92,7,19,11,8,11,14,2,0,Low
Tamilnadu,Madurai,Kunnathur Chatram Girls HS School,308,RIRuO,94,7,15,11,8,11,13,2,0,Low
Tamilnadu,Salem,Sowdeswari College Building,309,RIRuO,96,6,12,8,7,8,10,1,0,Low
Tamilnadu,Tuticorin,Fisheries College,239,RIRuO,98,4,36,13,6,11,19,6,0,Low
Tamilnadu,Tuticorin,Raja Agencies,240,RIRuO,86,4,56,11,5,10,17,7,0,Low
Uttar Pradesh,Agra,"Regional Office, Bodla",323,ES (Taj-trapezium),80,7,12,9,1,8,9,11,0,Low
Uttar Pradesh,Agra,Nunhai,324,ES (Taj-trapezium),79,7,13,10,1,8,10,11,0,Low
Uttar Pradesh,Agra,Taj Mahal,1,ES (Taj-trapezium),286,2,18,3,2,2,7,3,0,Moderate
Uttar Pradesh,Agra,DIC Nunhai,415,ES (Taj-trapezium),131,2,18,4,2,2,7,3,0,Moderate
Uttar Pradesh,Agra,Etmad-uddaulah,416,ES (Taj-trapezium),123,2,11,3,2,2,6,2,0,Moderate
Uttar Pradesh,Agra,Rambagh,417,ES (Taj-trapezium),116,2,20,3,2,2,5,2,0,Moderate
Uttar Pradesh,Allahabad,Square crossing circle of Laxmi Talkies,554,RIRuO,105,2,29,5,3,2,3,8,0,Low
Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,555,RIRuO,105,1,40,4,4,2,3,7,0,Low
Uttar Pradesh,Anpara,"Anpara Colony, Sonabhadra",6,RIRuO,104,13,20,17,1,16,17,18,0,Low
Uttar Pradesh,Anpara,"Renusagar Colony, Sonabhadra",7,RIRuO,87,11,19,17,1,16,17,18,0,Low
Uttar Pradesh,Ferozabad,Center for Development of Glass Industry ( CDGI),399,ES (Taj-trapezium),104,8,32,17,5,10,18,23,0,Moderate
Uttar Pradesh,Ferozabad,Tilak Nagar,400,ES (Taj-trapezium),103,7,24,16,5,9,16,22,0,Moderate
Uttar Pradesh,Ferozabad,Raza ka Tal,401,ES (Taj-trapezium),101,7,25,15,6,8,16,21,0,Moderate
Uttar Pradesh,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",140,RIRuO,88,11,27,18,13,17,23,4,0,Low
Uttar Pradesh,Gajraula,"Indira Chowk, J.P. Nagar",139,RIRuO,71,9,22,15,11,14,18,3,0,Low
Uttar Pradesh,Ghaziabad,"M/s Atlas Cycles Industries Ltd, SahibabadIndustrial Area",258,RIRuO,97,25,39,31,27,31,35,3,0,Moderate
Uttar Pradesh,Ghaziabad,Bulandshaar Road Industrial Area,369,RIRuO,88,17,35,30,24,31,34,4,0,Moderate
Uttar Pradesh,Jhansi,Jail Chauraha,517,RIRuO,120,6,16,9,7,9,11,10,0,Low
Uttar Pradesh,Jhansi,Veeranga Nagar,518,RIRuO,120,5,13,8,7,8,9,1,0,Low
Uttar Pradesh,Kanpur,"Forest & Training Centre, Kidwai Nagar",212,RIRuO,98,4,12,7,6,7,9,1,0,Low
Uttar Pradesh,Kanpur,"Chamber Of Commerce, Darshanpurwa",98,RIRuO,81,5,12,7,6,7,9,1,0,Low
Uttar Pradesh,Kanpur,Fazalganj,86,RIRuO,80,6,10,8,7,8,10,1,0,Low
Uttar Pradesh,Kanpur,Dabauli,391,RIRuO,71,6,10,8,6,8,9,1,0,Low
Uttar Pradesh,Kanpur,"Awas Vikas, Jajmau",395,RIRuO,89,5,9,7,6,7,8,1,0,Low
Uttar Pradesh,Khurja,Central Glass & Ceramic Research Institute,534,RIRuO,58,24,42,33,28,33,38,4,0,Moderate
Uttar Pradesh,Khurja,Ahirpara,535,RIRuO,58,19,38,25,21,24,33,5,0,Low
Uttar Pradesh,Lucknow,Mahanagar,377,RIRuO,75,6,9,8,7,8,9,1,0,Low
Uttar Pradesh,Lucknow,"Chandganj Garden, Aliganj",398,RIRuO,109,5,10,8,7,8,9,1,0,Low
Uttar Pradesh,Lucknow,"Kapoor Hotel, Hazratganj",109,RIRuO,82,7,13,8,7,8,9,1,0,Low
Uttar Pradesh,Lucknow,Talkatora,113,RIRuO,81,7,10,9,8,9,10,1,0,Low
Uttar Pradesh,Lucknow,"S.M.K Chowk, Aminabad",397,RIRuO,103,6,28,8,7,8,9,2,0,Low
Uttar Pradesh,Meerut,Begum Bridge,550,RIRuO,67,5,15,9,5,9,12,3,0,Low
Uttar Pradesh,Meerut,"Thana Railway Road, Kesarganj",551,RIRuO,40,3,12,6,4,5,10,3,0,Null
Uttar Pradesh,Muradabad,Budh Bazar,,RIRuO,28,3,58,13,4,9,23,12,0,Null
Uttar Pradesh,Muradabad,PTC,,RIRuO,30,2,46,10,4,8,18,9,0,Null
Uttar Pradesh,Noida,"Regional Office, UP PCB",403,RIRuO,95,4,30,11,7,12,14,3,0,Low
Uttar Pradesh,Noida,Gee-Pee Electroplating and Engineering Work,378,RIRuO,96,4,21,11,7,12,14,3,0,Low
Uttar Pradesh,Varanasi,"Regional Office, Jawahar Nagar",362,RIRuO,82,16,18,17,17,17,18,Null,0,Low
Uttar Pradesh,Varanasi,Sigra,553,RIRuO,79,17,20,18,17,18,18,Null,0,Low
Uttarakhand,Dehradun,"Raipur Road, Near parag Diary",90,ES (Doon valley),18,22,31,27,22,27,29,3,0,Null
Uttarakhand,Dehradun,"Clock Tower, PWD Guest House",89,ES (Doon valley),32,25,33,29,27,30,32,2,0,Null
Uttarakhand,Dehradun,Himalaya Drug Co. Near ISBT,637,ES (Doon valley),Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uttarakhand,Haldwani,Govt. Women Hospital,625,RIRuO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uttarakhand,Haridwar,"SIDCUL, Haridwar",635,RIRuO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uttarakhand,Kashipur,"BSNL Office, Kashipur",627,RIRuO,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uttarakhand,Rishikesh,Nagar Palika Parishad,636,ES (Hill station),Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
West Bengal,Asansol,Asansol Municipal Corporation,386,RIRuO,105,5,13,8,7,8,10,1,0,Low
West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",593,RIRuO,105,5,12,8,7,12,10,1,0,Low
West Bengal,Asansol,"Burnpur Town Department, Burnpur",592,RIRuO,105,4,12,8,6,8,9,1,0,Low
West Bengal,Barrackpore,Barrackpore Municiaplity,655,RIRuO,102,5,20,9,6,9,13,3,0,Low
West Bengal,Barrackpore,Dum Dum Telephone Exchange,653,RIRuO,101,6,25,11,7,11,16,4,0,Low
West Bengal,Barrackpore,Khardah Municipality,654,RIRuO,102,7,29,14,8,13,22,5,0,Low
West Bengal,Durgapur,"DMC Water Works, Angadpur",591,RIRuO,105,5,11,8,6,8,9,1,0,Low
West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, Benachiti",384,RIRuO,105,6,11,8,7,8,10,1,0,Low
West Bengal,Durgapur,"Bidhannagar, PCBL Club, Muchipara",385,RIRuO,105,5,13,7,6,7,8,9,0,Low
West Bengal,Durgapur,"Dew India Limited, PCBL More, Durgapur",383,RIRuO,105,6,13,9,8,9,11,1,0,Low
West Bengal,Haldia,"Bhabanipur, Debhog Milan Viyapith",663,RIRuO,108,10,23,15,12,14,18,3,0,Low
West Bengal,Haldia,"Driver's Hut of M/s. MCC PTA, Bhunia Raichak",664,RIRuO,108,9,20,13,11,13,16,2,0,Low
West Bengal,Haldia,"Supermarket Building, Durgachak",15,RIRuO,108,8,20,13,10,13,15,2,0,Low
West Bengal,Haldia,WBIIDC Durgachak,14,RIRuO,108,10,21,15,11,15,19,3,0,Low
West Bengal,Howrah,Howrah Municipal Corporation Building,8,RIRuO,103,6,26,12,8,12,18,4,0,Low
West Bengal,Howrah,"Naskarpara Pump House, Ghuseri",10,RIRuO,103,6,24,12,7,11,18,5,0,Low
West Bengal,Howrah,"CDS & Health Centre, Bator",11,RIRuO,103,5,20,9,6,8,12,3,0,Low
West Bengal,Howrah,"Howrah Municipality School, Bandhaghat",9,RIRuO,103,7,27,15,9,13,22,5,0,Low
West Bengal,Kolkata,"Salt Lake, Rooftop of CK Market",474,RIRuO,103,4,17,8,5,7,11,3,0,Low
West Bengal,Kolkata,"Moulali, Rooftop of KMC office Building",473,RIRuO,104,5,19,9,6,9,14,3,0,Low
West Bengal,Kolkata,"Minto Park, Inside Park AJC Bose Road",475,RIRuO,102,4,14,8,5,7,11,2,0,Low
West Bengal,Kolkata,"Dunlop Bridge, National Sample Survey Building",472,RIRuO,102,4,15,8,6,8,12,3,0,Low
West Bengal,Kolkata,"Behala Chowrasta, Traffic Guard Building",476,RIRuO,103,4,20,9,5,8,13,3,0,Low
West Bengal,Kolkata,"Baishnabghata, Upanagari Sporting Club",477,RIRuO,101,4,11,6,4,6,9,2,0,Low
West Bengal,Kolkata,"Cossipore Police Station, B.T. Road",162,RIRuO,96,2,132,22,2,18,43,21,1,Low
West Bengal,Kolkata,"Lal-Bazar, Dalhousie Square",163,RIRuO,96,2,107,16,2,13,29,15,1,Low
West Bengal,Kolkata,Kasba,348,RIRuO,96,2,106,14,2,12,26,14,1,Low
West Bengal,Raniganj,Raniganj Municipality,662,RIRuO,105,6,13,9,7,9,11,1,0,Low
West Bengal,Raniganj,"Mangalpur, SKS School Mangalpur",660,RIRuO,105,5,10,8,7,8,9,1,0,Low
West Bengal,Raniganj,Jamuria Municipality,661,RIRuO,105,6,11,8,7,8,10,1,0,Low
West Bengal,Sankrail,Bharat Co-operative Housing Society,657,RIRuO,104,5,19,9,6,9,13,3,0,Low
West Bengal,Sankrail,"Bagan Police Station, Bagan",659,RIRuO,104,5,27,12,7,11,20,5,0,Low
West Bengal,Sankrail,Dhulagar Gram Pachayat,656,RIRuO,104,5,22,11,7,11,18,4,0,Low
West Bengal,Sankrail,"P Mukherjee's House, Near SBI Amta",658,RIRuO,104,4,14,7,5,6,8,2,0,Low
West Bengal,South Suburban,"Chanditala Water Supply Pump House, Tol- lygunge",652,RIRuO,102,4,13,7,5,7,11,3,0,Low
West Bengal,South Suburban,"Bauipur Police Station, Baruipur",650,RIRuO,105,4,11,6,4,6,9,2,0,Low
West Bengal,South Suburban,"P Roy Industrial Training Institute, Amtala",651,RIRuO,103,4,13,7,4,7,10,2,0,Low
