State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Sulfur Dioxide(SO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Assam,Silchar,"Office Building of RLO, Ithkola Market",567,RIRuO,92,2,11,7,5,7,9,1,0,Low
Assam,Tezpur,Tezpur Office Building,536,RIRuO,104,4,8,6,5,6,7,1,0,Low
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",594,RIRuO,99,4,15,5,5,6,8,2,0,Low
Assam,Tinsukia,"Coal India Office Complex, Margherita",586,RIRuO,97,7,29,10,8,10,12,3,0,Low
Assam,Tinsukia,"Shreepuria, Borguri",605,RIRuO,43,5,9,6,5,6,7,1,0,Null
Bihar,Patna,"Beltron Bhawan, Shastri Nagar",210,RIRuO,80,2,10,5,3,5,7,2,0,Low
Bihar,Patna,Gandhi Maidan Test Centre,284,RIRuO,46,4,28,9,4,7,18,6,0,Null
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",106,RIRuO,149,2,2,2,2,2,2,Null,0,Low
Chandigarh,Chandigarh,Sector-17 C,263,RIRuO,150,2,2,2,2,2,2,Null,0,Low
Chandigarh,Chandigarh,"Punjab Engineering College, Sector 12",264,RIRuO,153,2,2,2,2,2,2,Null,0,Low
Chandigarh,Chandigarh,"Sector-39, IMTECH",463,RIRuO,150,2,2,2,2,2,2,Null,0,Low
Chandigarh,Chandigarh,Kaimbwala Village,464,RIRuO,145,2,6,2,2,2,2,Null,0,Low
Chattisgarh,Bhillai,"Visak Hostel, Sector-4",65,RIRuO,91,8,12,10,9,10,12,1,0,Low
Chattisgarh,Bhillai,"R.O., 5/32 Banglow Office Building",67,RIRuO,89,3,7,5,4,5,6,1,0,Low
Chattisgarh,Bhillai,M.P. Laghu Udyog Nigam,245,RIRuO,87,9,14,12,10,12,14,1,0,Low
Chattisgarh,Bilaspur,"RO, CECB Vyapar Vihar",,RIRuO,35,4,14,8,5,8,10,2,0,Null
Chattisgarh,Korba,"HIG 21,22.Near Ghantaghar,",364,RIRuO,94,12,14,13,12,13,14,1,0,Low
Chattisgarh,Korba,Pragati Nagar NTPC Colony,249,RIRuO,97,10,13,13,12,13,13,Null,0,Low
Chattisgarh,Korba,"I.T.I., Rampur",407,RIRuO,95,11,15,13,12,13,14,1,0,Low
Chattisgarh,Raipur,"New HIG-9, Hirapur",368,RIRuO,41,11,17,14,11,14,15,2,0,Null
Chattisgarh,Raipur,"M/S Wool Worth India, Sarora Raipur",223,RIRuO,46,13,21,16,14,16,19,2,0,Null
Chattisgarh,Raipur,"Yatayat Thana, Jai Stambh Chowk",447,RIRuO,44,8,17,14,12,14,16,2,0,Null
Dadra and Nagar Haveli,Silvassa,"Khadoli Industrial Area, Village- Khadoli",558,RIRuO,94,7,8,7,7,7,8,Null,0,Low
Daman and Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya",560,RIRuO,96,7,8,7,7,7,8,Null,0,Low
Delhi,Delhi,"N.Y. School, Sarojini Nagar",144,RIRuO,96,2,18,4,2,3,9,3,0,Low
Delhi,Delhi,"Town Hall, Chandni Chowk",146,RIRuO,96,2,23,7,2,5,14,5,0,Low
Delhi,Delhi,Mayapuri Industrial Area,345,RIRuO,96,2,28,10,3,9,19,7,0,Low
Delhi,Delhi,Pritampura,531,RIRuO,81,4,6,4,4,4,5,Null,0,Low
Delhi,Delhi,Shahadra,58,RIRuO,80,4,9,5,4,4,5,1,0,Low
Delhi,Delhi,Shahzada Bagh,57,RIRuO,79,4,10,5,4,5,6,1,0,Low
Delhi,Delhi,Nizamuddin,55,RIRuO,80,4,5,4,4,4,5,Null,0,Low
Delhi,Delhi,Janakpuri,59,RIRuO,76,4,9,5,4,5,5,1,0,Low
Delhi,Delhi,Siri Fort,60,RIRuO,80,4,6,4,4,4,5,Null,0,Low
Goa,Panaji,"Old GSPCB premises, Patto",327,RIRuO,105,2,35,4,2,2,10,5,0,Low
Goa,Marmagao,"Fire Brigade Station, Port Trust",435,RIRuO,118,7,253,32,12,15,67,35,6,Moderate
Goa,Vasco,"Fuse Call Office of Elec. Dept., Mormugao",37,RIRuO,103,2,45,6,2,2,12,7,0,Low
Goa,Curchorem,"Curchorem, Sanvordem, Quepem",628,RIRuO,19,5,76,32,6,19,66,25,0,Null
Goa,Codli,"Codli Tisk, Ponda",630,RIRuO,6,8,12,10,8,10,11,2,0,Null
Goa,Honda,"Honda Junction, Sattari",631,ES (Sahyadri),8,6,11,8,7,8,10,2,0,Null
Goa,Bicholim,Bicholim,632,RIRuO,11,7,10,9,7,9,10,1,0,Null
Goa,Amona,"Amona, Bicholim",633,RIRuO,16,4,9,6,5,6,9,2,0,Null
Goa,Assanora,"Assanora Junction, Bardez",634,RIRuO,8,4,7,5,4,5,7,1,0,Null
Goa,Usgao,"Usgao Plae, Junction, Ponda",629,RIRuO,10,2,10,6,3,5,9,3,0,Null
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",101,RIRuO,104,12,23,20,18,20,22,2,0,Low
Gujarat,Ahmedabad,Cadilla Bridge Narol,102,RIRuO,103,11,21,16,12,16,20,3,0,Low
Gujarat,Ahmedabad,L.D. Engg. College,103,RIRuO,104,8,17,12,10,12,14,2,0,Low
Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",154,RIRuO,103,10,18,14,11,14,17,2,0,Low
Gujarat,Ahmedabad,"R.C. High School, Mirzapur",155,RIRuO,104,10,21,15,13,15,18,2,0,Low
Gujarat,Ahmedabad,"Naroda, G.I.D.C.,",347,RIRuO,104,9,19,15,13,15,18,2,0,Low
Gujarat,Anklesvar,Rallis India Ltd.,252,RIRuO,104,12,24,18,14,18,23,4,0,Low
Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",253,RIRuO,104,10,19,15,12,14,18,3,0,Low
Gujarat,Jamnagar,Fisheries Office,319,RIRuO,104,9,26,12,10,12,15,2,0,Low
Gujarat,Rajkot,Sardhara Industrial Corporation,257,RIRuO,104,8,19,13,12,13,15,2,0,Low
Gujarat,Rajkot,Regional Offce,374,RIRuO,104,9,23,12,10,12,13,2,0,Low
Gujarat,Surat,S.V.R. Engg. College,21,RIRuO,104,9,17,13,11,13,16,2,0,Low
Gujarat,Surat,"B.R.C. High School, Udhna",22,RIRuO,114,13,27,20,15,20,24,3,0,Low
Gujarat,Surat,Air India Office,23,RIRuO,104,12,40,16,13,16,18,3,0,Low
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",50,RIRuO,96,8,17,11,8,10,13,2,0,Low
Gujarat,Vadodara,Dandia Bazaar,333,RIRuO,96,12,26,16,13,15,21,3,0,Low
Gujarat,Vadodara,CETP Nandesari,334,RIRuO,96,17,31,23,20,23,26,3,0,Low
Gujarat,Vapi,"GEB, IIIrd Phase, GIDC, Vapi",367,RIRuO,104,11,49,17,13,17,19,6,0,Low
Gujarat,Vapi,"Vapi Nagar Palika, Vapi",221,RIRuO,104,10,17,14,12,14,17,2,0,Low
