State,City,Location,Type,Numbers of  monitoring days (n),Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation
Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive,104,632,250
Uttar Pradesh,Agra,Itmad-ud-daulah,Sensitive,104,408,188
Uttar Pradesh,Agra,Rambagh,Sensitive,103,380,175
Uttar Pradesh,Agra,Taj Mahal,Sensitive,266,325,170
Uttar Pradesh,Allahabad,Bharat Yantra Nigam,Residential and other,102,299,97
Uttar Pradesh,Allahabad,Square Crossing,Residential and other,102,430,138
Uttar Pradesh,Anpara,Renusagar Colony,Industrial,90,268,49
Uttar Pradesh,Anpara, Anpara Colony,Industrial,87,275,39
Uttar Pradesh,Firozabad,CDGI,Industrial,101,408,145
Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and other,95,392,138
Uttar Pradesh,Firozabad,Tilak Nagar,Residential and other,93,358,129
Uttar Pradesh,Ghaziabad,Atlas Cycles Ltd,Industrial,78,508,72
Uttar Pradesh,Ghaziabad,Bulandshahar R.I.A.,Industrial,74,460,71
Uttar Pradesh,Jhansi,Jail Chauraha,Residential and other,115,288,27
Uttar Pradesh,Jhansi,Veeranga Nagar,Residential and other,104,239,29
Uttar Pradesh,Kanpur,Fazal Ganj,Industrial,83,519,36
Uttar Pradesh,Kanpur,Jajmau,Industrial,89,469,67
Uttar Pradesh,Kanpur,Dabauli,Residential and other,84,481,57
Uttar Pradesh,Kanpur,Deputy Ka Parao,Residential and other,89,490,46
Uttar Pradesh,Kanpur, Kidwai nagar,Residential and other,92,474,56
Uttar Pradesh,Khurja,CGCRI,Industrial,82,508,18
Uttar Pradesh,Khurja,Ahirpara,Residential and other,80,233,43
Uttar Pradesh,Lucknow,Talkatora,Industrial,93,437,61
Uttar Pradesh,Lucknow, Aminabad,Residential and other,94,417,59
Uttar Pradesh,Lucknow,Chandganj  Nagar,Residential and other,96,405,55
Uttar Pradesh,Lucknow,Kapoor Hotel,Residential and other,91,401,55
Uttar Pradesh,Lucknow,Mahanagar,Residential and other,78,405,52
Uttar Pradesh,Meerut,Begum Bridge,Residential and other,41,644,115
Uttar Pradesh,Meerut,Thana Railway Road,Residential and other,29,487,46
Uttar Pradesh,Noida,GEE-PEE,Industrial,98,451,69
Uttar Pradesh,Noida,"R.O, UPPB",Residential and other,92,443,65
Uttar Pradesh,Varanasi,Regional Office,Residential and other,89,381,24
Uttar Pradesh,Varanasi,Sigra,Residential and other,94,394,28
Uttarakhand,Dehradoon ,Raipur Road ,Industrial,48,253,58
Uttarakhand,Dehradoon ,Clock Tower,Residential and other,57,322,73
West Bengal,Asansol,Asansol M.C.,Industrial,102,350,198
West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",Industrial,43,320,194
West Bengal,Asansol,"Burnpur Town Department, Burnpur",Industrial,43,317,206
West Bengal,Durgapur,"Dew India Ltd., Dr. B. C. Roy Avenue, Durgapur",Industrial,102,492,242
West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, benachiti",Industrial,102,366,183
West Bengal,Durgapur,"PCBL Club, Muchipara, Bidhannagar",Residential and other,102,239,123
West Bengal,Durgapur,"DMC Water Works, Angadpur",Residential and other,43,278,133
West Bengal,Haldia,Super Market,Industrial,9,248,31
West Bengal,Haldia,WBIIDC,Industrial,9,251,34
West Bengal,Howrah,Bandhaghat,Industrial,104,247,142
West Bengal,Howrah,Howrah MC,Industrial,104,262,152
West Bengal,Howrah,Bator,Residential and other,104,212,126
West Bengal,Howrah,Naskarpara,Residential and other,104,232,138
West Bengal,Kolkata,"Traffic Guard Building, Behala Chowrasta",Industrial,105,233,130
West Bengal,Kolkata,Cossipore Police Stn,Industrial,97,392,160
West Bengal,Kolkata," National Sample Survey Building, Dunlop Bridge",Industrial,104,220,142
West Bengal,Kolkata,"Upanagari Sporting Club, Baishnabghata",Residential and other,105,170,104
West Bengal,Kolkata,Kasba,Residential and other,95,319,154
West Bengal,Kolkata,Lal Bazar,Residential and other,96,332,148
West Bengal,Kolkata,"A.J.C Bose Road, Minto Park",Residential and other,104,168,96
West Bengal,Kolkata,"KMC Office Building, Moulali",Residential and other,105,223,137
West Bengal,Kolkata,"CK Market, Salt Lake",Residential and other,105,186,112
West Bengal,Barrackpore,Barrackpore Police Station,Residential and other,44,223,78
West Bengal,Barrackpore,Dum Dum Telephone Exchange,Residential and other,44,272,109
West Bengal,Barrackpore,Khardah Municipality,Residential and other,44,266,109
West Bengal,Raniganj,Jamuria Municipality,Residential and other,17,476,173
West Bengal,Raniganj,"SKS Public School, Mangalpur",Residential and other,43,342,232
West Bengal,Raniganj,"Raniganj Municipality, Raniganj",Residential and other,43,522,282
West Bengal,Sankrail,"P. Mukherjee's House, (Near SBI)",Residential and other,31,202,76
West Bengal,Sankrail,Bagnan Police Station,Residential and other,31,282,76
West Bengal,Sankrail,Dhulagarh Gram Panchayet Office,Residential and other,31,283,76
West Bengal,Sankrail,"Bharat Co-operative Housing Society, Sankrail",Residential and other,31,249,61
West Bengal,South suburban,"P. Roy Industrial Training Institute, Amtala",Residential and other,43,163,163
West Bengal,South suburban,Baruipur Police Station,Residential and other,43,172,95
West Bengal,South suburban,"Chanditala Water Supply Pump House, Tollygunge",Residential and other,42,200,121
