State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation
Delhi,Delhi,Pritampura,531,RIRuO,79,124,959,444,172
Delhi,Delhi,Shahadra,58,RIRuO,77,95,1090,501,207
Delhi,Delhi,Shahzada Bagh,57,RIRuO,79,137,1132,527,190
Delhi,Delhi,Nizamuddin,55,RIRuO,80,104,853,456,164
Delhi,Delhi,Janakpuri,59,RIRuO,72,141,860,511,161
Delhi,Delhi,Siri Fort,60,RIRuO,79,73,766,448,171
Delhi,Delhi,"N.Y. School, Sarojini Nagar",144,RIRuO,91,53,1045,426,224
Delhi,Delhi,"Town Hall, Chandni Chowk",146,RIRuO,93,94,1127,560,239
Delhi,Delhi,Mayapuri Industrial Area,345,RIRuO,96,102,1039,576,228
Delhi,Delhi,Pritampura,531,RIRuO,79,124,959,444,172
Delhi,Delhi,Shahadra,58,RIRuO,77,95,1090,501,207
Delhi,Delhi,Shahzada Bagh,57,RIRuO,79,137,1132,527,190
Delhi,Delhi,Nizamuddin,55,RIRuO,80,104,853,456,164
Delhi,Delhi,Janakpuri,59,RIRuO,72,141,860,511,161
Delhi,Delhi,Siri Fort,60,RIRuO,79,73,766,448,171
Goa,Panaji,"Old GSPCB premises, Patto",327,RIRuO,105,39,332,134,60
Goa,Marmagao,"Fire Brigade Station, Port Trust",435,RIRuO,118,15,310,103,48
Goa,Vasco,"Fuse Call Office of Elec. Dept., Mormugao taluka",37,RIRuO,103,38,319,119,64
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",101,RIRuO,157,611,180,383,104
Gujarat,Ahmedabad,Cadilla Bridge Narol,102,RIRuO,103,108,257,190,28
Gujarat,Ahmedabad,L.D. Engg. College,103,RIRuO,104,84,198,147,25
Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",154,RIRuO,103,114,243,182,34
Gujarat,Ahmedabad,"R.C. High School, Mirzapur",155,RIRuO,104,108,253,189,30
Gujarat,Ahmedabad,"Naroda, G.I.D.C.,",347,RIRuO,104,125,243,184,27
Gujarat,Anklesvar,Rallis India Ltd.,252,RIRuO,104,110,219,170,27
Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",253,RIRuO,104,93,188,147,21
Gujarat,Jamnagar,Fisheries Office,319,RIRuO,104,149,281,195,16
Gujarat,Rajkot,Sardhara Industrial Corporation,257,RIRuO,104,64,306,208,40
Gujarat,Rajkot,Regional Offce,374,RIRuO,104,87,297,142,32
Gujarat,Surat,S.V.R. Engg. College,21,RIRuO,104,83,197,151,23
Gujarat,Surat,Air India Office,23,RIRuO,104,122,226,164,21
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",50,RIRuO,96,69,167,111,19
Gujarat,Vadodara,Dandia Bazaar,333,RIRuO,96,134,320,210,34
Gujarat,Vadodara,CETP Nandesari,334,RIRuO,96,201,402,322,36
Gujarat,Vapi,"GEB, IIIrd Phase, GIDC, Vapi",367,RIRuO,104,124,219,178,21
Gujarat,Vapi,"Vapi Nagar Palika, Vapi",221,RIRuO,104,108,201,154,20
Haryana,Faridabad,Escorts Research Centre Mathura Road,331,RIRuO,145,81,110,95,7
Haryana,Faridabad,RO Haryana SPCB,330,RIRuO,96,362,469,397,24
Haryana,Hissar,Guru Jambehswar University,414,RIRuO,52,104,2253,216,299
Haryana,Yamunanagar,Ballarpur Industries,196,RIRuO,52,105,636,361,121
Himachal Pradesh,Baddi,Industry Department Office Building,449,RIRuO,96,62,610,218,96
Himachal Pradesh,Baddi,AHC barotiwala,564,RIRuO,85,66,494,208,84
Himachal Pradesh,Damtal,Regional Office,268,RIRuO,150,72,268,137,40
Himachal Pradesh,Damtal,Old Road,271,RIRuO,114,77,261,160,36
Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,461,RIRuO,156,106,892,396,149
Himachal Pradesh,Kala Amb,Trilokpur,530,RIRuO,157,48,372,181,65
Himachal Pradesh,Nalagarh,Municipal Council,565,RIRuO,67,62,537,189,102
Himachal Pradesh,Parwanoo,"Regional Office, Sector- 4",132,RIRuO,61,32,385,126,153
Himachal Pradesh,Parwanoo,"Asst. Commissioner Building, Sector I",339,RIRuO,78,44,385,178,136
Himachal Pradesh,Paonta Sahib,Paonta Sahib,117,RIRuO,140,89,405,203,56
Himachal Pradesh,Paonta Sahib,Gondhpur Industrial Area,118,RIRuO,119,106,594,284,94
Himachal Pradesh,Shimla,Tekka Bench Ridge,34,ES (Hill station),140,14,286,103,52
Himachal Pradesh,Shimla,"Bus Stand, Winterfield",35,ES (Hill station),122,40,309,121,48
Jammu & Kashmir,Jammu,"Regional Office, Jammu",184,RIRuO,88,79,258,171,46
Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",482,RIRuO,85,78,275,166,40
Jharkhand,Dhanbad,"EMTI, Bastacola",612,RIRuO,72,174,472,277,59
Jharkhand,Dhanbad,"CGM Office, Kusunda",611,RIRuO,81,162,474,280,65
Jharkhand,Dhanbad,R.O. Dhanbad,44,RIRuO,83,49,443,179,75
Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,351,RIRuO,89,218,410,322,54
Jharkhand,Jamshedpur,Golmuri Vehicle Testing Centre,382,RIRuO,91,229,662,320,62
Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",402,RIRuO,111,192,787,390,105
Jharkhand,Saraikela Khar-sawan,"RO Building, Adityapur",614,RIRuO,86,155,699,357,110
Jharkhand,West Singhbhum,Barajamda U.M. Office,615,RIRuO,84,132,2040,661,514
Karnataka,Bangalore,Graphite India,77,RIRuO,59,64,821,296,176
Karnataka,Bangalore,Yeshwanthpura police station,457,RIRuO,100,81,654,238,110
Karnataka,Bangalore,Peenya Industrial Area,405,RIRuO,99,80,1114,207,121
Karnataka,Bangalore,"KHB Industrial Area, Yelahanka",404,RIRuO,107,54,918,303,217
Karnataka,Bangalore,"AMCO Batteries, Mysore Road",78,RIRuO,100,60,558,160,76
Karnataka,Bangalore,"Jnanabharathi , Bangalore University",598,RIRuO,104,27,142,59,19
Karnataka,Belgaum,Karnataka SPCB Office Building,460,ES (Sahyadri),83,10,196,65,43
Karnataka,Gulburga,Government Hospital,459,RIRuO,77,107,418,178,61
Karnataka,Hassan,KSRTC bus stand building,458,RIRuO,84,58,238,127,36
Karnataka,Hubli-Dharwad,"Lakamanahali Industrial Area, Dharwad",432,RIRuO,69,57,340,151,59
Karnataka,Hubli-Dharwad,"Rani Chennamma Circle, Hubli",431,RIRuO,95,66,400,193,78
Karnataka,Mangalore,"Stides Premises, Baikampady Industrial Area",488,RIRuO,105,38,301,98,47
Karnataka,Mysore,K.R.Circle,40,RIRuO,94,45,215,93,26
Karnataka,Mysore,KSPCB Bldg. Hebbal Ind. Area,328,RIRuO,117,27,143,78,27
Kerala,Alappuzha,"District Office, Alissery Road",618,RIRuO,120,20,212,71,34
Kerala,Alappuzha,"DC Mills, Pathirappally",617,RIRuO,120,26,266,76,39
Kerala,Kochi,Eloor I,149,RIRuO,90,24,306,65,40
Kerala,Kochi,Eloor II,29,RIRuO,91,27,237,83,39
Kerala,Kochi,Irumpanam,30,RIRuO,109,18,147,50,29
Kerala,Kochi,Ernakulum South,338,RIRuO,109,22,118,53,23
Kerala,Kochi,VYTTILA,562,RIRuO,108,20,123,57,26
Kerala,Kochi,MG Road Bank Ernakulum,147,RIRuO,109,21,130,52,24
Kerala,Kochi,Kalamassery,346,RIRuO,108,14,148,62,29
Kerala,Kollam,"KSPCB, District Office, Kadappakada",621,RIRuO,117,43,275,107,42
Kerala,Kollam,KMML Chavara,620,RIRuO,56,22,132,54,24
Kerala,Kottayam,Kottayam,187,RIRuO,96,50,63,57,3
Kerala,Kottayam,Vadavathoor,361,RIRuO,96,35,53,43,6
Kerala,Kozhikode,Kozhikode City,360,RIRuO,108,55,115,80,15
Kerala,Kozhikode,Nallalam,359,RIRuO,108,49,115,85,15
Kerala,Malapuram,Kakkanchery Sijmak oils,623,RIRuO,108,27,70,43,7
Kerala,Palakkad,SEPR Refractories India Ltd.,311,RIRuO,121,17,137,61,22
Kerala,Pathanamthitta,"Near District Office KSPCB, Makkamkunnu",619,RIRuO,120,22,64,42,8
Kerala,Thissur,"KSPCB, District Office, Poonkunnam",624,RIRuO,93,37,284,82,49
Kerala,Wayanad,Sulthan Bathery,622,RIRuO,119,54,94,70,8
Kerala,Trivandrum,PRS Hospital/COSMO,419,RIRuO,108,46,73,59,6
Kerala,Trivandrum,SMV School,181,RIRuO,109,39,305,65,25
Kerala,Trivandrum,VELI,357,RIRuO,106,43,110,77,14
Kerala,Trivandrum,PETTAH,358,RIRuO,107,43,85,57,6
Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam",122,RIRuO,73,80,803,363,171
Madhya Pradesh,Bhopal,C E T P Govindpura,123,RIRuO,74,41,753,277,158
Madhya Pradesh,Dewas,EID Perry (I) Limited,525,RIRuO,88,681,66,255,420
