State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation
Tamilnadu,Madurai,Highway (Project -I) Building,306,RIRuO,103,52,226,111,38
Tamilnadu,Madurai,Fenner (I) Ltd. Susee Cars & Trucks,307,RIRuO,93,54,166,94,22
Tamilnadu,Madurai,Kunnathur Chatram Girls HS School,308,RIRuO,97,64,267,120,41
Tamilnadu,Salem,Sowdeswari College Building,309,RIRuO,118,52,267,120,47
Tamilnadu,Tuticorin,Fisheries College,239,RIRuO,78,38,586,143,100
Tamilnadu,Tuticorin,Raja Agencies,240,RIRuO,90,72,724,289,140
Uttar Pradesh,Agra,"Regional Office, Bodla",323,ES (Tajtrapezium),89,181,511,315,75
Uttar Pradesh,Agra,Nunhai,324,ES (Tajtrapezium),96,169,583,364,81
Uttar Pradesh,Agra,Taj Mahal,1,ES (Tajtrapezium),283,24,1046,337,203
Uttar Pradesh,Agra,DIC Nunhai,415,ES (Tajtrapezium),123,65,1194,523,279
Uttar Pradesh,Agra,Etmad-uddaulah,416,ES (Tajtrapezium),122,64,889,417,223
Uttar Pradesh,Agra,Rambagh,417,ES (Tajtrapezium),116,60,913,357,202
Uttar Pradesh,Allahabad,Square crossing circle of Laxmi Talkies,554,RIRuO,105,229,1144,518,146
Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,555,RIRuO,105,154,739,377,105
Uttar Pradesh,Anpara,"Anpara Colony, Sonabhadra",6,RIRuO,104,168,312,248,24
Uttar Pradesh,Anpara,"Renusagar Colony, Sonabhadra",7,RIRuO,96,152,329,249,37
Uttar Pradesh,Ferozabad,Center for Development of Glass Industry ( CDGI),399,ES (Tajtrapezium),104,98,638,446,164
Uttar Pradesh,Ferozabad,Tilak Nagar,400,ES (Tajtrapezium),103,94,620,424,158
Uttar Pradesh,Ferozabad,Raza ka Tal,401,ES (Tajtrapezium),101,65,606,405,164
Uttar Pradesh,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",140,RIRuO,88,202,596,353,81
Uttar Pradesh,Gajraula,"Indira Chowk, J.P. Nagar",139,RIRuO,68,150,316,210,39
Uttar Pradesh,Ghaziabad,"M/s Atlas Cycles Industries Ltd, Sahibabad IndustrialArea",258,RIRuO,97,330,933,565,154
Uttar Pradesh,Ghaziabad,Bulandshaar Road Industrial Area,369,RIRuO,88,308,905,516,155
Uttar Pradesh,Jhansi,Jail Chauraha,517,RIRuO,120,199,518,271,44
Uttar Pradesh,Jhansi,Veeranga Nagar,518,RIRuO,120,144,413,223,35
Uttar Pradesh,Kanpur,"Forest & Training Centre, Kidwai Nagar",212,RIRuO,98,271,542,455,61
Uttar Pradesh,Kanpur,"Chamber Of Commerce, Darshanpurwa",98,RIRuO,91,355,677,470,52
Uttar Pradesh,Kanpur,Fazalganj,86,RIRuO,81,288,582,493,60
Uttar Pradesh,Kanpur,Dabauli,391,RIRuO,80,303,559,447,53
Uttar Pradesh,Kanpur,"Awas Vikas, Jajmau",395,RIRuO,93,305,603,442,53
Uttar Pradesh,Khurja,Central Glass & Ceramic Research Institute,534,RIRuO,58,260,509,384,71
Uttar Pradesh,Khurja,Ahirpara,535,RIRuO,58,162,305,204,46
Uttar Pradesh,Lucknow,Mahanagar,377,RIRuO,74,277,477,381,56
Uttar Pradesh,Lucknow,"Chandganj Garden, Aliganj",398,RIRuO,109,288,478,387,53
Uttar Pradesh,Lucknow,"Kapoor Hotel, Hazratganj",109,RIRuO,82,275,481,396,53
Uttar Pradesh,Lucknow,Talkatora,113,RIRuO,81,296,524,422,54
Uttar Pradesh,Lucknow,"S.M.K Chowk, Aminabad",397,RIRuO,101,303,490,395,57
Uttar Pradesh,Meerut,Begum Bridge,550,RIRuO,66,415,621,486,45
Uttar Pradesh,Noida,"Regional Office, UP PCB",403,RIRuO,95,147,652,438,94
Uttar Pradesh,Noida,Gee-Pee Electroplating and Engineering Work,378,RIRuO,96,198,694,442,96
Uttarakhand,Dehradun,"Clock Tower, PWD Guest House",89,ES (Doon valley),50,180,604,369,89
West Bengal,Asansol,Asansol Municipal Corporation,386,RIRuO,105,56,817,287,174
West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",593,RIRuO,105,67,747,297,190
West Bengal,Asansol,"Burnpur Town Department, Burnpur",592,RIRuO,105,42,901,325,203
West Bengal,Barrackpore,Barrackpore Municiaplity,655,RIRuO,102,59,425,219,100
West Bengal,Barrackpore,Dum Dum Telephone Exchange,653,RIRuO,101,70,522,250,113
West Bengal,Barrackpore,Khardah Municipality,654,RIRuO,102,65,492,253,114
West Bengal,Durgapur,"DMC Water Works, Angadpur",591,RIRuO,105,60,699,284,161
West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, Benachiti",384,RIRuO,105,81,753,291,161
West Bengal,Durgapur,"Bidhannagar, PCBL Club, Muchipara",385,RIRuO,105,54,473,196,94
West Bengal,Durgapur,"Dew India Limited, PCBL More, Durgapur",383,RIRuO,105,105,1190,436,266
West Bengal,Haldia,"Bhabanipur, Debhog Milan Viyapith",663,RIRuO,108,56,323,157,66
West Bengal,Haldia,"Driver's Hut of M/s. MCC PTA, Bhunia Raichak",664,RIRuO,108,37,281,140,44
West Bengal,Haldia,"Supermarket Building, Durgachak",15,RIRuO,108,31,327,119,64
West Bengal,Haldia,WBIIDC Durgachak,14,RIRuO,108,37,318,146,61
West Bengal,Howrah,Howrah Municipal Corporation Building,8,RIRuO,103,58,525,255,122
West Bengal,Howrah,"Naskarpara Pump House, Ghuseri",10,RIRuO,103,49,493,227,115
West Bengal,Howrah,"CDS & Health Centre, Bator",11,RIRuO,103,43,434,206,108
West Bengal,Howrah,"Howrah Municipality School, Bandhaghat",9,RIRuO,103,52,560,247,119
West Bengal,Kolkata,"Salt Lake, Rooftop of CK Market",474,RIRuO,103,54,493,187,118
West Bengal,Kolkata,"Moulali, Rooftop of KMC office Building",473,RIRuO,104,65,696,228,146
West Bengal,Kolkata,"Minto Park, Inside Park AJC Bose Road",475,RIRuO,102,50,415,157,101
West Bengal,Kolkata,"Dunlop Bridge, National Sample Survey Building",472,RIRuO,150,42,617,222,102
West Bengal,Kolkata,"Behala Chowrasta, Traffic Guard Building",476,RIRuO,103,51,554,218,134
West Bengal,Kolkata,"Lal-Bazar, Dalhousie Square",163,RIRuO,96,71,807,307,155
West Bengal,Kolkata,Kasba,348,RIRuO,96,28,883,296,164
West Bengal,Raniganj,Raniganj Municipality,662,RIRuO,105,93,989,414,230
West Bengal,Raniganj,"Mangalpur, SKS School Mangalpur",660,RIRuO,104,83,765,313,159
West Bengal,Raniganj,Jamuria Municipality,661,RIRuO,105,59,704,278,149
West Bengal,Sankrail,Bharat Co-operative Housing Society,657,RIRuO,104,41,410,196,102
West Bengal,Sankrail,"Bagan Police Station, Bagan",659,RIRuO,104,44,513,222,114
West Bengal,Sankrail,Dhulagar Gram Pachayat,656,RIRuO,104,38,453,218,111
West Bengal,Sankrail,"P Mukherjee's House, Near SBI Amta",658,RIRuO,104,33,372,157,88
West Bengal,South Suburban,"Chanditala Water Supply Pump House, Tollygunge",652,RIRuO,102,39,494,178,123
West Bengal,South Suburban,"Bauipur Police Station, Baruipur",650,RIRuO,105,44,578,185,128
West Bengal,South Suburban,"P Roy Industrial Training Institute, Amtala",651,RIRuO,103,43,493,177,121
