State ,City,Location,Type,Category of ES,No. of mon. days (n),Min,Max,SO2 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Vishakhapatnam,Seethammadhara,388,RIRuO,NA,108,4,72,13,4,31,13,0,Low
Vishakhapatnam,Ganapuram Area,467,RIRuO,NA,108,4,228,20,4,45,27,3,Low
Vishakhapatnam,"Pedagantyada, Gajuwada",584,RIRuO,NA,108,4,76,9,4,19,9,0,Low
Vishakhapatnam,"CWMP, RAMKY, Parawada",585,RIRuO,NA,98,4,75,7,4,11,9,0,Low
Bongaigaon,"Oil India Ltd. PS-6, Chirang",542,RIRuO,NA,103,3,13,6,4,7,1,0,Low
Bongaigaon,Barpara Office Building,520,RIRuO,NA,100,4,10,7,5,8,1,0,Low
Daranga,"BATAD,  Baska",566,RIRuO,NA,80,3,7,5,4,7,1,0,Low
Dibrugarh,Dibrugarh Office Building,538,RIRuO,NA,102,3,18,6,4,7,2,0,Low
Golaghat,Golaghat Office Building,539,ES,Numaligarh,93,2,14,6,4,11,2,0,Low
Guwahati,"Head Office, Bamunimaidam",193,RIRuO,NA,260,3,14,6,5,8,2,0,Low
Guwahati,"Boragaon, IASST, Kamrup",603,RIRuO,NA,103,3,18,6,4,8,2,0,Low
Guwahati,"Guwahati University, Kamrup",602,RIRuO,NA,124,3,11,6,5,7,1,0,Low
Guwahati,"ITI Building, Gopinath Nagar",519,RIRuO,NA,263,2,32,6,5,8,2,0,Low
Guwahati,"Khanapara, Central Dairy, Kamrup",596,RIRuO,NA,246,3,14,6,5,8,2,0,Low
Guwahati,"Near Pragjyotish College, Santipur",541,RIRuO,NA,259,3,12,6,5,8,1,0,Low
Margherita,Coal India Office,586,RIRuO,NA,96,5,11,6,5,8,1,0,Low
Lakhimpur,"Bazar Patti, North Lakhimpur Town",587,RIRuO,NA,103,3,12,2,6,4,7,0,Low
Nagaon,"Water Resources Div., Christian Patty",595,RIRuO,NA,94,4,17,6,5,7,2,0,Low
Nalbari,PWD Rural Div Office Complex,597,RIRuO,NA,104,3,11,6,4,9,2,0,Low
Sibsagar,Sibasagar Office Building,537,RIRuO,NA,103,5,27,8,5,10,4,0,Low
Sibsagar,"Usha Lodge, near ONGCL Colony",604,RIRuO,NA,101,3,12,6,2,4,8,0,Low
Silchar,Janiganj Govt. Boys HS School campus,607,RIRuO,NA,94,4,10,6,5,7,1,0,Low
Silchar,"RLO, Ithkola Market, Ghaniwala Road",567,RIRuO,NA,91,3,9,6,4,7,1,0,Low
Tezpur,Tezpur Office Building,536,RIRuO,NA,102,2,25,3,6,5,7,0,Low
Tinsukia,"Digboi Carbon factory Campus, Borguri",594,RIRuO,NA,97,3,8,5,4,6,1,0,Low
Tinsukia,"Shreepuria, Borguri",605,RIRuO,NA,95,4,8,5,5,7,1,0,Low
Patna,"Beltron Bhawan, Shastri Nagar",210,RIRuO,NA,108,2,13,4,2,6,2,0,Low
Patna,Gandhi Maidan Test Centre,284,RIRuO,NA,83,2,39,9,3,16,7,0,Low
Chandigarh,"Modern Foods, Industrial Area",106,RIRuO,NA,93,2,2,2,2,2,0,0,Low
Chandigarh,Sector-17 C,263,RIRuO,NA,106,2,2,2,2,2,0,0,Low
Chandigarh,"Punjab Engineering College, Sector- 12",264,RIRuO,NA,104,2,2,2,2,2,0,0,Low
Chandigarh,"Sector-39, IMTECH",463,RIRuO,NA,102,2,5,2,2,2,0,0,Low
Chandigarh,Kaimbwala Village,464,RIRuO,NA,98,2,2,2,2,2,0,0,Low
Bhillai,"Visak Hostel, Sector-4",65,RIRuO,NA,88,8,12,10,9,11,1,0,Low
Bhillai,"R.O., 5/32 Banglow Office Building",67,RIRuO,NA,90,3,6,5,4,6,1,0,Low
Bhillai,M.P. Laghu Udyog Nigam,245,RIRuO,NA,92,9,13,11,10,12,1,0,Low
Bilaspur,"Regional Office, CECB Vyapar Vihar",669,RIRuO,NA,71,3,10,6,4,9,2,0,Low
Korba,"HIG 21,22.Near Ghantaghar, MP Extension",364,RIRuO,NA,87,11,13,12,11,13,1,0,Low
Korba,"Pragati Nagar NTPC Colony, Jamnipali",249,RIRuO,NA,92,11,13,12,11,12,1,0,Low
Korba,"I.T.I., Rampur",407,RIRuO,NA,85,11,14,12,12,13,1,0,Low
Raipur,"New HIG-9, Hirapur",368,RIRuO,NA,16,12,15,14,12,15,1,0,Null
Raipur,"M/S Wool Worth India, Sarora",223,RIRuO,NA,62,13,18,15,14,17,1,0,Low
Raipur,"Yatayat Thana, Jai Stambh Chowk",447,RIRuO,NA,19,10,15,13,11,14,1,0,Null
Silvassa,"Khadoli Industrial Area, Khadoli",558,RIRuO,NA,75,7,9,8,7,8,0,0,Low
Daman,"Kadaiya Industrial Area, Kadaiya",560,RIRuO,NA,76,7,9,8,8,8,0,0,Low
Delhi,"N.Y. School, Sarojini Nagar, Delhi",144,RIRuO,NA,96,2,29,5,2,10,4,0,Low
Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",146,RIRuO,NA,96,2,31,7,2,16,7,0,Low
Delhi,"Mayapuri Industrial Area, Delhi",345,RIRuO,NA,96,2,49,10,2,27,11,0,Low
Delhi,Pritampura,531,RIRuO,NA,77,4,30,5,4,5,3,0,Low
Delhi,Shahadra,58,RIRuO,NA,78,4,7,5,4,6,1,0,Low
Delhi,Shahzada Bagh,57,RIRuO,NA,77,4,6,5,4,6,1,0,Low
Delhi,Nizamuddin,55,RIRuO,NA,76,4,5,4,4,4,0,0,Low
Delhi,Janakpuri,59,RIRuO,NA,68,4,6,4,4,4,0,0,Low
Delhi,Siri Fort,60,RIRuO,NA,78,4,23,5,4,5,3,0,Low
Panaji,"Old GSPCB premises, Patto",327,RIRuO,NA,102,2,22,9,2,16,5,0,Low
Marmagao,"Fire Brigade Station, Port Trust",435,RIRuO,NA,34,2,12,6,4,9,2,0,Null
Vasco,"Fuse Call Office, Mormugao",37,RIRuO,NA,34,2,17,7,3,12,4,0,Null
Curchorem,"Curchorem, Sanvordem, Quepem",628,RIRuO,NA,104,12,22,15,12,19,3,0,Low
Codli,"Codli Tisk, Ponda",630,RIRuO,NA,105,11,28,16,12,23,5,0,Low
Honda,"Honda Junction, Sattari",631,ES,Sahyadri,104,11,26,16,12,22,4,0,Moderate
Bicholim,Bicholim Taluk,632,RIRuO,NA,103,6,14,10,8,13,2,0,Low
Amona,"Amona, Bicholim",633,RIRuO,NA,103,6,13,10,7,13,2,0,Low
Assanora,"Assanora Junction, Bardez Taluka",634,RIRuO,NA,105,6,13,9,7,12,2,0,Low
Usgao,"Usgao Plae, Junction, Ponda",629,RIRuO,NA,103,7,13,10,8,12,2,0,Low
Margao,Margao Town,774,RIRuO,NA,103,5,14,9,7,10,2,0,Low
Tilamol,"Quepem, Tilamol",778,RIRuO,NA,105,11,21,15,12,19,2,0,Low
Mapusa,Mapusa town,775,RIRuO,NA,101,3,12,7,4,9,2,0,Low
Sanguem,"Near Railway Station at Kalem, Sanguem",777,RIRuO,NA,92,11,21,14,12,19,2,0,Low
Ponda,Ponda Town,776,RIRuO,NA,103,6,13,9,7,11,2,0,Low
Kundaim,Kundaim Industrial Estate,780,RIRuO,NA,59,6,13,9,7,11,1,0,Low
Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",101,RIRuO,NA,34,13,26,17,15,20,2,0,Null
Ahmedabad,Cadilla Bridge Narol,102,RIRuO,NA,44,9,18,11,10,13,2,0,Null
Ahmedabad,L.D. Engg. College,103,RIRuO,NA,44,8,16,10,9,12,2,0,Null
Ahmedabad,"Shardaben Hospital, Saraspur",154,RIRuO,NA,44,10,18,12,10,14,2,0,Null
Ahmedabad,"R.C. Technical High School, Mirzapur",155,RIRuO,NA,44,9,18,11,9,12,2,0,Null
Ahmedabad,"Naroda, G.I.D.C.",347,RIRuO,NA,44,9,20,11,10,13,2,0,Null
Anklesvar,Rallis India Ltd.,252,RIRuO,NA,44,16,33,20,17,23,3,0,Null
Anklesvar,"Durga Traders, Bhavanafarm Society",253,RIRuO,NA,44,14,27,16,15,17,2,0,Null
Jamnagar,Fisheries Office,319,RIRuO,NA,44,10,24,12,10,13,2,0,Null
Rajkot,Nr. Sardhara Industrial Corporation,257,RIRuO,NA,44,11,15,14,13,15,1,0,Null
Rajkot,GPCB Regional Offce,374,RIRuO,NA,44,10,14,12,11,13,1,0,Null
Surat,S.V.R. Engg. College,21,RIRuO,NA,62,9,30,14,10,16,3,0,Low
Surat,"B.R.C. High School, Udhna",22,RIRuO,NA,62,12,31,20,13,23,4,0,Low
Surat,Near Air India Office,23,RIRuO,NA,62,10,20,16,12,18,3,0,Low
Vadodara,"GPCB Office, Geri Vasahat",50,RIRuO,NA,44,8,19,11,9,13,2,0,Null
Vadodara,Dandia Bazaar,333,RIRuO,NA,34,13,27,17,14,19,3,0,Null
Vadodara,CETP Nandesari,334,RIRuO,NA,34,16,33,22,18,25,3,0,Null
Vapi,"GEB, IIIrd Phase, GIDC",367,RIRuO,NA,44,19,29,23,21,24,2,0,Null
Vapi,"Vapi Nagar Palika, Vapi",221,RIRuO,NA,44,14,26,16,15,17,2,0,Null
Faridabad,"M/s Escorts  Research centre,Mathura Road",331,RIRuO,NA,83,4,27,13,8,22,5,0,Low
Faridabad,Haryana RO SPCB Sector-16A,330,RIRuO,NA,111,3,25,10,5,18,5,0,Low
Hissar,Urban Estate - II,390,RIRuO,NA,72,5,9,6,5,7,1,0,Low
Hissar,Guru Jambehswar University,414,RIRuO,NA,40,4,7,5,4,6,1,0,Null
Baddi,Industry Department Office Building,449,RIRuO,NA,117,1,4,2,1,1,2,0,Low
Baddi,AHC barotiwala,564,RIRuO,NA,106,1,3,2,1,1,3,0,Low
Baddi,Housing Board,563,RIRuO,NA,70,1,7,2,1,1,3,0,Low
Damtal,Regional Office,268,RIRuO,NA,143,2,2,2,2,2,0,0,Low
Damtal,Old Road,271,RIRuO,NA,134,2,2,2,2,2,0,0,Low
Kala Amb,Kala Amb Industrial Area,461,RIRuO,NA,103,2,4,3,2,3,0,0,Low
Kala Amb,Kala Amb Town/Trilokpur,530,RIRuO,NA,102,2,6,2,2,2,0,0,Low
Nalagarh,Municipal Council,565,RIRuO,NA,82,1,4,2,1,2,1,0,Low
Parwanoo,"Regional Office, Sector- 4",132,RIRuO,NA,153,2,11,2,2,2,1,0,Low
Parwanoo,Asst. Commissioner Building Sector I,339,RIRuO,NA,147,2,3,2,2,2,0,0,Low
Paonta Sahib,Paonta Sahib,117,RIRuO,NA,140,2,20,2,2,2,2,0,Low
Paonta Sahib,Gondhpur Industrial Area,118,RIRuO,NA,127,2,6,3,1,2,3,0,Low
Shimla,Tekka Bench Ridge,34,ES,Hill station,125,1,5,2,1,3,1,0,Low
Shimla,"Bus Stand, Winterfield",35,ES,Hill station,121,1,18,3,1,4,2,0,Low
Una,"Regional Office, Una",667,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Una,"DIC Building, Mehatpur, Una",668,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Sunder Nagar,"HPSPCB, BBMB Colony, Mandi",665,RIRuO,NA,105,2,2,2,2,2,0,0,Low
Sunder Nagar,"Muncipal Council, NH-21, Mandi",666,RIRuO,NA,23,2,2,2,2,2,0,0,Null
Manali,"Nehru Park, Manali, District Kullu",670,ES,Hill station,104,2,21,4,2,9,4,0,Low
Manali,"HPSPCB, Hadimba Road, Manali, Kullu",671,ES,Hill station,77,2,14,4,2,9,3,0,Low
Jammu,"Regional Office, Jammu",184,RIRuO,NA,77,2,20,5,2,10,4,0,Low
Jammu,"M.A. Stadium, Jewel Chowk",482,RIRuO,NA,59,2,20,6,2,15,5,0,Low
Jammu,Bari Brahamana Industrial Area,507,RIRuO,NA,66,2,10,6,3,8,2,0,Low
Dhanbad,R.O. Dhanbad,44,RIRuO,NA,102,11,29,15,13,17,3,0,Low
Dhanbad,"EMTI, Bastacola",612,RIRuO,NA,70,12,25,17,14,20,0,0,Low
Dhanbad,"CGM Office, Kusunda",611,RIRuO,NA,84,12,30,17,14,22,3,0,Low
Jamshedpur,Bistupur Vehical Testing Centre,351,RIRuO,NA,94,27,47,37,30,41,4,0,Moderate
Jamshedpur,Golmuri Vehicle Testing Centre,382,RIRuO,NA,94,26,45,37,30,41,4,0,Moderate
Jharia,M.A.D.A.,332,RIRuO,NA,97,12,34,17,0,19,3,0,Low
Ranchi,"Albert Ekka Chowk, Main Road",402,RIRuO,NA,91,15,39,18,16,20,3,0,Low
Saraikela Kharsawan,"RO Building, Adityapur",614,RIRuO,NA,96,28,46,39,33,44,4,0,Moderate
Sindri,BIT / PDIL,46,RIRuO,NA,90,11,30,17,14,20,3,0,Low
West Singhbhum,Barajamda U.M. Office,615,RIRuO,NA,86,13,41,19,15,22,4,0,Low
Bangalore,"Graphite India, White Field Road",77,RIRuO,NA,79,11,24,16,14,19,2,0,Low
Bangalore,Yeshwanthpura police station,457,RIRuO,NA,96,12,22,16,14,18,2,0,Low
Bangalore,Peenya Industrial Area,405,RIRuO,NA,89,7,24,16,13,18,2,0,Low
Bangalore,"KHB Industrial Area, Yelahanka",404,RIRuO,NA,97,13,20,16,14,18,1,0,Low
Bangalore,"AMCO Batteries, Mysore Road",78,RIRuO,NA,106,11,31,15,13,17,3,0,Low
Bangalore,"Jnanabharathi, Bangalore University",598,RIRuO,NA,107,5,8,7,6,8,1,0,Low
Bangalore,Victoria hospital,406,RIRuO,NA,93,11,20,13,12,15,1,0,Low
Belgaum,Karnataka SPCB Office Building,460,ES,Sahyadri,92,2,2,2,2,2,0,2,Low
Gulburga,Government Hospital,459,RIRuO,NA,68,2,6,3,2,4,1,0,Low
Hassan,KSRTC bus stand building,458,RIRuO,NA,106,5,5,5,5,5,0,0,Low
Hubli-Dharwad,"Lakkamanahalli Industrial Area, Dharwad",432,RIRuO,NA,94,3,8,5,3,7,1,0,Low
Hubli-Dharwad,"Rani Chennamma Circle, Hubli",431,RIRuO,NA,93,3,9,5,3,7,2,0,Low
Mandya,"KSPCB Building, Bandigowda Badarahe",676,RIRuO,NA,78,7,14,10,8,12,1,0,Low
Mangalore,Baikampady Industrial Area,488,RIRuO,NA,104,2,12,6,4,8,2,0,Low
Mysore,"K.R.Circle, Visvesvaraya Bldg",40,RIRuO,NA,93,10,14,12,11,13,1,0,Low
Mysore,KSPCB Bldg. Hebbal Ind. Area,328,RIRuO,NA,105,7,18,10,8,12,2,0,Low
Devanagere,"Mothi Theatre, Gandhi Circle, P.B. Road",674,RIRuO,NA,107,2,20,6,4,8,2,0,Low
Devanagere,"HPF Intakewell,  Kumarapattnam",675,RIRuO,NA,99,2,10,5,3,7,2,0,Low
Devanagere,"Regional Office building, KSPCB",673,RIRuO,NA,83,2,9,4,2,6,2,0,Low
Alappuzha,"District Office, Alissery Road",618,RIRuO,NA,120,2,2,2,2,2,0,0,Low
Alappuzha,"DC Mills, Pathirappally",617,RIRuO,NA,120,2,2,2,2,2,0,0,Low
Kochi,"Eloor I, FACT, Ambalamughal",149,RIRuO,NA,120,2,8,2,2,3,1,0,Low
Kochi,Eloor II,29,RIRuO,NA,120,2,10,3,2,4,1,0,Low
Kochi,Irumpanam,30,RIRuO,NA,116,2,33,4,2,6,4,0,Low
Kochi,Ernakulum South,338,RIRuO,NA,119,2,30,4,2,7,4,0,Low
Kochi,VYTTILA,562,RIRuO,NA,115,2,30,3,2,7,3,0,Low
Kochi,MG Road Bank Ernakulum,147,RIRuO,NA,118,2,31,4,2,6,4,0,Low
Kochi,KALAMASSERY / CSIR Complex,346,RIRuO,NA,119,2,31,3,2,5,3,0,Low
Kollam,"KSPCB, District Office, Kadappakada",621,RIRuO,NA,120,2,7,4,6,6,1,0,Low
Kollam,KMML Chavara,620,RIRuO,NA,120,2,20,5,3,6,2,0,Low
Kottayam,Kottayam,187,RIRuO,NA,120,3,16,6,4,8,2,0,Low
Kottayam,Vadavathoor,361,RIRuO,NA,120,2,21,6,4,8,3,0,Low
Kozhikode,Kozhikode City,360,RIRuO,NA,120,2,2,2,2,2,0,0,Low
Kozhikode,Nallalam,359,RIRuO,NA,120,2,2,2,2,2,0,0,Low
Malapuram,"Kakkanchery, Sijmak oils",623,RIRuO,NA,117,2,2,2,2,2,0,0,Low
Palakkad,SEPR Refractories India Ltd.,311,RIRuO,NA,113,2,8,3,2,5,2,0,Low
Pathanamthitta,"KSPCB, Makkamkunnu",619,RIRuO,NA,120,2,2,2,2,2,0,0,Low
Thissur,"KSPCB, District Office, Poonkunnam",624,RIRuO,NA,116,2,2,2,0,2,2,0,Low
Wayanad,Sulthan Bathery,622,RIRuO,NA,119,2,2,2,2,2,0,0,Low
Thiruvananthapuram,PRS Hospital/COSMO,419,RIRuO,NA,104,6,15,7,6,7,1,0,Low
Thiruvananthapuram,SMV School,181,RIRuO,NA,106,6,14,7,6,8,1,0,Low
Thiruvananthapuram,VELI / HiTech Chackai,357,RIRuO,NA,105,7,20,16,13,18,2,0,Low
Thiruvananthapuram,PETTAH / Sasthamangalam,358,RIRuO,NA,104,6,9,7,6,7,0,0,Low
Bhopal,"Hamidia Road, MP Hastshilp Vikas Nigam",122,RIRuO,NA,73,2,11,3,2,5,2,0,Low
Bhopal,C E T P Govindpura,123,RIRuO,NA,74,2,9,3,2,5,2,0,Low
Bhopal,"Nutan Subhash School,  T.T. Nagar",247,RIRuO,NA,76,2,13,3,2,4,2,0,Low
Dewas,EID Perry (I) Limited,525,RIRuO,NA,67,9,27,17,12,23,5,0,Low
Dewas,Dewas Metal Section,524,RIRuO,NA,70,7,30,18,12,28,6,0,Low
Dewas,Vikas Nagar,523,RIRuO,NA,55,10,31,20,13,27,6,0,Low
Gwalior,Dindayal Nagar,479,RIRuO,NA,19,4,13,12,12,13,2,0,Null
Gwalior,Maharaj Bada,478,RIRuO,NA,15,13,14,14,13,14,0,0,Null
Indore,"M.P. Laghu Udyog, Pologround",127,RIRuO,NA,77,10,19,13,12,15,2,0,Low
Indore,"Kothari Market, M.G. Road",128,RIRuO,NA,93,8,27,12,11,13,2,0,Low
Indore,"Telephone Nagar, 26 A, Kanadia Road",131,RIRuO,NA,92,2,14,11,10,10,2,0,Low
Jabalpur,Vijay Nagar,248,RIRuO,NA,88,2,2,2,2,2,0,0,Low
Nagda,Chem. D. Labour Club,82,RIRuO,NA,61,13,52,38,28,47,8,0,Moderate
Nagda,B C I Labour Club,84,RIRuO,NA,85,13,34,21,15,25,4,0,Low
Nagda,Grasim Kalyan Kendra,246,RIRuO,NA,79,2,30,21,15,26,5,0,Low
Sagar,Pt.Deendayal Nagar,532,RIRuO,NA,86,2,6,3,2,4,1,0,Low
Singrauli,Jayant Township,515,RIRuO,NA,15,19,24,23,21,24,1,0,Null
Singrauli,"N.T.P.C., Vidyanagar",514,RIRuO,NA,15,21,24,24,23,24,1,0,Null
Singrauli,Waidhan,516,RIRuO,NA,17,23,25,24,23,25,1,0,Null
Ujjain,District Office,527,RIRuO,NA,75,10,23,17,14,21,3,0,Low
Ujjain,Regional Office,526,RIRuO,NA,35,8,11,9,8,9,1,0,Null
Ujjain,Mahakal Temple,528,RIRuO,NA,70,10,13,12,10,13,1,0,Low
Dombivali/Ambernath,Dombivali MIDC Phase-II,265,RIRuO,NA,58,28,95,56,38,76,15,9,High
Dombivali/Ambernath,Ambernath Municipal Council Office,445,RIRuO,NA,59,25,85,47,34,60,12,2,Moderate
Amravati,"Apurva Oil Industries, A-23, MIDC",549,RIRuO,NA,98,10,15,12,10,13,1,0,Low
Amravati,"Elect. Dept., Govt College Engineering",548,RIRuO,NA,83,8,14,11,9,12,1,0,Low
Amravati,"Rajkamal Square, Vaneeta Samaj",547,RIRuO,NA,91,8,16,12,10,14,1,0,Low
Aurangabad,S.B.E.S. College,511,RIRuO,NA,103,7,16,10,7,12,2,0,Low
Aurangabad,Collector Ofiice,512,RIRuO,NA,104,6,21,9,7,11,2,0,Low
Aurangabad,"C.A.D.A. Ofiice, Garkheda",513,RIRuO,NA,105,7,23,10,8,13,2,0,Low
Badlapur,BIWA Office,649,RIRuO,NA,98,6,6,6,6,6,0,0,Low
Chandrapur,Grampanchat Ghughus,267,RIRuO,NA,90,4,42,13,5,25,9,0,Low
Chandrapur,M.I.D.C. Chandrapur,281,RIRuO,NA,102,4,155,14,4,27,18,2,Low
Chandrapur,Nagar Parishad,396,RIRuO,NA,100,4,166,13,5,20,19,1,Low
Chandrapur,"Gadchandur Gram Panchayat, Rajura",640,RIRuO,NA,56,3,25,8,4,13,5,0,Low
Chandrapur,"MIDC, Tadali",638,RIRuO,NA,88,3,38,10,5,18,7,0,Low
Chandrapur,"Muncipal Council, Ballarshah",639,RIRuO,NA,86,4,21,8,5,14,4,0,Low
Jalgaon,B. J. Market,644,RIRuO,NA,103,10,27,18,14,22,3,0,Low
Jalgaon,Girna water tank,645,RIRuO,NA,102,10,18,15,13,17,2,0,Low
Jalgaon,MIDC Jalgaon,646,RIRuO,NA,100,13,32,24,18,28,4,0,Low
Kolhapur,"University Campus, Shivaji University",508,ES,Sahyadri,105,7,16,10,8,13,2,0,Low
Kolhapur,"Ruikar Trust, S.T. Stand",509,ES,Sahyadri,103,17,32,26,21,31,4,0,High
Kolhapur,"Mahadwar Road, Near Mahalaxmi Temple",510,ES,Sahyadri,104,14,30,24,17,28,4,0,High
Latur,MIDC Water Works,641,RIRuO,NA,99,4,17,8,4,15,4,0,Low
Latur,Kshewraj Vidyalaya Shyam nagar,642,RIRuO,NA,104,4,20,7,4,14,4,0,Low
Latur,Sidhheshwar Sahakari Bank Ganjgolai,643,RIRuO,NA,103,4,21,9,5,14,4,0,Low
Lote,MIDC Chalkewadi,489,RIRuO,NA,18,20,29,24,21,29,3,0,Null
Lote,"Pump House, CETP",490,RIRuO,NA,18,16,30,26,19,29,5,0,Null
Mumbai,"Bank of India, Kalbadevi Branch, Kalbadevi",169,RIRuO,NA,81,2,13,4,2,9,3,0,Low
Mumbai,"Parel TT, Ambedkar Road",170,RIRuO,NA,76,2,55,6,2,10,7,0,Low
Mumbai,Worli,349,RIRuO,NA,75,2,20,4,2,6,3,0,Low
Nagpur,Institution of Engineers,287,RIRuO,NA,103,8,25,12,9,14,3,0,Low
Nagpur,"Govt. Polytechnic College, Sadar",314,RIRuO,NA,103,7,21,12,9,15,3,0,Low
Nagpur,MIDC Office Hingana Road,288,RIRuO,NA,101,8,20,12,9,15,2,0,Low
Nagpur,"MIDC Industrial Area, MIDC Office, Hingna",165,RIRuO,NA,97,2,597,11,2,10,60,1,Low
Nagpur,"Nagpur Coop Building, Maskasath, Itwari",166,RIRuO,NA,91,2,91,5,2,8,10,1,Low
Nagpur,"NEERI Lab, Nehru Marg, Highway No. 7",167,RIRuO,NA,101,2,101,5,2,8,11,1,Low
Nagpur,"MPCB Office Premises, Civil Lines",711,RIRuO,NA,194,7,22,11,9,12,2,0,Low
Nashik,R.T.O. Colony Tank,259,RIRuO,NA,104,19,31,24,21,27,3,0,Low
Nashik,"VIP Industrial Area, MIDC Satpura",269,RIRuO,NA,103,17,31,24,21,28,3,0,Low
Nashik,Nashik Municipal Council Building,280,RIRuO,NA,104,18,32,24,21,28,3,0,Low
Nashik,"MPCB Sub R.O. Udyog Bhawan, Nashik",710,RIRuO,NA,311,17,37,24,21,27,3,0,Low
Navi Mumbai,"T.B.I.A, Rabale Airoli, TTC",491,RIRuO,NA,103,7,43,18,11,25,6,0,Low
Navi Mumbai,"Dr. D.Y. Patil College, Nerul, TTC",492,RIRuO,NA,105,6,37,15,10,21,4,0,Low
Navi Mumbai,"MPCB Lab, Mhape, TTC",493,RIRuO,NA,105,9,34,17,12,22,4,0,Low
Navi Mumbai,CIDCO Nodal Office Kharghar,494,RIRuO,NA,103,8,40,16,10,21,5,0,Low
Navi Mumbai,"Water Pump House, Panvel, Taloja",495,RIRuO,NA,107,4,42,16,10,22,6,0,Low
Navi Mumbai,"MIDC Collom Facility Building, Taloja",496,RIRuO,NA,99,6,29,17,12,23,5,0,Low
Pune,"Maratha Chamber of commerce, Bhosari",312,RIRuO,NA,101,12,66,27,15,47,12,0,Moderate
Pune,State Electricity Board BLDG Nalstop,379,RIRuO,NA,101,11,54,21,14,30,8,0,Low
Pune,Swargate Police Chawki,381,RIRuO,NA,103,11,45,19,12,28,7,0,Low
Pune,"Bank of Baroda Builing, Near Pimpri-Chinchwad M.C Builiding",708,RIRuO,NA,308,11,68,22,14,33,9,0,Low
Sangli,"Udyog bhavan / SRO, MPCB Sangli",574,RIRuO,NA,105,6,24,10,7,14,3,0,Low
Sangli,Sangli- Miraj Primary school Building,575,RIRuO,NA,105,5,24,11,8,15,3,0,Low
Sangli,Krishna Valley School,576,RIRuO,NA,104,7,27,12,9,17,3,0,Low
Solapur,WIT Campus,299,RIRuO,NA,105,15,20,17,16,18,1,0,Low
