State ,City,Location,Type,Category of ES,No. of mon. days (n),Min,Max,SO2 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Chitoor,GNC Toll Gate Tirumala,582,RIRuO,NA,103,3,5,4,4,4,0,0,Low
Guntur,"Near Hindu College, Market Road",583,RIRuO,NA,105,4,6,5,1,4,6,0,Low
Hydrabad,"Tarnaka, NEERI Lab. IICT Campus",150,RIRuO,NA,88,2,15,4,3,5,2,0,Low
Hydrabad,"Nacharam, Industrial Estate",151,RIRuO,NA,87,2,19,4,3,5,2,0,Low
Hydrabad,ABIDS Circle General Post Office,152,RIRuO,NA,88,2,17,4,3,4,2,0,Low
Hydrabad,Balanagar,95,RIRuO,NA,108,4,7,5,5,5,0,0,Low
Hydrabad,"Uppal, Modern Foods & Industries IDA",203,RIRuO,NA,108,4,5,5,5,5,0,0,Low
Hydrabad,Jublee Hills,365,RIRuO,NA,109,4,6,4,4,4,0,0,Low
Hydrabad,Paradise,393,RIRuO,NA,107,4,6,5,4,5,0,0,Low
Hydrabad,Charminar,394,RIRuO,NA,106,4,5,5,5,5,0,0,Low
Hydrabad,Zoo Park,470,RIRuO,NA,108,4,5,4,4,4,0,0,Low
Hydrabad,"Jeedimetla Industrial Estate, Rangareddy Distt.",745,RIRuO,NA,95,4,7,5,5,5,0,0,Low
Kakinada,Office Building Ramanayyapeta,578,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Kothagudem,"CER Club, Khamam",581,RIRuO,NA,90,4,6,5,5,6,0,0,Low
Kurnool,Mourya Inn,466,RIRuO,NA,102,4,4,4,4,4,0,0,Low
Nalgonda,AP PCB Nalgonda,577,RIRuO,NA,108,2,5,4,4,4,0,0,Low
Nellore,"Venkatareddy nagar, Vedayapalem",580,RIRuO,NA,102,4,6,5,5,6,1,0,Low
Patencheru,"Police Station, Medak, Ramachadrapuram",468,RIRuO,NA,108,5,8,6,6,7,1,0,Low
Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",465,RIRuO,NA,81,2,24,6,2,18,6,0,Low
Tirupati,"Regional Science Centre, Chittoor Bypass",389,RIRuO,NA,103,3,4,4,4,4,0,0,Low
Vijaywada,Benz Circle,462,RIRuO,NA,115,4,7,6,4,7,1,0,Low
Vijaywada,Autonagar,469,RIRuO,NA,106,4,7,6,5,7,1,0,Low
Warangal,"KUDA Office, Hanumakonda",579,RIRuO,NA,101,2,25,3,2,5,3,0,Low
Vishakhapatnam,"Panchayat Raj office, Mindi",234,RIRuO,NA,107,4,56,8,4,15,7,0,Low
Vishakhapatnam,"Industrial Estate, Marripalem",233,RIRuO,NA,107,4,121,12,4,22,15,1,Low
Vishakhapatnam,Police Barracks,371,RIRuO,NA,108,4,137,23,5,52,24,5,Low
Vishakhapatnam,"INS-Virabahu, Naval Area",387,RIRuO,NA,108,4,47,8,4,16,6,0,Low
