State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Nitrogen Dioxide(NO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Assam,Silchar,"Office Building of RLO, Ithkola Market",567,RIRuO,92,11,22,17,15,17,20,2,0,Low
Assam,Tezpur,Tezpur Office Building,536,RIRuO,104,8,18,13,11,13,15,2,0,Low
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",594,RIRuO,99,9,20,13,12,13,16,2,0,Low
Assam,Tinsukia,"Coal India Office Complex, Margherita",586,RIRuO,97,15,44,23,18,22,26,4,0,Moderate
Assam,Tinsukia,"Shreepuria, Borguri",605,RIRuO,43,7,19,13,12,13,15,2,0,Null
Bihar,Patna,"Beltron Bhawan, Shastri Nagar",210,RIRuO,87,11,57,26,15,24,38,9,0,Moderate
Bihar,Patna,Gandhi Maidan Test Centre,284,RIRuO,51,25,82,55,36,57,71,14,4,High
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",106,RIRuO,149,5,45,19,10,17,31,9,0,Low
Chandigarh,Chandigarh,Sector-17 C,263,RIRuO,150,5,40,19,10,17,31,8,0,Low
Chandigarh,Chandigarh,"Punjab Engineering College, Sector 12",264,RIRuO,153,5,43,14,5,13,23,7,0,Low
Chandigarh,Chandigarh,"Sector-39, IMTECH",463,RIRuO,150,5,38,15,5,14,25,7,0,Low
Chandigarh,Chandigarh,Kaimbwala Village,464,RIRuO,146,5,39,12,5,11,18,6,0,Low
Chattisgarh,Bhillai,"Visak Hostel, Sector-4",65,RIRuO,91,16,26,22,19,22,25,2,0,Moderate
Chattisgarh,Bhillai,"R.O., 5/32 Banglow Office Building",67,RIRuO,90,11,18,15,13,15,17,2,0,Low
Chattisgarh,Bhillai,M.P. Laghu Udyog Nigam,245,RIRuO,87,19,33,30,29,31,32,3,0,Moderate
Chattisgarh,Bilaspur,"RO, CECB Vyapar Vihar",NA,RIRuO,35,12,35,19,13,20,24,5,0,Null
Chattisgarh,Korba,"HIG 21,22.Near Ghantaghar,",364,RIRuO,92,19,22,21,20,21,22,1,0,Moderate
Chattisgarh,Korba,Pragati Nagar NTPC Colony,249,RIRuO,97,16,21,20,19,20,21,1,0,Low
Chattisgarh,Korba,"I.T.I., Rampur",407,RIRuO,95,20,23,21,20,21,22,1,0,Moderate
Chattisgarh,Raipur,"New HIG-9, Hirapur",368,RIRuO,42,31,47,42,39,43,45,3,0,Null
Chattisgarh,Raipur,"M/S Wool Worth India, Sarora Raipur",223,RIRuO,45,40,52,46,42,46,49,3,0,Null
Chattisgarh,Raipur,"Yatayat Thana, Jai Stambh Chowk",447,RIRuO,44,17,47,41,39,41,44,4,0,Null
Dadra & Nagar Haveli,Silvassa,"Khadoli Industrial Area, Village- Khadoli",558,RIRuO,94,17,20,18,17,17,19,1,0,Low
Daman & Diu,Daman,"Kadaiya Industrial Area, Village- Kadaiya",560,RIRuO,96,16,20,18,17,17,19,1,0,Low
Delhi,Delhi,"N.Y. School, Sarojini Nagar",144,RIRuO,96,24,124,68,41,65,106,23,26,Critical
Delhi,Delhi,"Town Hall, Chandni Chowk",146,RIRuO,96,38,125,76,53,76,102,19,40,Critical
Delhi,Delhi,Mayapuri Industrial Area,345,RIRuO,96,21,129,72,42,70,108,25,31,Critical
Delhi,Delhi,Pritampura,531,RIRuO,81,23,65,38,30,37,49,8,0,Moderate
Delhi,Delhi,Shahadra,58,RIRuO,80,29,58,45,33,46,55,8,0,High
Delhi,Delhi,Shahzada Bagh,57,RIRuO,79,20,71,48,33,47,64,12,0,High
Delhi,Delhi,Nizamuddin,55,RIRuO,80,27,60,48,41,49,53,6,0,High
Delhi,Delhi,Janakpuri,59,RIRuO,76,24,59,51,44,53,57,6,0,High
Delhi,Delhi,Siri Fort,60,RIRuO,80,26,59,46,34,49,54,8,0,High
Goa,Panaji,"Old GSPCB premises, Patto",327,RIRuO,105,5,42,17,5,16,30,8,0,Low
Goa,Marmagao,"Fire Brigade Station, Port Trust",435,RIRuO,118,5,55,18,7,17,31,10,0,Low
Goa,Vasco,"Fuse Call Office of Elec. Dept., Mormu- gao taluka",37,RIRuO,103,5,55,19,6,18,31,10,0,Low
Goa,Curchorem,"Curchorem, Sanvordem, Quepem",628,RIRuO,19,8,32,17,9,16,25,6,0,Null
Goa,Codli,"Codli Tisk, Ponda",630,RIRuO,6,23,32,27,24,26,31,3,0,Null
Goa,Honda,"Honda Junction, Sattari",631,ES (Sahyadri),8,16,33,25,19,25,31,6,0,Null
Goa,Bicholim,Bicholim,632,RIRuO,11,15,293,50,16,29,31,81,9,Null
Goa,Amona,"Amona, Bicholim",633,RIRuO,16,12,28,18,13,16,28,6,0,Null
Goa,Assanora,"Assanora Junction, Bardez",634,RIRuO,8,13,21,16,13,14,20,3,0,Null
Goa,Usgao,"Usgao Plae, Junction, Ponda",629,RIRuO,10,5,26,10,6,9,13,6,0,Null
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",101,RIRuO,104,17,35,27,24,26,29,3,0,Moderate
Gujarat,Ahmedabad,Cadilla Bridge Narol,102,RIRuO,103,17,26,21,18,22,24,2,0,Moderate
Gujarat,Ahmedabad,L.D. Engg. College,103,RIRuO,104,13,22,17,15,17,19,2,0,Low
Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",154,RIRuO,103,15,22,19,17,19,21,2,0,Low
Gujarat,Ahmedabad,"R.C. High School, Mirzapur",155,RIRuO,104,16,25,20,17,20,23,2,0,Low
Gujarat,Ahmedabad,"Naroda, G.I.D.C.,",347,RIRuO,104,16,24,20,18,20,22,2,0,Low
Gujarat,Anklesvar,Rallis India Ltd.,252,RIRuO,104,17,37,25,20,25,30,4,0,Moderate
Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",253,RIRuO,104,16,29,22,19,22,27,3,0,Moderate
Gujarat,Jamnagar,Fisheries Office,319,RIRuO,104,15,37,27,22,27,32,4,0,Moderate
Gujarat,Rajkot,Sardhara Industrial Corporation,257,RIRuO,104,10,22,18,16,19,20,2,0,Low
Gujarat,Rajkot,Regional Offce,374,RIRuO,104,12,20,16,14,16,18,1,0,Low
Gujarat,Surat,S.V.R. Engg. College,21,RIRuO,104,13,27,22,18,22,25,3,0,Moderate
Gujarat,Surat,"B.R.C. High School, Udhna",22,RIRuO,114,19,34,26,22,26,30,3,0,Moderate
Gujarat,Surat,Air India Office,23,RIRuO,104,16,29,24,21,25,28,3,0,Moderate
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",50,RIRuO,96,10,31,15,11,14,18,3,0,Low
Gujarat,Vadodara,Dandia Bazaar,333,RIRuO,96,17,54,29,23,26,37,6,0,Moderate
Gujarat,Vadodara,CETP Nandesari,334,RIRuO,96,36,101,43,40,42,49,7,0,High
Gujarat,Vapi,"GEB, IIIrd Phase, GIDC, Vapi",367,RIRuO,104,17,68,24,19,24,27,6,0,Moderate
Gujarat,Vapi,"Vapi Nagar Palika, Vapi",221,RIRuO,104,15,65,23,19,23,26,6,0,Moderate
Haryana,Faridabad,Escorts Research Centre Mathura Road,331,RIRuO,145,18,51,26,20,23,37,8,0,Moderate
Haryana,Faridabad,RO Haryana SPCB,330,RIRuO,96,20,71,31,22,24,50,14,0,Moderate
Haryana,Hissar,Urban Estate - II,390,RIRuO,27,5,10,8,5,8,10,2,0,Null
Haryana,Hissar,Guru Jambehswar University,414,RIRuO,52,5,10,8,5,8,10,2,0,Low
Haryana,Yamunanagar,Ballarpur Industries,196,RIRuO,52,21,31,26,22,27,29,2,0,Moderate
Himachal Pradesh,Baddi,Industry Department Office Building,449,RIRuO,93,7,56,18,11,16,26,8,0,Low
Himachal Pradesh,Baddi,AHC barotiwala,564,RIRuO,83,9,48,19,11,16,32,9,0,Low
Himachal Pradesh,Baddi,Housing Board,563,RIRuO,11,5,19,12,7,12,18,4,0,Null
Himachal Pradesh,Damtal,Regional Office,268,RIRuO,148,5,40,10,6,9,13,4,0,Low
Himachal Pradesh,Damtal,Old Road,271,RIRuO,112,5,18,11,8,12,15,3,0,Low
Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,461,RIRuO,156,14,65,22,16,19,23,10,0,Moderate
Himachal Pradesh,Kala Amb,Trilokpur,530,RIRuO,155,11,19,15,13,15,17,1,0,Low
Himachal Pradesh,Nalagarh,Municipal Council,565,RIRuO,66,7,53,18,10,16,28,Null,0,Low
Himachal Pradesh,Parwanoo,"Regional Office, Sector- 4",132,RIRuO,149,4,20,11,6,11,15,3,0,Low
Himachal Pradesh,Parwanoo,"Asst. Commissioner Building, Sector I",339,RIRuO,134,5,21,13,8,13,17,4,0,Low
Himachal Pradesh,Paonta Sahib,Paonta Sahib,117,RIRuO,136,12,21,16,13,16,19,2,0,Low
Himachal Pradesh,Paonta Sahib,Gondhpur Industrial Area,118,RIRuO,107,13,23,17,14,17,21,2,0,Low
Himachal Pradesh,Shimla,Tekka Bench Ridge,34,ES (Hill station),140,4,17,9,4,9,13,3,0,Low
Himachal Pradesh,Shimla,"Bus Stand, Winterfield",35,ES (Hill station),114,6,30,17,12,17,21,4,0,Moderate
Jammu & Kashmir,Jammu,"Regional Office, Jammu",184,RIRuO,88,6,21,12,8,12,16,3,0,Low
Jammu & Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",482,RIRuO,89,5,27,15,10,14,21,4,0,Low
Jammu & Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",507,RIRuO,49,9,30,18,14,18,23,4,0,Null
Jharkhand,Dhanbad,"EMTI, Bastacola",612,RIRuO,67,26,47,36,31,36,40,4,0,Moderate
Jharkhand,Dhanbad,"CGM Office, Kusunda",611,RIRuO,77,16,45,35,31,35,43,5,0,Moderate
Jharkhand,Dhanbad,R.O. Dhanbad,44,RIRuO,75,28,61,38,32,37,44,6,0,Moderate
Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,351,RIRuO,89,38,55,48,44,48,51,3,0,High
Jharkhand,Jamshedpur,Golmuri Vehicle Testing Centre,382,RIRuO,91,30,55,47,44,48,51,3,0,High
Jharkhand,Jharia,M.A.D.A.,332,RIRuO,68,30,53,38,34,38,43,4,0,Moderate
Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",402,RIRuO,111,30,45,35,32,34,38,2,0,Moderate
Jharkhand,Saraikela Khar-sawan,"RO Building, Adityapur",614,RIRuO,86,33,53,45,41,46,51,4,0,High
Jharkhand,Sindri,BIT / PDIL,46,RIRuO,33,27,56,37,31,36,44,6,0,Null
Jharkhand,West Singhbhum,Barajamda U.M. Office,615,RIRuO,84,24,51,32,27,31,36,5,0,Moderate
Karnataka,Bangalore,Graphite India,77,RIRuO,59,19,42,31,25,31,41,5,0,Moderate
Karnataka,Bangalore,Yeshwanthpura police station,457,RIRuO,100,18,41,31,26,31,34,4,0,Moderate
Karnataka,Bangalore,Peenya Industrial Area,405,RIRuO,99,20,77,32,25,31,38,8,0,Moderate
Karnataka,Bangalore,"KHB Industrial Area, Yelahanka",404,RIRuO,107,18,75,30,24,30,33,6,0,Moderate
Karnataka,Bangalore,"AMCO Batteries, Mysore Road",78,RIRuO,100,16,41,29,25,30,32,4,0,Moderate
Karnataka,Bangalore,"Jnanabharathi , Bangalore University",598,RIRuO,104,1,29,14,8,17,18,5,0,Low
Karnataka,Bangalore,R V College of Engineering,589,RIRuO,22,11,25,19,13,18,23,4,0,Null
