CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1975-12-31,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1976-12-31,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1977-12-31,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1978-12-31,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1979-12-31,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1980-12-31,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1981-12-31,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1982-12-31,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1983-12-31,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1984-12-31,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1985-12-31,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1986-12-31,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1987-12-31,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1988-12-31,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1989-12-31,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1990-12-31,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1991-12-31,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1992-12-31,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1993-12-31,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1994-12-31,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1995-12-31,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1996-12-31,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1997-12-31,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
