State,City,Station,Type,Numbers of  monitoring days (n),Sulfur Dioxide(SO2)-  Annual average (µg/m3),Percentage- exceedence(24 hourly),Air Quality
Gujarat,Anklesvar,Rallies India Ltd,Industrial,104,22,0,Low
Gujarat,Anklesvar,Durga Traders,Residential and other,105,16,0,Low
Gujarat,Jamnagar,Fisheries Office,Residential and other,104,10,0,Low
Gujarat,Rajkot,Sardhara Indl.Corp.,Industrial,104,11,0,Low
Gujarat,Rajkot,Regional Office,Residential and other,102,10,0,Low
Gujarat,Surat,Udhna,Industrial,103,21,0,Low
Gujarat,Surat,Near A.I. Office,Residential and other,104,18,0,Low
Gujarat,Surat,S.V.R. Eng. College,Residential and other,103,14,0,Low
Gujarat,Vadodara,CETP,Industrial,104,19,0,Low
Gujarat,Vadodara,Dandia Bazar,Residential and other,105,13,0,Low
Gujarat,Vadodara,GPCB Office,Residential and other,104,9,0,Low
Gujarat,Vapi,GEB,Industrial,105,19,0,Low
Gujarat,Vapi,Vapi Nagar Palika,Residential and other,106,14,0,Low
Haryana,Hisar,Guru Jambeshwar Uni,Residential and other,44,7,0,Low
Haryana,Hisar,Urban Estate-II,Residential and other,43,8,0,Low
Haryana,Yamunanagar,Ballarpur Industries,Industrial,18,17,0,NA
Haryana,Faridabad,Regional Office,Residential and other,90,13,0,Low
Haryana,Faridabad,M/s Shivalik Global Ltd,Industrial,64,13,0,Low
Himachal Pradesh,Baddi,AHC,Industrial,11,BDL,0,NA
Himachal Pradesh,Baddi,Industry Department,Industrial,143,BDL,0,Low
Himachal Pradesh,Baddi,Housing Board,Residential and other,13,BDL,0,NA
Himachal Pradesh,Damtal,Old Road,Residential and other,66,BDL,0,Low
Himachal Pradesh,Damtal,Regional Office,Residential and other,80,BDL,0,Low
Himachal Pradesh,Kala- Amb, Industrial Area,Industrial,146,BDL,0,Low
Himachal Pradesh,Kala- Amb,Trilok Pur,Residential and other,155,BDL,0,Low
Himachal Pradesh,Nalagarh,M.C.,Residential and other,11,BDL,0,NA
Himachal Pradesh,Paonta Sahib,Gondpur Indl. Area,Industrial,120,BDL,0,Low
Himachal Pradesh,Paonta Sahib,Paonta Sahib,Residential and other,145,BDL,0,Low
Himachal Pradesh,Parwanoo,AC Office Bldg.,Industrial,105,BDL,0,Low
Himachal Pradesh,Parwanoo,Central Laboratory,Residential and other,112,BDL,0,Low
Himachal Pradesh,Shimla,Bus Stand,Residential and other,114,BDL,0,Low
Himachal Pradesh,Shimla,Tekka Bench Ridge,Sensitive,130,BDL,0,Low
Jharkhand,Dhanbad,Regional Office,Residential and other,91,19,0,Low
Jharkhand,Jamshedpur,Bistupur Vehicle  TC,Industrial,92,38,0,Low
Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial,93,36,0,Low
Jharkhand,Jharia,M.A.D.A.,Industrial,43,19,0,NA
Jharkhand,Ranchi,Albert Ekka Chowk,Residential and other,90,18,0,Low
Jharkhand,Sindri,PDIL,Industrial,82,18,0,Low
Karnataka,Bangalore,Graphite India,Industrial,78,16,0,Low
Karnataka,Bangalore,KHB Indl Area,Industrial,120,15,0,Low
Karnataka,Bangalore,Peenya Indl. Area,Industrial,92,15,0,Low
Karnataka,Bangalore,AMCO Batteries,Residential and other,102,15,0,Low
Karnataka,Bangalore,Yeshwanthpura,Residential and other,105,15,0,Low
Karnataka,Bangalore,Victoria Hospital,Sensitive,104,15,0,Moderate
Karnataka,Belgaum,Karnataka SPCB,Industrial,100,BDL,0,Low
Karnataka,Gulbarga,Govt. Hospital,Sensitive,94,BDL,0,Low
Karnataka,Hassan,KSRTC Bus Stand ,Residential and other,107,4,0,Low
Karnataka,Hubli-Dharwad,L. Industrial Area,Industrial,80,BDL,0,Low
Karnataka,Hubli-Dharwad,Rani C. Circle,Residential and other,95,BDL,0,Low
Karnataka,Mangalore,Baikampady Indl. Area,Industrial,105,7,0,Low
Karnataka,Mysore,K.R. Circle,Residential and other,103,16,0,Low
Karnataka,Mysore,Hebbal Industrial Area,Industrial,95,15,0,Low
Kerala,Kochi,Eloor,Industrial,91,4,0,Low
Kerala,Kochi,Kalamassery,Industrial,84,BDL,0,Low
Kerala,Kochi,Irumpanam,Industrial,107,4,0,Low
Kerala,Kochi,Eloor II,Industrial,94,4,0,Low
Kerala,Kochi,Ernakulum South,Residential and other,108,4,0,Low
Kerala,Kochi,"FCI, OEN C. O. Bldg",Residential and other,62,5,0,Low
Kerala,Kochi,M.G. Road,Residential and other,101,5,0,Low
Kerala,Kottayam,Vadavathoor,Industrial,96,6,0,Low
Kerala,Kottayam,Kottayam,Residential and other,97,6,0,Low
Kerala,Kozhikode,Nallalam,Industrial,108,BDL,0,Low
Kerala,Kozhikode,Kozhikode City,Residential and other,107,BDL,0,Low
Kerala,Palakkad,SEPR Refractories India Ltd. Kanjikode,Industrial,102,3,0,Low
Kerala,Trivandrum,Hi Tech Chackai,Industrial,100,18,0,Low
Kerala,Trivandrum,PRS Hospital,Sensitive,101,7,0,Low
Kerala,Trivandrum,Sasthamangalam,Residential and other,96,6,0,Low
Kerala,Trivandrum,SMV School,Residential and other,101,7,0,Low
Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and other,95,9,0,Low
Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and other,94,9,0,Low
Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive,90,7,0,Low
Maharashtra,Amravati, Apurva Oil and Ind.,Industrial,94,10,0,Low
Maharashtra,Amravati, Govt. Coll. of Engg.,Residential and other,99,7,0,Low
Maharashtra,Amravati, Rajkamal Square,Residential and other,95,12,0,Low
Maharashtra,Chandrapur,M.I.D.C.,Industrial,83,37,0,Low
Maharashtra,Chandrapur,Nagar Parishad,Residential and other,87,27,0,Low
Maharashtra,Chandrapur,"SRO, Bapat Nagar",Residential and other,86,38,0,Moderate
Maharashtra,Greater Mumbai,Dombivalli MIDC,Industrial,50,41,0,Moderate
Maharashtra,Greater Mumbai,Municipal Council,Industrial,51,35,0,Low
Maharashtra,Kolhapur,Mahadwar Road,Residential and other,103,11,0,Low
Maharashtra,Kolhapur,Ruikar Trust Dabhlkar Corner,Residential and other,101,16,0,Low
Maharashtra,Kolhapur,Shivaji University,Residential and other,66,8,0,Low
Maharashtra,Lote,MIDC WTP,Industrial,52,25,0,Low
Maharashtra,Lote,Chalke Wadi,Residential and other,52,25,0,Low
Maharashtra,Mumbai,Parel,Industrial,98,7,0,Low
Maharashtra,Mumbai,Kalbadevi,Residential and other,93,11,0,Low
Maharashtra,Mumbai,Worli,Residential and other,99,8,0,Low
Maharashtra,Nagpur,Hingna Road,Industrial,96,9,0,Low
Maharashtra,Nagpur,MIDC Office,Industrial,89,10,0,Low
Maharashtra,Nagpur,Govt. Poly. College,Residential and other,79,9,0,Low
Maharashtra,Nagpur,Institution of Eng.,Residential and other,93,9,0,Low
Maharashtra,Nagpur,Maskasath,Residential and other,89,7,0,Low
Maharashtra,Nagpur,NEERI Lab,Residential and other,94,6,0,Low
Maharashtra,Nashik,VIP Industrial Area,Industrial,100,30,0,Low
Maharashtra,Nashik,NMC Building,Residential and other,105,33,0,Moderate
Maharashtra,Nashik,RTO Colony Tank,Residential and other,96,26,0,Low
Maharashtra,Navi Mumbai,MIDC Taloja,Industrial,96,25,0,Low
Maharashtra,Navi Mumbai,MPCB Central Lab,Industrial,84,22,0,Low
Maharashtra,Navi Mumbai,Airoli,Residential and other,104,15,0,Low
Maharashtra,Navi Mumbai,MESB Power Station,Residential and other,101,12,0,Low
Maharashtra,Navi Mumbai,Nerul,Residential and other,112,19,1,Low
Maharashtra,Navi Mumbai,Panvel Water Works,Residential and other,100,15,1,Low
Maharashtra,Pune,Bhosari,Industrial,99,23,0,Low
Maharashtra,Pune,Nalstop,Residential and other,103,21,0,Low
Maharashtra,Pune,Swargate,Residential and other,100,22,0,Low
Maharashtra,Solapur,WIT Campus,Industrial,105,17,0,Low
Maharashtra,Solapur,Voronoko Primary School,Residential and other,104,18,0,Low
Maharashtra,Tarapur,MIDC Office Compound,Industrial,34,29,0,NA
Maharashtra,Tarapur,Police Chowki,Industrial,35,31,0,NA
Maharashtra,Tarapur,Sports Stadium,Industrial,36,31,0,NA
Maharashtra,Thane,Balkum/Kolshet,Industrial,94,14,0,Low
Maharashtra,Thane,Kopri,Residential and other,101,11,0,Low
Maharashtra,Thane,Naupada,Residential and other,99,11,0,Low
Maharashtra,Amravati,Govt. college,Residential and other,99,7,0,Low
Maharashtra,Amravati,Apurva oil & industries,Industrial,94,10,0,NA
Maharashtra,Amravati,Rajkamal,Residential and other,95,12,0,Low
Manipur, Imphal,Secretariat Building,Residential and other,20,BDL,0,NA
Meghalaya,Shillong,Boards Office,Residential and other,87,BDL,0,Low
Meghalaya,Shillong,"MUDA Complex , Police Bazar",Residential and other,36,BDL,0,NA
Mizoram,Aizawl,Bawngkawn,Residential and other,102,BDL,0,Low
Mizoram,Aizawl,Khatla,Residential and other,104,BDL,0,Low
Mizoram,Aizawl,Laipuitlang,Residential and other,103,BDL,0,Low
Madhya Pradesh,Bhopal,Govindpura,Industrial,42,7,0,NA
Madhya Pradesh,Bhopal,Arera Colony,Residential and other,54,BDL,0,Low
Madhya Pradesh,Bhopal,Hamidia Road,Residential and other,46,9,0,Low
Madhya Pradesh,Bhopal,T.T.Nagar,Residential and other,50,5,0,Low
Madhya Pradesh,Dewas,EID Perry (I) Ltd.,Industrial,94,20,0,Low
Madhya Pradesh,Dewas,Vikas Nagar,Residential and other,87,15,0,Low
Madhya Pradesh,Gwalior,Dindayal Nagar,Residential and other,81,8,0,Low
Madhya Pradesh,Gwalior,Maharaj Bada,Residential and other,24,9,0,NA
Madhya Pradesh,Indore,Polo Ground,Industrial,87,12,0,Low
Madhya Pradesh,Indore,Kothari Market,Residential and other,85,12,0,Low
Madhya Pradesh,Indore,Scheme No. 78,Residential and other,93,6,0,Low
Madhya Pradesh,Jabalpur,Vijay Nagar,Residential and other,91,BDL,0,Low
Madhya Pradesh,Nagda,Chem. D. Labour Club,Industrial,72,30,0,Low
Madhya Pradesh,Nagda,Grasim Guest House No.2,Residential and other,86,18,0,Low
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,Residential and other,83,22,0,Low
Madhya Pradesh,Sagar,Pt. Deendayal Nagar,Residential and other,98,3,0,Low
Madhya Pradesh,Satna,Sub-Divisional Off.,Industrial,70,4,0,Low
Madhya Pradesh,Satna,Regional Office,Residential and other,68,BDL,0,Low
Madhya Pradesh,Ujjain, District Office,Industrial,97,15,0,Low
Madhya Pradesh,Ujjain,Regional Office,Residential and other,81,7,0,Low
Madhya Pradesh,Ujjain,Mahakal Temple,Sensitive,74,12,0,Moderate
Nagaland,Dimapur,Bank Colony,Residential and other,99,BDL,0,Low
Nagaland,Dimapur,Dhobinala,Residential and other,99,BDL,0,Low
Orissa,Angul, Industrial Estate,Industrial,95,6,0,Low
Orissa,Angul,NALCO Township,Residential and other,58,8,0,Low
Orissa,Berhampur,Regional Office,Residential and other,104,BDL,0,Low
Orissa,Bhubaneshwar,OSPCB Bldg,Residential and other,108,BDL,0,Low
Orissa,Bhubaneshwar,Capital Police Stn.,Residential and other,101,BDL,0,Low
Orissa,Bhubaneshwar,IRC Village,Residential and other,101,BDL,0,Low
Orissa,Cuttack,Roof of Traffic Tower Cuttack,Residential and other,104,BDL,0,Low
Orissa,Cuttack,R.O. Cuttack,Residential and other,86,BDL,0,Low
Orissa,Rayagada,Jaykaypur,Industrial,103,BDL,0,Low
Orissa,Rayagada,Regional Office,Residential and other,107,BDL,0,Low
Orissa,Rourkela,IDL Police Out-post,Residential and other,105,6,0,Low
Orissa,Rourkela,Regional Office,Residential and other,104,5,0,Low
Orissa,Sambalpur,"PHD Ofice, Sambalpur",Residential and other,110,3,0,Low
Orissa,Talcher,Coal Field Area,Industrial,94,14,0,Low
Orissa,Talcher,T.T.P.S Colony,Industrial,96,10,0,Low
Punjab,Gobindgarh,Raj Steel,Industrial,132,11,0,Low
Punjab,Gobindgarh,Rolling Mills,Residential and other,131,11,0,Low
Punjab,Jalandhar,Focal Point,Industrial,70,14,0,Low
Punjab,Jalandhar,M/s Gee Kay International,Industrial,72,13,0,Low
Punjab,Jalandhar,MC Tube Well No.27,Residential and other,51,13,0,Low
Punjab,Jalandhar,Regional Office,Residential and other,78,10,0,Low
Punjab,Amritsar,Nagina Soap Factory,Industrial,79,15,0,Low
Punjab,Amritsar,A-1 Platters,Residential and other,57,15,0,Low
Punjab,Bathinda,Bathinda Milk Plant,Industrial,88,8,0,Low
Punjab,Dera Bassi,M/s Punjab Chemicals Ltd.,Industrial,131,8,0,Low
Punjab,Dera Bassi,Winsome Yarns Ltd,Industrial,129,8,0,Low
Punjab,Khanna,Markfed Vanaspati,Industrial,123,10,0,Low
Punjab,Khanna,A S School,Residential and other,127,9,0,Low
Punjab,Ludhiana,Milk Plant,Industrial,130,9,0,Low
Punjab,Ludhiana,Rita Sewing Machines,Industrial,119,11,0,Low
Punjab,Ludhiana,Vishwakarma Chowk,Residential and other,128,9,0,Low
Punjab,Ludhiana,PPCB Office Bldg.,Residential and other,112,10,0,Low
Punjab,Naya Nangal,NFL Guest House,Residential and other,108,8,0,Low
Punjab,Naya Nangal,Punjab Alkalies,Residential and other,114,8,0,Low
Pondicherry,Pondicherry,PIPDIC,Industrial,62,6,0,Low
Pondicherry,Pondicherry,Chamber of Commerce,Residential and other,84,3,0,Low
Pondicherry,Pondicherry,DSTC Office,Residential and other,68,5,0,Low
Rajasthan,Alwar,Vitage Distillers Ltd.,Industrial,98,8,0,Low
Rajasthan,Alwar,RIICO Pump House,Industrial,102,8,0,Low
Rajasthan,Alwar,Regional Office,Residential and other,103,8,0,Low
Rajasthan,Jaipur,MIA,Industrial,106,6,0,Low
Rajasthan,Jaipur,VKIA,Industrial,108,7,0,Low
Rajasthan,Jaipur,Ajmeri Gate,Residential and other,99,6,0,Low
Rajasthan,Jaipur,Chandpole,Residential and other,105,7,0,Low
Rajasthan,Jaipur,RSPCB Office,Residential and other,123,5,0,Low
Rajasthan,Jaipur,Vidyadhar Nagar,Residential and other,108,6,0,Low
Rajasthan,Jodhpur,Basni Indl. Area,Industrial,91,7,0,Low
Rajasthan,Jodhpur,"DIC Office, Industrial Estate",Industrial,104,7,0,Low
Rajasthan,Jodhpur,M M Police Thane,Residential and other,99,6,0,Low
Rajasthan,Jodhpur,Sojati Gate,Residential and other,97,7,0,Low
Rajasthan,Jodhpur,Housing Board,Residential and other,103,5,0,Low
Rajasthan,Jodhpur,Shastri Nagar,Residential and other,90,7,0,Low
Rajasthan,Kota,Regional Office,Industrial,105,10,0,Low
Rajasthan,Kota,Municipal C. Bldg,Residential and other,104,9,0,Low
Rajasthan,Kota,KVK Bhorkhara,Residential and other,101,8,0,Low
Rajasthan,Udaipur,"Regional Office, MIA",Industrial,103,8,0,Low
Rajasthan,Udaipur,Ambamata,Residential and other,104,6,0,Low
Rajasthan,Udaipur,Town Hall,Residential and other,105,6,0,Low
Tamil Nadu,Chennai,Manali,Industrial,91,14,0,Low
Tamil Nadu,Chennai,Kathivakkam,Industrial,90,13,0,Low
Tamil Nadu,Chennai,M C Thiruvottiyur,Industrial,71,5,0,Low
Tamil Nadu,Chennai,Thiruvottiyur,Industrial,113,13,0,Low
Tamil Nadu,Chennai,Madras Med. College,Residential and other,80,6,0,Low
Tamil Nadu,Chennai,NEERI CSIR Campus,Residential and other,93,6,0,Low
Tamil Nadu,Coimbatore,SIDCO Office,Industrial,91,7,0,Low
Tamil Nadu,Coimbatore,Dist. Coll. Office,Residential and other,92,6,0,Low
Tamil Nadu,Coimbatore,Ponniyarajapuram,Residential and other,89,5,0,Low
Tamil Nadu,Madurai,Fenners (I) Ltd.,Industrial,92,11,0,Low
Tamil Nadu,Madurai,Highway Bldg.,Residential and other,87,9,0,Low
Tamil Nadu,Madurai,Kunnathur Chatram,Residential and other,96,10,0,Low
Tamil Nadu,Salem,Sowdeswari College,Residential and other,128,8,0,Low
Tamil Nadu,Thoothukudi,Raja Agencies,Industrial,89,28,0,Low
Tamil Nadu,Thoothukudi,AVM Jewellery Bldg.,Residential and other,95,29,0,Low
Tamil Nadu,Thoothukudi,Fisheries College,Residential and other,93,32,1,Moderate
Uttar Pradesh,Agra,Nunhai,Industrial,69,10,0,Low
Uttar Pradesh,Agra,Regional Office,Residential and other,106,9,0,Low
Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive,97,4,0,Low
Uttar Pradesh,Agra,Itmad-ud-daulah,Sensitive,108,5,1,Low
Uttar Pradesh,Agra,Rambagh,Sensitive,105,4,0,Low
Uttar Pradesh,Agra,Taj Mahal,Sensitive,230,5,3,Low
Uttar Pradesh,Anpara, Anpara Colony,Industrial,97,18,0,Low
Uttar Pradesh,Anpara,Renusagar Colony,Industrial,100,19,0,Low
Uttar Pradesh,Allahabad,Bharat Yantra Nigam,Residential and other,99,6,0,Low
Uttar Pradesh,Allahabad,Square Crossing,Residential and other,101,10,0,Low
Uttar Pradesh,Firozabad,CDGI,Industrial,95,25,0,Low
Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and other,88,22,0,Low
Uttar Pradesh,Firozabad,Tilak Nagar,Residential and other,93,20,0,Low
Uttar Pradesh,Ghaziabad,Atlas Cycles Ltd,Industrial,68,22,0,Low
Uttar Pradesh,Ghaziabad,Bulandshahar R.I.A.,Industrial,55,19,0,Low
Uttar Pradesh,Jhansi,Jail Chauraha,Residential and other,103,9,0,Low
Uttar Pradesh,Jhansi,Veeranga Nagar,Residential and other,100,8,0,Low
Uttar Pradesh,Kanpur,Fazal Ganj,Industrial,80,7,0,Low
Uttar Pradesh,Kanpur,Jajmau,Industrial,94,7,0,Low
Uttar Pradesh,Kanpur,Sharda nagar,Residential and other,80,7,0,Low
Uttar Pradesh,Kanpur,Deputy Ka Parao,Residential and other,94,7,0,Low
Uttar Pradesh,Kanpur, Kidwai nagar,Residential and other,90,7,0,Low
Uttar Pradesh,Khurja,CGCRI,Industrial,57,42,0,Moderate
Uttar Pradesh,Khurja,Ahirpara,Residential and other,55,37,0,Moderate
Uttar Pradesh,Lucknow,Talkatora,Industrial,96,9,0,Low
Uttar Pradesh,Lucknow, Aminabad,Residential and other,92,8,0,Low
Uttar Pradesh,Lucknow,Aliganj,Residential and other,94,8,0,Low
Uttar Pradesh,Lucknow,Kapoor Hotel,Residential and other,100,8,0,Low
Uttar Pradesh,Lucknow,Mahanagar,Residential and other,87,8,0,Low
Uttar Pradesh,Meerut,Begum Bridge,Residential and other,56,11,0,Low
Uttar Pradesh,Meerut,Thana Railway Road,Residential and other,66,9,0,Low
Uttar Pradesh,Noida,GEE-PEE,Industrial,94,11,0,Low
Uttar Pradesh,Noida,"R.O, UPPB",Residential and other,95,11,0,Low
Uttar Pradesh,Varanasi,Regional Office,Residential and other,66,16,0,Low
Uttar Pradesh,Varanasi,Sigra,Residential and other,82,16,0,Low
Uttaranchal,Dehradun,Raipur Road,Industrial,13,20,0,NA
Uttaranchal,Dehradun,Clock Tower,Residential and other,39,27,0,NA
West Bengal,Asansol,Asansol M.C.,Industrial,104,9,0,Low
West Bengal,Durgapur (WB),Dew India Ltd,Industrial,104,11,0,Low
West Bengal,Durgapur (WB),Kwality Hotel,Industrial,104,9,0,Low
West Bengal,Durgapur (WB),PCBL Club,Residential and other,104,5,0,Low
West Bengal,Haldia,Super Market,Industrial,104,9,0,Low
West Bengal,Haldia,WBIIDC,Industrial,104,10,0,Low
West Bengal,Howrah,Bandhaghat,Industrial,104,15,0,Low
West Bengal,Howrah,Howrah MC,Industrial,104,8,0,Low
West Bengal,Howrah,Bator,Residential and other,104,6,0,Low
West Bengal,Howrah,Naskarpara,Residential and other,104,12,0,Low
West Bengal,Kolkata,Behala Chowrasta,Industrial,78,8,0,Low
West Bengal,Kolkata,Cossipore Police Stn,Industrial,97,12,0,Low
West Bengal,Kolkata,Dunlop Bridge,Industrial,78,6,0,Low
West Bengal,Kolkata,Baishnabghata,Residential and other,76,5,0,Low
West Bengal,Kolkata,Kasba,Residential and other,96,9,0,Low
West Bengal,Kolkata,Lal Bazar,Residential and other,96,10,0,Low
West Bengal,Kolkata,Minto Park,Residential and other,79,6,0,Low
West Bengal,Kolkata,Moulali,Residential and other,76,7,0,Low
West Bengal,Kolkata,Salt Lake,Residential and other,78,6,0,Low
